
[00:00:00.000 --> 00:00:04.400]  今天我們要一同來分享的新節目
[00:00:04.400 --> 00:00:08.600]  就是三個規算裏頭的第一個規算
[00:00:08.600 --> 00:00:16.500]  亞當的罪 規算到他的後代
[00:00:16.500 --> 00:00:23.600]  這個聖經裏面對罪的教導是很重要的
[00:00:23.600 --> 00:00:26.800]  所以我們在這個第一個規算裏頭
[00:00:26.800 --> 00:00:30.300]  就是先說到亞當的罪
[00:00:30.300 --> 00:00:33.200]  他的罪要規算到他的後代
[00:00:33.200 --> 00:00:38.700]  這規算在我們這個名詞的話是不太容易明白
[00:00:38.700 --> 00:00:41.800]  在聖經裏頭用了很多次
[00:00:41.800 --> 00:00:44.400]  這個原文用了很多次這樣的字
[00:00:44.400 --> 00:00:48.600]  所以中文翻譯的就有各種不同的意思
[00:00:48.600 --> 00:00:51.800]  但總體來說這規算的意思
[00:00:51.800 --> 00:01:00.100]  就是說算爲 或者算 或者是認爲 或者是以爲
[00:01:00.100 --> 00:01:09.800]  都是把這個事情算在什麼樣的一個事情的上面
[00:01:09.800 --> 00:01:12.500]  那麼講到這個罪
[00:01:12.500 --> 00:01:15.200]  聖經裏頭是有很多的教導
[00:01:15.200 --> 00:01:20.000]  因爲這個是糾恩的一個開始
[00:01:20.000 --> 00:01:25.200]  因爲這個主耶穌的降生就是爲了人的罪來的
[00:01:25.200 --> 00:01:27.200]  他爲什麼要來到世上呢
[00:01:27.200 --> 00:01:32.100]  在馬太福音第一章二十一節就說
[00:01:32.100 --> 00:01:34.600]  天使就跟約瑟說
[00:01:34.600 --> 00:01:37.600]  你這個給他叫啓明
[00:01:37.600 --> 00:01:41.200]  你這個生下來投胎的兒子
[00:01:41.200 --> 00:01:43.500]  你要給他起名叫耶穌
[00:01:43.500 --> 00:01:49.100]  因爲他要將自己的百姓從罪惡裏救出來
[00:01:49.100 --> 00:01:51.600]  所以主耶穌爲什麼要來到世上呢
[00:01:51.600 --> 00:01:54.100]  就是爲了人的罪而來的
[00:01:54.100 --> 00:01:59.200]  所以我們就需要對這個罪的這樣的一種意義
[00:01:59.200 --> 00:02:03.400]  這教義的教導我們要很清楚
[00:02:03.400 --> 00:02:09.700]  這樣的話我們才能夠明白主耶穌爲什麼是成爲我們的救主
[00:02:09.700 --> 00:02:11.100]  他救我們什麼
[00:02:11.100 --> 00:02:15.100]  救我們從罪裏頭出來
[00:02:15.100 --> 00:02:18.700]  但是這個雖然是這樣一個重要的問題
[00:02:18.700 --> 00:02:20.800]  但是自古以來
[00:02:20.800 --> 00:02:24.100]  不管是在哪個社會制度
[00:02:24.100 --> 00:02:25.800]  這幾千年來
[00:02:25.800 --> 00:02:29.000]  罪是很明顯的
[00:02:29.000 --> 00:02:31.500]  這個不管在哪個社會
[00:02:31.500 --> 00:02:36.200]  你都看到有各種不同的罪
[00:02:36.200 --> 00:02:40.200]  但是雖然有五花八門
[00:02:40.200 --> 00:02:41.500]  各種各樣的
[00:02:41.500 --> 00:02:45.900]  但是你都能看到罪的存在
[00:02:45.900 --> 00:02:51.000]  但是人是不太容易承認自己的罪的
[00:02:51.000 --> 00:02:53.500]  很難很難
[00:02:53.500 --> 00:02:55.700]  小孩子你說他錯了
[00:02:55.700 --> 00:02:56.900]  做錯事情
[00:02:56.900 --> 00:02:58.500]  你問他錯哪裏
[00:02:58.500 --> 00:03:00.900]  他總是不太容易承認
[00:03:00.900 --> 00:03:02.600]  那人也是這樣
[00:03:02.600 --> 00:03:04.000]  犯了法以後
[00:03:04.000 --> 00:03:06.400]  很少有人說哎呀我錯了
[00:03:06.400 --> 00:03:08.600]  我有罪了
[00:03:08.600 --> 00:03:12.200]  或者有人就說可能我這件事情是錯的
[00:03:12.200 --> 00:03:14.700]  但是我整個人還是好人
[00:03:14.700 --> 00:03:20.000]  所以就是爲了把罪的原因歸咎在客觀方面
[00:03:20.000 --> 00:03:24.000]  不太容易承認自己是一個罪人
[00:03:24.000 --> 00:03:26.600]  你特別在傳呼音的時候
[00:03:26.600 --> 00:03:29.200]  你要對人講是你是個罪人
[00:03:29.200 --> 00:03:33.200]  這一般的是不太容易接受的
[00:03:33.200 --> 00:03:37.200]  但是你不太容易承認自己罪
[00:03:37.200 --> 00:03:43.200]  但事實上在罪是普遍的存在
[00:03:43.200 --> 00:03:45.500]  不但是世上的人
[00:03:45.500 --> 00:03:52.200]  就連教會里頭那些自由派神學家
[00:03:52.200 --> 00:03:56.700]  他們也說他們是對聖經有研究的
[00:03:56.700 --> 00:04:01.700]  可是他們有好多地方是跟聖經根本的真理
[00:04:01.700 --> 00:04:04.200]  他是相違背的
[00:04:04.200 --> 00:04:07.700]  他不承認耶穌是同理相生的
[00:04:07.700 --> 00:04:11.200]  他不承認人生下就有罪
[00:04:11.200 --> 00:04:14.700]  他也不承認罪的普遍性
[00:04:14.700 --> 00:04:17.200]  不是在局部幾個人
[00:04:17.200 --> 00:04:18.700]  也不是少數人
[00:04:18.700 --> 00:04:21.700]  他不承認罪是很普遍的
[00:04:21.700 --> 00:04:23.700]  所以他們要信什麼呢
[00:04:23.700 --> 00:04:28.200]  他們就說了我們要信一個沒有憤怒的神
[00:04:28.200 --> 00:04:30.200]  神不會憤怒的
[00:04:30.200 --> 00:04:33.200]  這位神我們信的神他不會憤怒的
[00:04:33.200 --> 00:04:36.200]  所以你們說神是有憤怒
[00:04:36.200 --> 00:04:39.200]  要領導那些不信的人
[00:04:39.200 --> 00:04:40.700]  沒有這樣的事情
[00:04:40.700 --> 00:04:43.200]  要信一位沒有憤怒的神
[00:04:43.200 --> 00:04:45.200]  那麼他要救我們怎麼呢
[00:04:45.200 --> 00:04:48.200]  要接着沒有定十字架的基督
[00:04:48.200 --> 00:04:51.200]  來把我們這些無罪的人
[00:04:51.200 --> 00:04:54.700]  帶進一個沒有審判的國度
[00:04:54.700 --> 00:04:59.200]  他們就不承認神會對罪有憤怒
[00:04:59.200 --> 00:05:04.200]  他們也不承認基督耶穌定十字架是爲了人罪
[00:05:04.200 --> 00:05:06.200]  他們不要十字架的基督
[00:05:06.200 --> 00:05:09.200]  他們只要基督的博愛精神
[00:05:09.200 --> 00:05:13.200]  他們要把我們這些無罪的人
[00:05:13.200 --> 00:05:16.200]  要進入沒有審判的國度
[00:05:16.200 --> 00:05:19.200]  從這裏面就看到
[00:05:19.200 --> 00:05:24.200]  他們否認罪的普遍性
[00:05:24.200 --> 00:05:26.200]  在聖經裏頭的話
[00:05:26.200 --> 00:05:29.200]  我們可以看到有三個歸算
[00:05:29.200 --> 00:05:33.200]  今天我們要說的是第一個歸算
[00:05:33.200 --> 00:05:37.700]  第一個歸算就是亞當的罪歸算到他的後代
[00:05:37.700 --> 00:05:42.200]  亞當犯的罪不是他自己犯的罪就算完了
[00:05:42.200 --> 00:05:46.200]  他的罪要歸算到他的後代
[00:05:46.200 --> 00:05:49.200]  所以他的後代都成爲罪人了
[00:05:49.200 --> 00:05:51.200]  這是第一個歸算
[00:05:51.200 --> 00:05:55.200]  這是關於罪的教義
[00:05:55.200 --> 00:05:57.200]  爲什麼人生下來就是罪人呢
[00:05:57.200 --> 00:06:02.200]  就是因爲亞當的罪歸算到他的後代
[00:06:02.200 --> 00:06:06.200]  這個是要明白聖經的一個基礎
[00:06:06.200 --> 00:06:11.200]  如果他這個教訓他不明白的話
[00:06:11.200 --> 00:06:16.200]  他就很難明白聖經裏頭其他神的話
[00:06:16.200 --> 00:06:23.200]  第二個歸算就是人類的罪都歸算到耶穌基督了
[00:06:23.200 --> 00:06:27.200]  你犯了罪耶穌基督怎麼救你呢
[00:06:27.200 --> 00:06:30.200]  因爲他爲什麼成爲全人類的救助呢
[00:06:30.200 --> 00:06:34.200]  因爲全人類的罪都算在他的頭上
[00:06:34.200 --> 00:06:37.200]  都歸算到他的頭上
[00:06:37.200 --> 00:06:41.200]  這就講到關於基督救贖的意義
