
[00:00:00.000 --> 00:00:04.000]  感謝天父讓我們來到神的面前
[00:00:04.000 --> 00:00:06.000]  剛才一首詩歌我們唱過
[00:00:06.000 --> 00:00:08.000]  讓我靈得自由
[00:00:08.000 --> 00:00:10.000]  如果我們到神的面前
[00:00:10.000 --> 00:00:12.000]  仍然有很多重擔
[00:00:12.000 --> 00:00:16.000]  我想這個世上難免
[00:00:16.000 --> 00:00:19.000]  你有很多的掛慮很多的擔心
[00:00:19.000 --> 00:00:21.000]  特別做父母的
[00:00:21.000 --> 00:00:23.000]  特別關心子女
[00:00:23.000 --> 00:00:25.000]  沒有一個父母不擔心子女
[00:00:25.000 --> 00:00:30.000]  沒有一個父母可以很放心
[00:00:30.000 --> 00:00:33.000]  其實當你有神給你的愛心
[00:00:33.000 --> 00:00:35.000]  有適當的關心
[00:00:35.000 --> 00:00:39.000]  還有如果你能夠有適當的忍心
[00:00:39.000 --> 00:00:41.000]  要給他成長
[00:00:41.000 --> 00:00:44.000]  那我想你可以在主裡面很放心
[00:00:44.000 --> 00:00:46.000]  這個放心到一個地步
[00:00:46.000 --> 00:00:48.000]  就是到你要走的時候
[00:00:48.000 --> 00:00:50.000]  你都可以說主啊感謝你
[00:00:50.000 --> 00:00:52.000]  因為我不用擔心
[00:00:52.000 --> 00:00:55.000]  如果不是你走都要擔心
[00:00:55.000 --> 00:00:56.000]  是不是
[00:00:56.000 --> 00:00:57.000]  早上跟大家看
[00:00:57.000 --> 00:01:00.000]  就是看訴羅王怎樣影響子女
[00:01:00.000 --> 00:01:02.000]  因為我今年主題
[00:01:02.000 --> 00:01:04.000]  都是跟大家看撒梅記上
[00:01:04.000 --> 00:01:08.000]  所以今天要講的篇幅很長
[00:01:08.000 --> 00:01:09.000]  我計算過
[00:01:09.000 --> 00:01:11.000]  如果由讀經文
[00:01:11.000 --> 00:01:13.000]  由我開始講到結束
[00:01:13.000 --> 00:01:14.000]  差不多都讀完了
[00:01:14.000 --> 00:01:17.000]  所以就跟主席說不用讀了
[00:01:17.000 --> 00:01:18.000]  一會跟大家一起讀
[00:01:18.000 --> 00:01:22.000]  到底為什麼要說訴羅對子女的影響
[00:01:22.000 --> 00:01:24.000]  訴羅對安娜丹很有影響
[00:01:24.000 --> 00:01:26.000]  訴羅對米鴿很有影響
[00:01:26.000 --> 00:01:28.000]  一個皇帝
[00:01:28.000 --> 00:01:29.000]  一個皇
[00:01:29.000 --> 00:01:31.000]  大權在握
[00:01:31.000 --> 00:01:34.000]  亦是上帝所揀選
[00:01:34.000 --> 00:01:41.000]  是被高納成為以色列國第一位國君
[00:01:41.000 --> 00:01:43.000]  這是一個很大的福氣
[00:01:43.000 --> 00:01:44.000]  恩典
[00:01:44.000 --> 00:01:46.000]  為什麼會搞成
[00:01:46.000 --> 00:01:49.000]  那些子女後來都是因為他的緣故
[00:01:49.000 --> 00:01:51.000]  我想大部份是因為他的緣故
[00:01:51.000 --> 00:01:54.000]  而結果很多不幸
[00:01:54.000 --> 00:01:58.000]  如果我們能夠從聖經上學習到
[00:01:58.000 --> 00:01:59.000]  聖經的記載
[00:01:59.000 --> 00:02:01.000]  相信對我們今天
[00:02:01.000 --> 00:02:04.000]  活在世上的神的兒女來說
[00:02:04.000 --> 00:02:06.000]  都很大的提醒
[00:02:06.000 --> 00:02:09.000]  在新約的
[00:02:09.000 --> 00:02:11.000]  哥林多詞書第十章
[00:02:11.000 --> 00:02:13.000]  有一段經文
[00:02:13.000 --> 00:02:17.000]  我每一次讀到的時候都很大的提醒
[00:02:17.000 --> 00:02:20.000]  大家看看哥林多前書第十章
[00:02:20.000 --> 00:02:24.000]  第十一第十二節
[00:02:24.000 --> 00:02:27.000]  因為十三十四節我們經常都會讀
[00:02:27.000 --> 00:02:32.000]  但是十一十二節就比較少去讀
[00:02:32.000 --> 00:02:35.000]  十三十四節就是你們所願意的試探
[00:02:35.000 --> 00:02:36.000]  無非是人所能受的
[00:02:36.000 --> 00:02:38.000]  在你們受試探的時候
[00:02:38.000 --> 00:02:39.000]  總要給你們開一條出路
[00:02:39.000 --> 00:02:40.000]  叫你們要守得住
[00:02:40.000 --> 00:02:42.000]  這個我都讀過了
[00:02:42.000 --> 00:02:44.000]  但是十一十二節比較少讀
[00:02:44.000 --> 00:02:45.000]  他怎麼說呢
[00:02:45.000 --> 00:02:47.000]  他們遭遇這些事
[00:02:47.000 --> 00:02:50.000]  都要作為尷尬
