
[00:00:00.000 --> 00:00:03.000]  在這個關係撕裂的時代
[00:00:03.000 --> 00:00:05.320]  人的說話充滿惡毒
[00:00:05.320 --> 00:00:07.560]  也充滿虛荒
[00:00:07.560 --> 00:00:09.520]  作爲耶穌的門徒
[00:00:09.520 --> 00:00:12.320]  我們究竟有什麼不同呢?
[00:00:12.320 --> 00:00:15.920]  在星期五晚和朋友喫完飯
[00:00:15.920 --> 00:00:18.320]  走進大廈門口和管理員打完招呼
[00:00:18.320 --> 00:00:20.320]  就按電梯預備上樓
[00:00:20.320 --> 00:00:21.720]  等電梯的時候
[00:00:21.720 --> 00:00:24.320]  管理員就叫我吳牧師
[00:00:24.320 --> 00:00:25.520]  好像有些話想說
[00:00:25.520 --> 00:00:27.320]  我就走回頭
[00:00:27.320 --> 00:00:28.520]  接着他就說
[00:00:28.520 --> 00:00:29.920]  昨晚發生的事情
[00:00:29.920 --> 00:00:32.320]  就是7月1號晚上發生的事情
[00:00:32.320 --> 00:00:35.120]  他說我覺得香港人的仇恨
[00:00:35.120 --> 00:00:38.720]  是一生都難以化解
[00:00:38.720 --> 00:00:40.520]  兩邊的怨氣
[00:00:40.520 --> 00:00:42.320]  本來已經很深了
[00:00:42.320 --> 00:00:44.920]  現在發生這樣的事情
[00:00:44.920 --> 00:00:47.720]  撕裂的情況更加嚴重
[00:00:47.720 --> 00:00:50.320]  關係很難修補
[00:00:50.320 --> 00:00:52.320]  人與人之間
[00:00:52.320 --> 00:00:54.120]  彼此咒罵
[00:00:54.120 --> 00:00:55.720]  彼此不滿
[00:00:55.720 --> 00:00:57.120]  裏面很多的憤怒
[00:00:57.120 --> 00:00:59.320]  裏面很多的仇恨
[00:00:59.320 --> 00:01:02.320]  究竟我們作爲基督徒
[00:01:02.320 --> 00:01:04.120]  可以怎樣呢?
[00:01:04.120 --> 00:01:07.320]  我們有沒有不同的地方呢?
[00:01:07.320 --> 00:01:12.320]  上次講道是講信恆合一
[00:01:12.320 --> 00:01:15.320]  《雅各書》第二章14-16節的焦點是
[00:01:15.320 --> 00:01:16.320]  我們的信心
[00:01:16.320 --> 00:01:19.320]  或者講我們的信仰和我們的行爲
[00:01:19.320 --> 00:01:20.320]  是怎樣的呢?
[00:01:20.320 --> 00:01:23.520]  信心和行爲是不可以分割的
[00:01:23.520 --> 00:01:26.720]  信心是需要透過行爲來驗證
[00:01:26.720 --> 00:01:28.720]  而且要是信得正確
[00:01:28.720 --> 00:01:31.920]  我們行的就正確
[00:01:31.920 --> 00:01:34.720]  今天來到《雅各書》第三章
[00:01:34.720 --> 00:01:37.720]  重點是講言語
[00:01:37.720 --> 00:01:40.320]  良言善語真話
[00:01:40.320 --> 00:01:41.920]  雅各認爲
[00:01:41.920 --> 00:01:45.520]  有怎樣的內在生命
[00:01:45.520 --> 00:01:48.920]  就有怎樣的言語
[00:01:48.920 --> 00:01:51.520]  我們的言語是不是良善
[00:01:51.520 --> 00:01:53.720]  或者真實
[00:01:53.720 --> 00:01:57.120]  其實和我們的內在生命
[00:01:57.120 --> 00:01:59.920]  是不能分割的
[00:01:59.920 --> 00:02:02.720]  我們的言語是不是良善
[00:02:02.720 --> 00:02:04.520]  是不是真實
[00:02:04.520 --> 00:02:07.920]  其實和我們的內在生命
[00:02:07.920 --> 00:02:09.120]  不能分割
[00:02:09.120 --> 00:02:10.320]  所以今天的焦點是
[00:02:10.320 --> 00:02:13.920]  言語和我們生命的一致
[00:02:13.920 --> 00:02:16.920]  這段經文可以分作三段
[00:02:16.920 --> 00:02:20.320]  一至八節是講舌頭的威力
[00:02:20.320 --> 00:02:23.520]  九至十二節是講舌頭的用處
[00:02:23.520 --> 00:02:27.920]  或者是講言語和生命的一致性
[00:02:27.920 --> 00:02:29.320]  第十三至十八節
[00:02:29.320 --> 00:02:32.320]  言語和智慧的來源
[00:02:32.320 --> 00:02:33.720]  按照大家聽到的經驗
[00:02:33.720 --> 00:02:35.520]  我多數會分三點
[00:02:35.520 --> 00:02:38.720]  不過今天我沒有把它列爲三點
[00:02:38.720 --> 00:02:41.120]  我只是用三個段落
[00:02:41.120 --> 00:02:42.120]  解釋經文
[00:02:42.120 --> 00:02:44.120]  然後有些反思
[00:02:44.120 --> 00:02:46.520]  留一個開放性給丁子妹
[00:02:46.520 --> 00:02:48.920]  你自己來回應
[00:02:48.920 --> 00:02:50.120]  先講第一段
[00:02:50.120 --> 00:02:52.320]  第一第二節
