
[00:00:00.000 --> 00:00:03.000]  這篇詩篇是大衛的詩篇
[00:00:03.000 --> 00:00:06.000]  在150篇的詩篇裏頭
[00:00:06.000 --> 00:00:10.000]  大衛寫制大衛的詩篇有七十幾首
[00:00:10.000 --> 00:00:13.000]  一半是大衛所寫的
[00:00:13.000 --> 00:00:17.000]  我們上次所讀的詩篇
[00:00:17.000 --> 00:00:20.000]  19篇也是大衛所寫的
[00:00:20.000 --> 00:00:22.000]  現在我們來看這篇詩篇
[00:00:22.000 --> 00:00:24.000]  也是大衛所寫的
[00:00:24.000 --> 00:00:27.000]  這可以說是在詩篇當中
[00:00:27.000 --> 00:00:31.000]  最美麗的這些詩篇當中的一篇
[00:00:31.000 --> 00:00:36.000]  裏面一共有二十四節
[00:00:36.000 --> 00:00:43.000]  這二十四節都是來描述神的特有的屬性
[00:00:43.000 --> 00:00:49.000]  他完全知道我們的一切
[00:00:49.000 --> 00:00:51.000]  我們很感謝神
[00:00:51.000 --> 00:00:53.000]  我們是神的兒女
[00:00:53.000 --> 00:00:55.000]  神知道我們的一切
[00:00:55.000 --> 00:00:57.000]  在我們還沒有慶祝以前
[00:00:57.000 --> 00:00:59.000]  神已經知道我們
[00:00:59.000 --> 00:01:02.000]  所以他讓耶穌基督來到世上
[00:01:02.000 --> 00:01:04.000]  爲我們釘的十架
[00:01:04.000 --> 00:01:06.000]  就是爲了要拯救我們
[00:01:06.000 --> 00:01:08.000]  知道我們活到最終
[00:01:08.000 --> 00:01:10.000]  我們是痛苦的
[00:01:10.000 --> 00:01:12.000]  我們是沒有希望的
[00:01:12.000 --> 00:01:13.000]  所以神知道我們的一切
[00:01:13.000 --> 00:01:15.000]  祂救了我們
[00:01:15.000 --> 00:01:17.000]  在祂救了我們以後呢
[00:01:17.000 --> 00:01:18.000]  祂也知道
[00:01:18.000 --> 00:01:19.000]  還是知道我們一切
[00:01:19.000 --> 00:01:22.000]  要引導我們在一生中間
[00:01:22.000 --> 00:01:25.000]  走在祂所許願的道路上
[00:01:25.000 --> 00:01:27.000]  這個二十四節聖經呢
[00:01:27.000 --> 00:01:32.000]  可以說是很自然的
[00:01:32.000 --> 00:01:35.000]  分成四個段
[00:01:35.000 --> 00:01:38.000]  每一段的話都是六節
[00:01:38.000 --> 00:01:40.000]  所以四六二四
[00:01:40.000 --> 00:01:43.000]  就把這個四方面的內容
[00:01:43.000 --> 00:01:45.000]  大衛借了這個詩篇
[00:01:45.000 --> 00:01:48.000]  跟我們來說明了
[00:01:48.000 --> 00:01:49.000]  那麼第一段呢
[00:01:49.000 --> 00:01:51.000]  是在一節到六節
[00:01:51.000 --> 00:01:55.000]  講到神是無所不知的
[00:01:55.000 --> 00:02:00.000]  第二段是從七節到十二節
[00:02:00.000 --> 00:02:04.000]  是講到神無所不在
[00:02:04.000 --> 00:02:08.000]  第三段從十三節到十八節
[00:02:08.000 --> 00:02:11.000]  講到神是無所不能
[00:02:11.000 --> 00:02:13.000]  所以我們看到
[00:02:13.000 --> 00:02:15.000]  在這個詩篇裏頭
[00:02:15.000 --> 00:02:17.000]  大衛就提到
[00:02:17.000 --> 00:02:20.000]  神一個很重要的屬性
[00:02:20.000 --> 00:02:22.000]  這個屬性是祂本身有的
[00:02:22.000 --> 00:02:24.000]  祂是無所不知的
[00:02:24.000 --> 00:02:26.000]  祂是無所不在的
[00:02:26.000 --> 00:02:29.000]  祂是無所不能的
[00:02:29.000 --> 00:02:33.000]  到了第十九節到二十節
[00:02:33.000 --> 00:02:35.000]  大衛思想到
[00:02:35.000 --> 00:02:37.000]  神的無所不知
[00:02:37.000 --> 00:02:38.000]  無所不在
[00:02:38.000 --> 00:02:40.000]  無所不能以後呢
[00:02:40.000 --> 00:02:45.000]  他就應該對神有什麼回應
[00:02:45.000 --> 00:02:48.000]  他就看到神是聖潔的
