
[00:00:00.000 --> 00:00:03.000]  願僕人口中的言語
[00:00:03.000 --> 00:00:06.000]  頂姐妹的心思意念
[00:00:06.000 --> 00:00:08.000]  蒙聖靈的啟迪
[00:00:08.000 --> 00:00:09.000]  蒙主的月立
[00:00:09.000 --> 00:00:12.000]  禱告藉主耶穌基督聖名而求
[00:00:12.000 --> 00:00:14.000]  阿們
[00:00:14.000 --> 00:00:20.000]  在一個世俗化的社會當中
[00:00:20.000 --> 00:00:23.000]  好像美國一樣
[00:00:23.000 --> 00:00:27.000]  我們會以為越來越少人
[00:00:27.000 --> 00:00:34.000]  相信祈禱或神的醫治會發生
[00:00:34.000 --> 00:00:37.000]  不過在去年
[00:00:37.000 --> 00:00:40.000]  在美國有一個調查機構
[00:00:40.000 --> 00:00:44.000]  在這方面做了一個調查
[00:00:44.000 --> 00:00:47.000]  結果令人意想不到
[00:00:47.000 --> 00:00:51.000]  原來仍然有很多人相信
[00:00:51.000 --> 00:00:55.000]  上帝對人的醫治會發生
[00:00:55.000 --> 00:01:00.000]  讓大家看看這個調查的結果
[00:01:00.000 --> 00:01:05.000]  大家可能看到一些顏色
[00:01:05.000 --> 00:01:06.000]  看到一些公仔
[00:01:06.000 --> 00:01:08.000]  看不到他寫什麼
[00:01:08.000 --> 00:01:11.000]  我就略略介紹一下
[00:01:11.000 --> 00:01:13.000]  在這個調查裡
[00:01:13.000 --> 00:01:17.000]  向千多人做了一個訪問
[00:01:17.000 --> 00:01:21.000]  問他們是否相信
[00:01:21.000 --> 00:01:24.000]  是一個超自然的介入
[00:01:24.000 --> 00:01:28.000]  上帝的醫治可以治好人的病
[00:01:28.000 --> 00:01:31.000]  在這個調查裡發現
[00:01:31.000 --> 00:01:37.000]  首先有33%的成年人
[00:01:37.000 --> 00:01:40.000]  很強烈的同意
[00:01:40.000 --> 00:01:46.000]  他們相信上帝會醫治人的病
[00:01:46.000 --> 00:01:49.000]  然後有33%
[00:01:49.000 --> 00:01:54.000]  也覺得頗為相信
[00:01:54.000 --> 00:01:56.000]  真的會發生
[00:01:56.000 --> 00:01:59.000]  即是這兩部分
