
[00:00:00.000 --> 00:00:02.940]  加州其實是一個土地很肥沃的地方
[00:00:02.940 --> 00:00:04.360]  你種什麼都生的
[00:00:04.360 --> 00:00:06.000]  有沒有聽人這樣說過呢
[00:00:06.000 --> 00:00:07.280]  我剛剛來加州的時候
[00:00:07.280 --> 00:00:08.560]  人們就這樣說的
[00:00:08.560 --> 00:00:09.880]  但是我發現奇怪的
[00:00:09.880 --> 00:00:12.240]  爲什麼我這棵樹會死的呢
[00:00:12.240 --> 00:00:15.960]  當然如果我當中有些人喜歡種花草那些
[00:00:15.960 --> 00:00:16.560]  你當然會問
[00:00:16.560 --> 00:00:17.880]  牧師
[00:00:17.880 --> 00:00:20.000]  有沒有淋水啊
[00:00:20.000 --> 00:00:21.680]  有沒有施肥啊
[00:00:21.680 --> 00:00:23.280]  有沒有除蟲啊
[00:00:23.280 --> 00:00:25.080]  開頭的時候excited
[00:00:25.080 --> 00:00:26.600]  是有的 我告訴大家
[00:00:26.600 --> 00:00:28.520]  後來當然沒有了
[00:00:28.520 --> 00:00:30.080]  但是for some reason
[00:00:30.080 --> 00:00:32.080]  死了
[00:00:32.080 --> 00:00:35.240]  但是我相信在正常的情況下
[00:00:35.240 --> 00:00:40.360]  特別是加州 美國這些肥沃富庶的土地上
[00:00:40.360 --> 00:00:41.880]  我真的相信
[00:00:41.880 --> 00:00:44.040]  除非這棵樹本身有問題
[00:00:44.040 --> 00:00:45.400]  不然種在土地上
[00:00:45.400 --> 00:00:47.000]  在自然的情況下
[00:00:47.000 --> 00:00:49.400]  是應該會健康成長
[00:00:49.400 --> 00:00:52.920]  而且會結果子的
[00:00:52.920 --> 00:00:55.560]  如果你說環境不好
[00:00:55.560 --> 00:00:58.720]  或者是旱季水乾 不夠水
[00:00:58.720 --> 00:01:00.480]  或者沒有施肥
[00:01:00.480 --> 00:01:02.520]  就算你不做任何事
[00:01:02.520 --> 00:01:03.880]  大家在家裏都試過的
[00:01:03.880 --> 00:01:05.000]  都會出果的
[00:01:05.000 --> 00:01:08.040]  不過如果你有個園丁去照顧它
[00:01:08.040 --> 00:01:10.840]  經常施肥 除草之類的
[00:01:10.840 --> 00:01:12.240]  那你不單單結果
[00:01:12.240 --> 00:01:13.920]  而且那些果又大
[00:01:13.920 --> 00:01:15.520]  又漂亮 又甜
[00:01:15.520 --> 00:01:17.360]  而且很多
[00:01:17.360 --> 00:01:19.360]  但是在正常的情況下
[00:01:19.360 --> 00:01:22.320]  就算你不做任何事
[00:01:22.320 --> 00:01:23.480]  都應該成長
[00:01:23.480 --> 00:01:26.120]  都應該結果子
[00:01:26.120 --> 00:01:29.120]  我發覺其實我們做基督徒
[00:01:29.120 --> 00:01:30.840]  我們屬靈的生命都是一樣的
[00:01:30.840 --> 00:01:33.400]  我們屬靈的生命就好像一棵果樹一樣
[00:01:33.400 --> 00:01:36.200]  種在溪水旁
[00:01:36.200 --> 00:01:37.640]  是應該生長
[00:01:37.640 --> 00:01:39.440]  是應該結果的
[00:01:39.440 --> 00:01:43.800]  問題是我們和一般果樹不同的地方在哪裏呢
[00:01:43.800 --> 00:01:45.320]  一般的果樹
[00:01:45.320 --> 00:01:47.160]  有園丁打理纔會結果累累
[00:01:47.160 --> 00:01:49.960]  如果不是的話自己也會生的
[00:01:49.960 --> 00:01:52.840]  但是基督徒如果用這個比喻的時候
[00:01:52.840 --> 00:01:56.200]  你屬靈的生命是來自基督耶穌
