
[00:00:00.000 --> 00:00:02.480]  神秘我們的救恩是很豐富
[00:00:02.480 --> 00:00:10.000]  我們在這個時候特別是有很多風暴的情況
[00:00:10.000 --> 00:00:12.440]  我們求主去給我們平安
[00:00:12.440 --> 00:00:15.580]  我們知道主在我們當中
[00:00:15.580 --> 00:00:20.240]  我們一同去聚會 去敬畏神 敬拜神
[00:00:20.240 --> 00:00:22.360]  我們首先有個禱告
[00:00:22.360 --> 00:00:24.620]  慈悲的天父 我們都多謝你
[00:00:24.620 --> 00:00:29.360]  給我們今天這個時間 風雨的季節
[00:00:29.360 --> 00:00:33.320]  我們一同敬拜 實在是你的恩典
[00:00:33.320 --> 00:00:35.960]  求主幫助我們明白你的話語
[00:00:35.960 --> 00:00:39.560]  祈禱奉主耶穌基督的名 阿們
[00:00:39.560 --> 00:00:43.240]  信仰我們知道我們信了神
[00:00:43.240 --> 00:00:45.000]  但也有我們的行為
[00:00:45.000 --> 00:00:49.340]  究竟這兩樣東西怎樣去平衡呢
[00:00:49.340 --> 00:00:53.320]  我們看看是神的恩典
[00:00:53.320 --> 00:00:56.480]  我們直接相信有這個豐盛的恩典
[00:00:56.480 --> 00:01:01.340]  第一 還是我們靠我們的行為可以活出信仰呢
[00:01:01.340 --> 00:01:04.340]  有一個大家很熟悉的早期的教父
[00:01:04.340 --> 00:01:08.240]  大概在四世紀 奧古斯丁
[00:01:08.240 --> 00:01:12.800]  他年輕的時候是一個放蕩不羈的人
[00:01:12.800 --> 00:01:15.040]  我想這個大家都聽過
[00:01:15.040 --> 00:01:18.000]  他17歲的時候已經和一位女士
[00:01:18.000 --> 00:01:22.680]  有一些不正常的關係 有些性的關係
[00:01:22.680 --> 00:01:26.800]  母親時常提醒他千萬不要過這個放蕩的生活
[00:01:26.800 --> 00:01:32.400]  在奧古斯丁的懺悔錄裡面提到一件事情
[00:01:32.400 --> 00:01:36.940]  他說他這個罪惡的放蕩的生活
[00:01:36.940 --> 00:01:41.440]  其實他自己有很多的內疚 很不開心
[00:01:41.440 --> 00:01:42.920]  他講到有一次
[00:01:42.920 --> 00:01:45.360]  是和一個很好的朋友 很要好的朋友
[00:01:45.360 --> 00:01:48.920]  其實這個朋友最後都成為教會的領袖之一
[00:01:48.920 --> 00:01:50.440]  他們兩個很投契
[00:01:50.440 --> 00:01:53.400]  有一次在自己家裡面的後面
[00:01:53.400 --> 00:01:57.440]  一個花園 兩個人相約
[00:01:57.440 --> 00:02:01.280]  我想可能大家散散心也好 大家聊聊天也好
[00:02:01.280 --> 00:02:02.760]  坐在那裡的時候
[00:02:02.760 --> 00:02:07.040]  奧古斯丁就發覺自己的心情非常沉重
[00:02:07.040 --> 00:02:08.640]  內心有什麼感受呢
[00:02:08.640 --> 00:02:12.360]  就說他很想和這位神 和他結連的
[00:02:12.360 --> 00:02:14.360]  很想進入他的約裡面
[00:02:14.360 --> 00:02:17.840]  很想進入神的知的當中生活
[00:02:17.840 --> 00:02:22.320]  但是他奈何呢 他覺得他還是和神很遠
[00:02:22.320 --> 00:02:26.360]  沒辦法才好像和神一個真正緊密的關係
[00:02:26.360 --> 00:02:33.240]  他越想到這個 越是內心有很多的搞動 很不開心
[00:02:33.240 --> 00:02:35.960]  他就和這位朋友坐遠一點
[00:02:35.960 --> 00:02:40.880]  希望自己哭的時候 可以自己有多點空間
[00:02:40.880 --> 00:02:43.160]  他裡面就祈禱
[00:02:43.160 --> 00:02:48.440]  他說 神啊 神啊 主啊 我要等到多久呢
[00:02:48.440 --> 00:02:52.400]  你還要等我多久呢
[00:02:52.400 --> 00:02:57.400]  你什麼時候才可以將我的污穢能夠清除
[00:02:57.400 --> 00:03:00.560]  是不是還要很久很久呢
[00:03:00.560 --> 00:03:02.520]  他有很多的掙扎
[00:03:02.520 --> 00:03:06.720]  很多的一些很不開心
[00:03:06.720 --> 00:03:10.760]  在那個情況突然間聽到一個小孩子的聲音
[00:03:10.760 --> 00:03:12.120]  不知道是男的還是女的
[00:03:12.120 --> 00:03:16.240]  就說 你拿起來看看 拿起來看看 一直在說
[00:03:16.240 --> 00:03:22.240]  不知道他們好像在唱一些小童的歌還是怎麼樣呢
[00:03:22.240 --> 00:03:25.720]  他聽到的時候 沒有那麼偶然的
[00:03:25.720 --> 00:03:30.320]  他就想到這個可能是神的命令 叫到他
[00:03:30.320 --> 00:03:33.000]  於是他就拿起聖經
[00:03:33.000 --> 00:03:36.600]  然後一揭開的時候 他就看到一節
[00:03:36.600 --> 00:03:39.360]  這個經文都是羅馬書
[00:03:39.360 --> 00:03:41.920]  羅馬書 我們今天也說羅馬書
[00:03:41.920 --> 00:03:46.440]  羅馬書第十三章是講到一個聖潔的人
[00:03:46.440 --> 00:03:48.040]  得到神的救恩之後
