
[00:00:00.000 --> 00:00:08.500]  (字幕)
[00:00:08.500 --> 00:00:10.880]  耶穌被聖靈帶到曠野
[00:00:10.880 --> 00:00:12.400]  被魔鬼試探
[00:00:12.400 --> 00:00:14.600]  祂禁食了四十天之後
[00:00:14.600 --> 00:00:17.820]  魔鬼就首先用食物來引誘祂
[00:00:17.820 --> 00:00:19.400]  你想想如果我們肚餓
[00:00:19.400 --> 00:00:21.920]  我們的身體就會催逼我們想去吃東西
[00:00:21.920 --> 00:00:24.000]  如果那時候有人送上食物
[00:00:24.000 --> 00:00:27.000]  我們正常的反應就是很想去吃
[00:00:27.000 --> 00:00:29.000]  而魔鬼要試探耶穌
[00:00:29.000 --> 00:00:33.000]  都是利用人肉身上正常的需要來引誘祂
[00:00:33.000 --> 00:00:36.000]  我想起最近有很多地方的超級市場
[00:00:36.000 --> 00:00:37.000]  都試過大排長龍
[00:00:37.000 --> 00:00:39.000]  人們搶著買糧食
[00:00:39.000 --> 00:00:41.000]  就是因為食物都是人人都需要的
[00:00:41.000 --> 00:00:43.000]  引誘能夠成功
[00:00:43.000 --> 00:00:46.000]  一定要是針對一些我們很想要的東西
[00:00:46.000 --> 00:00:48.000]  最近我們都會多了上網
[00:00:48.000 --> 00:00:50.000]  因為要收很多的資訊
[00:00:50.000 --> 00:00:51.000]  學生的學習
[00:00:51.000 --> 00:00:52.000]  教會的消息
[00:00:52.000 --> 00:00:54.000]  小組的溝通
[00:00:54.000 --> 00:00:55.000]  也都是要靠上網
[00:00:55.000 --> 00:00:57.000]  所以我們多了用手機
[00:00:57.000 --> 00:01:00.000]  不過很多的引誘都會在手機上出現
[00:01:00.000 --> 00:01:02.000]  你會不會多了玩遊戲
[00:01:02.000 --> 00:01:05.000]  多了看一些不應該看的東西
[00:01:05.000 --> 00:01:08.000]  說多了不應該說的話
[00:01:08.000 --> 00:01:10.000]  多買了一些不需要的東西
[00:01:10.000 --> 00:01:14.000]  接著魔鬼又帶耶穌去到聖殿的頂
[00:01:14.000 --> 00:01:15.000]  叫祂跳下去
[00:01:15.000 --> 00:01:18.000]  說上帝一定會派使者去保護祂
[00:01:18.000 --> 00:01:21.000]  其實這個提議是要耶穌試上帝
[00:01:21.000 --> 00:01:23.000]  是否真的會保護祂
[00:01:23.000 --> 00:01:27.000]  不知道最近你心裏有沒有起了一個疑問
[00:01:27.000 --> 00:01:29.000]  就是如果我怎樣怎樣
[00:01:29.000 --> 00:01:31.000]  神就會都保守我呢?
[00:01:31.000 --> 00:01:32.000]  有人認為
[00:01:32.000 --> 00:01:36.000]  不需要理會特別的衛生防疫的措施
[00:01:36.000 --> 00:01:38.000]  因為神一定會保守信徒
[00:01:38.000 --> 00:01:39.000]  百毒不侵
[00:01:39.000 --> 00:01:40.000]  也有人認為
[00:01:40.000 --> 00:01:43.000]  只要所有人都做足防護措施
[00:01:43.000 --> 00:01:44.000]  就不會染病了
[00:01:44.000 --> 00:01:47.000]  究竟耶穌是怎樣勝過試探的呢?
[00:01:47.000 --> 00:01:48.000]  祂說
[00:01:48.000 --> 00:01:50.000]  人活著不是單靠食物
[00:01:50.000 --> 00:01:53.000]  乃是靠上帝口裏所出的一切話
[00:01:53.000 --> 00:01:56.000]  食物是所有人都難以為生的
[00:01:56.000 --> 00:01:58.000]  但首要的是服從上帝的話
[00:01:58.000 --> 00:02:00.000]  和進行祂的心意
[00:02:00.000 --> 00:02:03.000]  我們不要懷疑上帝會不會保守我們
[00:02:03.000 --> 00:02:06.000]  不可試探主你的神
[00:02:06.000 --> 00:02:08.000]  因為上帝是信實的
[00:02:08.000 --> 00:02:10.000]  我們要有堅定的信心
