
[00:00:00.000 --> 00:00:03.000]  頂者會平安
[00:00:03.000 --> 00:00:07.000]  今日神賜給我們新的一天
[00:00:07.000 --> 00:00:13.000]  神給我們的福分,今天一同敬拜
[00:00:13.000 --> 00:00:17.000]  今天和大家分享的題目是「遵守信服」
[00:00:17.000 --> 00:00:20.000]  今天和大家分享的題目是「遵守信服」
[00:00:20.000 --> 00:00:24.000]  是遵守神的道
[00:00:24.000 --> 00:00:26.000]  是信服神
[00:00:26.000 --> 00:00:29.000]  不是去信服人
[00:00:29.000 --> 00:00:35.000]  我們做基督徒面對很多人生的挑戰
[00:00:35.000 --> 00:00:37.000]  在生活裏面
[00:00:37.000 --> 00:00:39.000]  在神的面前
[00:00:39.000 --> 00:00:45.000]  我們怎樣按著祂給我們的指引
[00:00:45.000 --> 00:00:47.000]  聖經的教導
[00:00:47.000 --> 00:00:50.000]  去過每一天呢
[00:00:50.000 --> 00:00:56.000]  我們要信服神給我們帶領
[00:00:56.000 --> 00:01:01.000]  信息提醒我們,再一次我們同心,我們祈禱
[00:01:01.000 --> 00:01:04.000]  愛我們的天父,我們感謝,讚美你
[00:01:04.000 --> 00:01:07.000]  多謝你賜給我們有生命氣息
[00:01:07.000 --> 00:01:09.000]  一同在這裏敬拜
[00:01:09.000 --> 00:01:11.000]  就讓聖靈你親自的帶領我們
[00:01:11.000 --> 00:01:13.000]  又安靜我們的心靈
[00:01:13.000 --> 00:01:17.000]  使我們能夠專注在神的懷疑上
[00:01:17.000 --> 00:01:20.000]  讓主你親自的帶領我們每一個
[00:01:20.000 --> 00:01:27.000]  我們願意聖靈在這個時候
[00:01:27.000 --> 00:01:29.000]  給我們一個安靜的聖靈
[00:01:29.000 --> 00:01:31.000]  讓我們能夠在神的面前
[00:01:31.000 --> 00:01:35.000]  能夠一同聆聽神給我們的說話
[00:01:35.000 --> 00:01:38.000]  讓我們按著你的生、餓、餘、恆
[00:01:38.000 --> 00:01:41.000]  口神帶領我們現在幾下的時間
[00:01:41.000 --> 00:01:42.000]  全力禱告
[00:01:42.000 --> 00:01:44.000]  是封主耶穌基督的名口
[00:01:44.000 --> 00:01:46.000]  Amen
[00:01:46.000 --> 00:01:51.000]  在七十年代的時候有一首交通的安全歌
[00:01:51.000 --> 00:01:54.000]  在七十年代有一首交通安全歌
[00:01:54.000 --> 00:01:56.000]  有些人都聽過
[00:01:56.000 --> 00:01:57.000]  有些人都聽過
[00:01:57.000 --> 00:02:00.000]  這首歌就是這樣:慢慢走
[00:02:00.000 --> 00:02:01.000]  就慢慢走
[00:02:01.000 --> 00:02:03.000]  不要跑
[00:02:03.000 --> 00:02:04.000]  不要跑
[00:02:04.000 --> 00:02:06.000]  馬路與虎口
[00:02:06.000 --> 00:02:08.000]  馬路與虎口
[00:02:08.000 --> 00:02:10.000]  交通規則要遵守
[00:02:10.000 --> 00:02:12.000]  交通規則要遵守
[00:02:12.000 --> 00:02:14.000]  安全第一
[00:02:14.000 --> 00:02:16.000]  安全第一
[00:02:16.000 --> 00:02:18.000]  命長久
[00:02:18.000 --> 00:02:20.000]  命長久
[00:02:20.000 --> 00:02:23.000]  過馬路雖然是一件很容易的事
[00:02:23.000 --> 00:02:25.000]  過馬路是一件很容易的事
[00:02:25.000 --> 00:02:31.000]  小時候媽媽每一次我們過馬路都提醒我們要小心
[00:02:31.000 --> 00:02:35.000]  小時候每次過馬路國慶都要提醒
[00:02:35.000 --> 00:02:37.000]  甚至要抓著我們的手
[00:02:37.000 --> 00:02:38.000]  甚至要抓著我的手
[00:02:38.000 --> 00:02:42.000]  很怕我們衝出去馬路又沒有看到車
[00:02:42.000 --> 00:02:47.000]  防止我們衝過去你便沒看到對面的車
[00:02:47.000 --> 00:02:51.000]  這首歌給我們一個提醒
[00:02:51.000 --> 00:02:53.000]  這首歌給我們一首提醒
[00:02:53.000 --> 00:02:57.000]  原來過馬路好像走過老虎的口一樣
[00:02:57.000 --> 00:03:00.000]  過馬路好像走過老虎的口一樣
