
[00:00:00.000 --> 00:00:12.000]  好,那我們不如看這幅圖畫,這幅圖畫是在旺角拍的,大家覺得是不是有些奇怪?
[00:00:12.000 --> 00:00:16.000]  大家會覺得奇怪嗎?這個照片是在旺角拍的
[00:00:16.000 --> 00:00:21.000]  有三個人,這裡看到有三個人,其實我當天看到有四個人
[00:00:21.000 --> 00:00:24.000]  這邊有三個人,我當天看到有四個人
[00:00:25.000 --> 00:00:33.000]  那他們做什麼呢?他們揹著一個牌,然後向路人派單張
[00:00:33.000 --> 00:00:45.000]  他們在宣傳一家航空公司,所以上面有兩隻小飛機
[00:00:46.000 --> 00:00:56.000]  是不是相當之新穎?是不是很特別?如果你是做工的話,你願意做這份工作嗎?
[00:00:56.000 --> 00:00:59.000]  但是如果你是打工的話,你願意做這份工作嗎?
[00:00:59.000 --> 00:01:07.000]  所以我覺得他們都很為難的,所以他們都很尷尬的樣子
[00:01:07.000 --> 00:01:10.000]  我拍他們,他們又看著我
[00:01:10.000 --> 00:01:13.000]  我拍他們的照片的時候,他們也回看我一眼
[00:01:14.000 --> 00:01:16.000]  很多時候我們去派單張也是一樣的
[00:01:16.000 --> 00:01:19.000]  我們很多時候去發傳單也是一樣的,也不敢發給別人
[00:01:19.000 --> 00:01:23.000]  也不敢發給他,就和旁邊那個派傳單的人聊天
[00:01:23.000 --> 00:01:27.000]  這跟旁邊那個發傳單的人在聊天,很多時候都是這樣
[00:01:27.000 --> 00:01:38.000]  其實這些宣傳手法,在很多年之前,中國的基督徒已經做過了
[00:01:38.000 --> 00:01:41.000]  其實很多年以前,中國的基督徒已經做過了
[00:01:42.000 --> 00:01:44.000]  他們會穿上一些有福音字句的衣服
[00:01:44.000 --> 00:01:49.000]  他們會穿上一些有福音字句的衣服
[00:01:49.000 --> 00:01:51.000]  走到街上
[00:01:51.000 --> 00:01:56.000]  可能舉起一些橫額,是有關福音的
[00:01:56.000 --> 00:02:00.000]  可能會舉起一些標語,有關福音的
[00:02:00.000 --> 00:02:05.000]  也都好像這幾個年輕人一樣
[00:02:05.000 --> 00:02:07.000]  也好像這些年輕人一樣
[00:02:08.000 --> 00:02:15.000]  真的掛著一個牌,後面寫著很多有關福音的字句
[00:02:15.000 --> 00:02:19.000]  掛著一個牌子,上面有寫很多關於福音的字句
[00:02:19.000 --> 00:02:22.000]  大家想一想,你願不願意這樣做呢?
[00:02:22.000 --> 00:02:24.000]  大家想一想,你願不願意這樣做呢?
[00:02:24.000 --> 00:02:29.000]  願不願意在街上為宣傳福音背起一個牌子呢?
[00:02:29.000 --> 00:02:32.000]  你願不願意為了宣傳福音而掛著這樣的一個牌子呢?
[00:02:33.000 --> 00:02:40.000]  今天我們講主耶穌做了一個很出位的舉動
[00:02:40.000 --> 00:02:45.000]  今天主耶穌我們要講主耶穌做了一個很特別,沒有想過的一個舉動
[00:02:45.000 --> 00:02:47.000]  令人很怪的
[00:02:47.000 --> 00:02:49.000]  讓人覺得很怪異的
[00:02:49.000 --> 00:02:51.000]  我記得有一次我自己去賣旗
[00:02:51.000 --> 00:02:53.000]  有一次我記得我去賣旗
[00:02:53.000 --> 00:02:55.000]  很普通而已
[00:02:55.000 --> 00:02:57.000]  賣旗很普通而已
[00:02:57.000 --> 00:02:59.000]  不過我穿著西裝去賣旗
[00:02:59.000 --> 00:03:01.000]  然後我穿著西裝去賣旗
[00:03:02.000 --> 00:03:03.000]  然後我穿著西裝去賣旗
[00:03:03.000 --> 00:03:05.000]  賣旗的人看著我
[00:03:05.000 --> 00:03:07.000]  賣旗的人看著我
[00:03:07.000 --> 00:03:10.000]  他們通常都是拿著一個硬幣
[00:03:10.000 --> 00:03:12.000]  他們通常都是拿著一個硬幣
[00:03:12.000 --> 00:03:15.000]  然後放在口袋裡好像有點尷尬
[00:03:15.000 --> 00:03:18.000]  然後放在口袋裡好像有點尷尬
[00:03:18.000 --> 00:03:22.000]  為什麼穿著西裝的人去賣旗呢?
[00:03:22.000 --> 00:03:25.000]  為什麼穿著西裝外套的人去賣旗呢?
[00:03:25.000 --> 00:03:27.000]  這是很久以前的事了
[00:03:27.000 --> 00:03:29.000]  這是很久以前的事了
[00:03:30.000 --> 00:03:33.000]  最近現在在街上都看到穿著西裝的人在宣傳
[00:03:33.000 --> 00:03:37.000]  最近你都會看到穿著西裝的人在宣傳
[00:03:37.000 --> 00:03:43.000]  所以可能基督教的宣傳方法被人抄襲了
[00:03:43.000 --> 00:03:46.000]  可能基督教的一些宣傳方法已經被人抄襲了
[00:03:46.000 --> 00:03:48.000]  我們要想一些其他的方法
[00:03:48.000 --> 00:03:50.000]  我們要想一些新的方法
[00:03:50.000 --> 00:03:52.000]  我們要想一些新的方法
[00:03:52.000 --> 00:03:56.000]  那麼耶穌為什麼會令人很奇怪呢?
[00:03:57.000 --> 00:04:00.000]  那麼耶穌為什麼會令人很奇怪呢?
[00:04:00.000 --> 00:04:04.000]  請大家看剛才的經文第二節到第五節
[00:04:04.000 --> 00:04:07.000]  請大家看剛才的經文第二節到第五節
[00:04:07.000 --> 00:04:09.000]  請聽我來念
[00:04:09.000 --> 00:04:11.000]  吃晚飯的時候
