
[00:00:00.000 --> 00:00:04.000]  最近有一套相當火熱的電影叫做《毒屍大狀》
[00:00:04.000 --> 00:00:08.000]  又叫《好》又叫《狀》,不知道大家有沒有看過呢?
[00:00:08.000 --> 00:00:12.000]  這一套電影都頗為感動,很多人喜歡看
[00:00:12.000 --> 00:00:17.000]  我相信原因是因為這套電影公義得到彰顯
[00:00:17.000 --> 00:00:20.000]  其實就算你沒有看過這套電影
[00:00:20.000 --> 00:00:24.000]  如果你稍微看一看一些關於法庭的電影
[00:00:24.000 --> 00:00:26.000]  關於法律聆訊的時候
[00:00:26.000 --> 00:00:32.000]  你都不難發現一個很多時候律師喜歡做的
[00:00:32.000 --> 00:00:34.000]  或者喜歡玩的把戲
[00:00:34.000 --> 00:00:38.000]  就是很多時候要將對方
[00:00:38.000 --> 00:00:40.000]  你都發掘他的黑材料
[00:00:40.000 --> 00:00:43.000]  發掘他的黑材料的時候就抹黑他
[00:00:43.000 --> 00:00:44.000]  破壞他的公信力
[00:00:44.000 --> 00:00:46.000]  讓他無論說什麼,那些人都不會相信他
[00:00:46.000 --> 00:00:48.000]  所以邏輯很簡單
[00:00:48.000 --> 00:00:51.000]  如果你過去做過一些不好的事
[00:00:51.000 --> 00:00:53.000]  那你就不可信
[00:00:53.000 --> 00:00:54.000]  既然你不可信的時候
[00:00:54.000 --> 00:00:56.000]  現在你無論說什麼
[00:00:56.000 --> 00:00:58.000]  那些人都不會再相信你
[00:00:58.000 --> 00:00:59.000]  邏輯很簡單
[00:00:59.000 --> 00:01:04.000]  不過就很有效的這種方法
[00:01:04.000 --> 00:01:08.000]  其實今天我們所讀的這個故事
[00:01:08.000 --> 00:01:13.000]  講到一班法律採人,一班民事從耶路撒冷去到耶穌那裡
[00:01:13.000 --> 00:01:17.000]  他們正在做的就是正正是這樣的東西
[00:01:17.000 --> 00:01:20.000]  找耶穌的措施,抹黑耶穌
[00:01:20.000 --> 00:01:25.000]  那當然了,耶穌就不會那麼容易被這班人得逞
[00:01:25.000 --> 00:01:28.000]  我們在故事裡面看到耶穌是連消帶打
[00:01:28.000 --> 00:01:34.000]  除了回應到這班法律採人或者民事他們的指控之外
[00:01:34.000 --> 00:01:38.000]  他們都指出了這班法律採人的那種虛偽和愚蠢
[00:01:38.000 --> 00:01:42.000]  今天就讓我們很仔細地看一看這段經文
[00:01:42.000 --> 00:01:45.000]  在當中讓大家一起學一些屬靈功課
[00:01:45.000 --> 00:01:50.000]  一開始的時候,故事的作者馬可就講到
[00:01:50.000 --> 00:01:54.000]  有一班法律採人的民事從耶路撒冷去到耶穌那裡
[00:01:54.000 --> 00:01:56.000]  從這句說話很簡單
[00:01:56.000 --> 00:01:58.000]  就是耶穌當時不在耶路撒冷,對不對?
[00:01:58.000 --> 00:02:01.000]  耶穌當時不在耶路撒冷,耶穌在哪裡?
[00:02:01.000 --> 00:02:03.000]  聖經沒有詳細講
[00:02:03.000 --> 00:02:07.000]  不過如果我們去看第六章和第七章
[00:02:07.000 --> 00:02:14.000]  假如這兩章所敘述的事情是按時間去論述的話
[00:02:14.000 --> 00:02:18.000]  那麼耶穌根據第六章所說
[00:02:18.000 --> 00:02:23.000]  應該當時祂的位置是在一個地方叫做格利撒納這個地方
[00:02:23.000 --> 00:02:27.000]  這個地方距離耶路撒納大概140公里左右
[00:02:27.000 --> 00:02:28.000]  什麼概念?
[00:02:28.000 --> 00:02:31.000]  大概就是今天我們從這裡去廖卡蘇差不多
[00:02:31.000 --> 00:02:32.000]  大家去過了
[00:02:32.000 --> 00:02:33.000]  開車多久?
[00:02:33.000 --> 00:02:34.000]  開車兩小時左右
[00:02:34.000 --> 00:02:37.000]  不是很遠,但也不是一個很近的距離
[00:02:37.000 --> 00:02:40.000]  要走一段這樣的距離
[00:02:40.000 --> 00:02:42.000]  來到耶穌那裡很明顯
[00:02:42.000 --> 00:02:44.000]  就不是西格哈魯那麼簡單
[00:02:44.000 --> 00:02:46.000]  絕對不是為了一些瑣碎的事情
[00:02:46.000 --> 00:02:48.000]  再者我們要留意經文
[00:02:48.000 --> 00:02:50.000]  我們讀經聖一定要很小心
[00:02:50.000 --> 00:02:51.000]  這幫人他們來自哪裡?
[00:02:51.000 --> 00:02:53.000]  來自耶路撒冷
[00:02:53.000 --> 00:02:54.000]  來自耶路撒冷是什麼地方?
[00:02:54.000 --> 00:02:59.000]  耶路撒冷就是當時的宗教中心,對不對?
[00:02:59.000 --> 00:03:03.000]  好了,法利塞人民事就是當時的宗教領袖
[00:03:03.000 --> 00:03:04.000]  大家可以想像一下
[00:03:04.000 --> 00:03:09.000]  一幫宗教領袖從一個宗教中心
[00:03:09.000 --> 00:03:12.000]  經過一個那麼長的旅程去找耶穌
[00:03:12.000 --> 00:03:14.000]  那你說
[00:03:14.000 --> 00:03:18.000]  雖然聖經沒有說究竟他們所為何事
[00:03:18.000 --> 00:03:22.000]  但也絕對不是事不尋常,對不對?
[00:03:22.000 --> 00:03:24.000]  好了,我們再看下去
[00:03:24.000 --> 00:03:26.000]  根據聖經的經文記載
[00:03:26.000 --> 00:03:28.000]  這幫人去到見到耶穌
[00:03:28.000 --> 00:03:29.000]  他們第一件事
[00:03:29.000 --> 00:03:31.000]  或者第一樣要說的是什麼?
[00:03:31.000 --> 00:03:34.000]  看到耶穌那些門徒
[00:03:34.000 --> 00:03:36.000]  吃飯之前不用守
[00:03:36.000 --> 00:03:40.000]  違背了他們當時要守的古人的遺傳
[00:03:40.000 --> 00:03:44.000]  馬上向耶穌提出質詢
[00:03:44.000 --> 00:03:47.000]  馬可更加仔細地再進一步解釋
[00:03:47.000 --> 00:03:50.000]  可能當時的讀者有外邦人
[00:03:50.000 --> 00:03:54.000]  解釋當時所謂猶太人的傳統
[00:03:54.000 --> 00:03:57.000]  不單止在吃飯之前洗手這麼簡單
[00:03:57.000 --> 00:03:58.000]  還有很多事情
