
[00:00:00.000 --> 00:00:01.600]  我們一起來讀一段經文
[00:00:01.600 --> 00:00:04.840]  是在《真言十章》二十二節
[00:00:04.840 --> 00:00:06.680]  我們一起來讀 來
[00:00:06.680 --> 00:00:09.980]  葉和華所賜的福使人富足
[00:00:09.980 --> 00:00:11.580]  並不加上憂慮
[00:00:11.580 --> 00:00:13.140]  我們再來一次好不好 來
[00:00:13.140 --> 00:00:16.680]  葉和華所賜的福使人富足
[00:00:16.680 --> 00:00:19.320]  並不加上憂慮
[00:00:19.320 --> 00:00:20.220]  哇 感謝主
[00:00:20.220 --> 00:00:22.320]  今年2025年
[00:00:22.320 --> 00:00:25.760]  感覺有很多值得令人期待的事情要發生
[00:00:25.760 --> 00:00:27.760]  特別教會今年的主題是
[00:00:27.760 --> 00:00:30.500]  提升與擴展的祝福
[00:00:30.500 --> 00:00:32.560]  不知道有多少人很期待
[00:00:32.560 --> 00:00:35.440]  今年要經歷到提升與擴展
[00:00:35.440 --> 00:00:36.300]  我真的要告訴你
[00:00:36.300 --> 00:00:41.100]  不要小看我們全教會每一年的宣告
[00:00:41.100 --> 00:00:46.980]  去年的主題是不斷成長進入豐盛
[00:00:46.980 --> 00:00:50.120]  結果在2024年的12月31號
[00:00:50.120 --> 00:00:53.760]  這個恩高的尾勁還是很強
[00:00:53.760 --> 00:00:56.880]  跟大家分享一下為什麼這樣說
[00:00:56.880 --> 00:00:59.160]  去年年底 也就是三週前
[00:00:59.160 --> 00:01:01.500]  我們全家去夏威夷度假
[00:01:01.500 --> 00:01:04.420]  想說是可以去躺平
[00:01:04.420 --> 00:01:07.360]  跟這個海平線一樣的平
[00:01:07.360 --> 00:01:10.060]  結果我太太突發奇想
[00:01:10.060 --> 00:01:14.600]  想要幫以諾我的兒子報一個衝浪班
[00:01:14.600 --> 00:01:17.000]  我想說 哇 衝浪班
[00:01:17.000 --> 00:01:18.440]  結果下一秒鐘
[00:01:18.440 --> 00:01:22.340]  我跟我的兒子就在上衝浪課
[00:01:22.340 --> 00:01:23.820]  然後我兒子很厲害
[00:01:23.820 --> 00:01:25.880]  第一次嘗試在教練的協助下
[00:01:25.880 --> 00:01:30.020]  第一次就在海中站立起來衝浪成功
[00:01:30.020 --> 00:01:35.660]  我呢 就跟我名字一樣雅臣
[00:01:35.660 --> 00:01:36.900]  成了三次
[00:01:36.900 --> 00:01:38.600]  結果感謝主第四次
[00:01:38.600 --> 00:01:42.340]  我也成功的站在海浪之上
[00:01:42.340 --> 00:01:44.500]  所以你看弟兄姊妹
[00:01:44.500 --> 00:01:47.000]  不斷成長進入豐盛
[00:01:47.000 --> 00:01:52.380]  甚至在2024年的最後可能八個鐘頭
[00:01:52.380 --> 00:01:53.920]  我也經歷到了
[00:01:53.920 --> 00:01:56.520]  所以呢 讓我們真的要期待
[00:01:56.520 --> 00:02:00.480]  今年我們都要來經歷提升與擴展
[00:02:00.480 --> 00:02:01.620]  Amen
[00:02:01.620 --> 00:02:03.160]  哇 好吧 我們真的不要小標
[00:02:03.160 --> 00:02:04.920]  不要 Don't do it casually
[00:02:04.920 --> 00:02:06.060]  跟旁邊的人說
[00:02:06.060 --> 00:02:09.720]  看著他眼睛充滿了期待和信心都要說
[00:02:09.720 --> 00:02:18.700]  你要得著提升與擴展恩高
[00:02:18.700 --> 00:02:20.100]  Amen Amen
[00:02:20.100 --> 00:02:22.580]  今天我們當中很多新朋友恭喜你
[00:02:22.580 --> 00:02:24.400]  今天來到就是為了這句話
[00:02:24.400 --> 00:02:27.640]  剛才有沒有人用很火熱的眼睛看著你
[00:02:27.640 --> 00:02:30.140]  提升與擴展的恩高
[00:02:30.140 --> 00:02:31.940]  你要得著 Amen
[00:02:31.940 --> 00:02:33.220]  好不好 你相信的話拍手
[00:02:33.220 --> 00:02:35.080]  一定要宣告 一定要得著啦
[00:02:35.080 --> 00:02:37.360]  一定要得著
[00:02:37.360 --> 00:02:38.620]  Amen Amen
[00:02:38.620 --> 00:02:40.020]  不然一年又要過去了
[00:02:40.020 --> 00:02:44.120]  不用等到12月31號再來高那個尾勁
[00:02:44.120 --> 00:02:44.920]  但說實在話
[00:02:44.920 --> 00:02:49.140]  我不知道大家聽到提升與擴展的主題的時候
[00:02:49.140 --> 00:02:50.960]  有沒有想過一個問題就是說
[00:02:50.960 --> 00:02:55.340]  哇 提升到多少才算夠高
[00:02:55.340 --> 00:02:58.880]  特別是髮線不要再高了
[00:02:58.880 --> 00:03:03.120]  那擴展要多寬廣才夠呢
[00:03:03.120 --> 00:03:06.380]  另外這樣的一個宣告
[00:03:06.380 --> 00:03:09.180]  這樣的一個追求和世界的功成名利
[00:03:09.180 --> 00:03:10.960]  有什麼不同呢
[00:03:10.960 --> 00:03:14.260]  會不會變成一個血氣虛榮心
[00:03:14.260 --> 00:03:15.800]  追求自我膨脹
[00:03:15.800 --> 00:03:18.960]  到底合乎聖經嗎
[00:03:18.960 --> 00:03:21.960]  事實上剛才我們讀的經文
[00:03:21.960 --> 00:03:23.400]  《箴言十章》二十二節這邊說
[00:03:23.400 --> 00:03:25.740]  耶和華所賜的福
[00:03:25.740 --> 00:03:30.600]  祂是使人富足並且不加上憂慮的
[00:03:30.600 --> 00:03:33.940]  所以我們深信神是樂意賜福給我們
[00:03:33.940 --> 00:03:34.980]  不但如此
[00:03:34.980 --> 00:03:39.140]  而且這個福氣是能夠不加上憂慮的
[00:03:39.140 --> 00:03:41.960]  所以今天我們在期許大家經歷
[00:03:41.960 --> 00:03:45.260]  提升與擴展的祝福的同時呢
[00:03:45.260 --> 00:03:47.120]  我來帶領大家一起來思想
[00:03:47.120 --> 00:03:50.420]  得著這樣的祝福的目的
[00:03:50.420 --> 00:03:55.340]  和基礎 關鍵以及如何來持守
[00:03:55.340 --> 00:03:57.060]  好 讓我們今天真可以一起來
[00:03:57.060 --> 00:03:59.840]  經歷提升與擴展的祝福
[00:03:59.840 --> 00:04:05.580]  首先提升與擴展的目的是讓神的心意得著滿足
[00:04:05.580 --> 00:04:06.540]  我們一起來說
[00:04:06.540 --> 00:04:12.520]  提升與擴展的目的是讓神的心意得著滿足
[00:04:12.520 --> 00:04:15.460]  的確在這個世界上就算你擁有了一切
[00:04:15.460 --> 00:04:18.180]  你的心中仍然有一個空缺
[00:04:18.180 --> 00:04:20.560]  是沒有任何事物可以滿足的
[00:04:20.560 --> 00:04:21.760]  而這個空缺
[00:04:21.760 --> 00:04:25.300]  唯有神自己可以來滿足它
[00:04:25.300 --> 00:04:27.000]  這為什麼我們當中很多人
[00:04:27.000 --> 00:04:28.060]  你都有這樣的經驗
[00:04:28.060 --> 00:04:32.440]  你好像在你當時第一次進入教會的時候
[00:04:32.440 --> 00:04:34.280]  詩歌你也沒聽過
[00:04:34.280 --> 00:04:37.140]  牧師講的你也聽不太懂
[00:04:37.140 --> 00:04:42.020]  可是突然之間你眼淚就流下來了
[00:04:42.020 --> 00:04:44.980]  你心中就平靜了
[00:04:44.980 --> 00:04:46.060]  為什麼呢
[00:04:46.060 --> 00:04:49.220]  因為那個時刻你內心的空缺
[00:04:49.220 --> 00:04:51.360]  被神觸摸了
[00:04:51.360 --> 00:04:53.720]  你的生命就開始不再一樣
[00:04:53.720 --> 00:04:56.960]  就是為什麼有些人他們接受了耶穌之後
[00:04:56.960 --> 00:04:59.400]  很自然的一些毒癮
[00:04:59.400 --> 00:05:02.040]  一些各樣的一些問題
[00:05:02.040 --> 00:05:04.840]  一些試探就可以勝過了
[00:05:04.840 --> 00:05:09.100]  因為他那個空缺已經被填滿了
[00:05:09.100 --> 00:05:13.280]  可是很多時候人被觸摸是一回事
[00:05:13.280 --> 00:05:16.380]  但是當我們回到人生的一個賽道上面
[00:05:16.380 --> 00:05:17.880]  我們平日的生活
[00:05:17.880 --> 00:05:22.280]  卻又繼續開始用自己習慣已久的價值觀
[00:05:22.280 --> 00:05:26.360]  和世界的法則來計劃人生
[00:05:26.360 --> 00:05:28.020]  結果沒有想到我們計劃到最後
