
[00:00:00.000 --> 00:00:01.800]  靜止每早晨,我是黃牧師
[00:00:01.800 --> 00:00:03.700]  很高興能夠再次在主日的時間
[00:00:03.700 --> 00:00:06.500]  和大家一起去學習神的道理
[00:00:06.500 --> 00:00:08.500]  讓我們先聽主的導議
[00:00:08.500 --> 00:00:12.500]  再次以禱告打開我們今天聆聽主導的時間
[00:00:12.500 --> 00:00:13.700]  用同心的禱告
[00:00:13.700 --> 00:00:15.500]  讓我們依次低頭禱告
[00:00:15.500 --> 00:00:17.500]  Let's bow our head and pray together
[00:00:17.500 --> 00:00:20.500]  各位親愛的天父,多謝您
[00:00:20.500 --> 00:00:24.000]  讓我們能夠再次在主日的時間
[00:00:24.000 --> 00:00:26.500]  去一同學習祢的道理
[00:00:26.500 --> 00:00:28.000]  明白主祢的啟示
[00:00:28.000 --> 00:00:32.000]  並且在當中能夠去掌握福音的要義
[00:00:32.000 --> 00:00:35.500]  好使我們能夠自己去明白福音不特止
[00:00:35.500 --> 00:00:38.500]  並且能夠真是可以在傳講的時候
[00:00:38.500 --> 00:00:40.500]  準確將祢的話語
[00:00:40.500 --> 00:00:43.500]  將祢的整傳福音去傳遞開去
[00:00:43.500 --> 00:00:45.000]  求祢與我們同在
[00:00:45.000 --> 00:00:47.500]  讓我們能夠有這份智慧
[00:00:47.500 --> 00:00:50.500]  在今天聽道的過程當中
[00:00:50.500 --> 00:00:53.500]  能夠被上帝的靈所捕捉
[00:00:53.500 --> 00:00:55.000]  各位親愛的天父,多謝您
[00:00:55.000 --> 00:00:58.500]  讓我們能夠再次打開祢的寶貴的話語
[00:00:58.500 --> 00:01:02.500]  讓我們能夠更明白主祢的啟示
[00:01:02.500 --> 00:01:06.000]  也讓我們在當中有更好的掌握
[00:01:06.000 --> 00:01:09.000]  特別是對於福音的正確性
[00:01:09.000 --> 00:01:12.000]  讓我們能夠在當中有一個準確的把握
[00:01:12.000 --> 00:01:16.000]  使我們自己一方面能夠清楚了解
[00:01:16.000 --> 00:01:20.500]  也同時當我們把福音傳給更多人知道的時候
[00:01:20.500 --> 00:01:23.500]  能夠準確把整全的福音傳開去
[00:01:23.500 --> 00:01:26.500]  求祢的幫助,求性靈帶領
[00:01:53.500 --> 00:01:56.500]  我們同心的禱告,奉主耶穌的名臣
[00:01:56.500 --> 00:01:59.500]  我們同心的禱告,奉耶穌的名臣,阿們
[00:02:23.500 --> 00:02:26.000]  今天和大家一起思想的經文是
[00:02:26.000 --> 00:02:30.000]  加拉太書的第一章,第六節至第九節
[00:02:30.000 --> 00:02:31.500]  今天的講題是
[00:02:31.500 --> 00:02:36.500]  「真信?假信?別樣福音的奏助本質」
[00:02:36.500 --> 00:02:40.000]  今天再一次藉著主的道理一起思想這個題目
[00:02:40.000 --> 00:02:44.000]  開始之前,讓我和大家一起去再次讀一下這兩經文
[00:02:44.000 --> 00:02:47.000]  讓我們能夠先熟習一下經文的內容
[00:02:54.000 --> 00:02:59.000]  我會先以畫本讀出,然後再以英語讀出
[00:02:59.000 --> 00:03:04.000]  今天所讀的英語仍然是MET,New English Translation
[00:03:04.000 --> 00:03:09.000]  加拉太書第一章,第六節至第九節
[00:03:09.000 --> 00:03:16.000]  「我稀奇你們這麼快離開,那藉著基督之恩照你們的虛從別的福音
[00:03:16.000 --> 00:03:20.000]  那便不是福音,而是真信」
[00:03:20.000 --> 00:03:24.000]  「那藉著基督之恩照你們的虛從別的福音
[00:03:24.000 --> 00:03:31.000]  那便不是福音,不過有些人搞擾你們,要把基督的福音更改了
[00:03:31.000 --> 00:03:34.000]  但無論是我們,是天上來的使者
[00:03:34.000 --> 00:03:41.000]  若傳福音給你們,與我們所傳給你們的不同,他就應當被救助
[00:03:41.000 --> 00:03:44.000]  我們已經說了,現在又說
[00:03:44.000 --> 00:03:48.000]  若有人傳福音給你們,與你們所領受的不同
[00:03:48.000 --> 00:03:50.000]  他就應當被救助
[00:03:50.000 --> 00:03:54.000]  若有人傳福音給你們,與你們所領受的不同
[00:03:54.000 --> 00:03:56.000]  他就應當被救助
[00:03:56.000 --> 00:04:00.000]  若有人傳福音給你們,與你們所領受的不同
[00:04:00.000 --> 00:04:02.000]  他就應當被救助
[00:04:02.000 --> 00:04:06.000]  若有人傳福音給你們,與你們所領受的不同
[00:04:06.000 --> 00:04:08.000]  他就應當被救助
[00:04:08.000 --> 00:04:12.000]  若有人傳福音給你們,與你們所領受的不同
[00:04:12.000 --> 00:04:14.000]  他就應當被救助
[00:04:14.000 --> 00:04:17.000]  若有人傳福音給你們,與你們所領受的不同
[00:04:17.000 --> 00:04:19.000]  他就應當被救助
[00:04:47.000 --> 00:04:51.000]  但就算是我們,或是天上的使者
[00:04:51.000 --> 00:04:56.000]  要傳福音給你們,與你們所領受的不同
[00:04:56.000 --> 00:04:59.000]  他就應當被救助
[00:04:59.000 --> 00:05:02.000]  如同我們之前說的
[00:05:02.000 --> 00:05:04.000]  現在我再說一次
[00:05:04.000 --> 00:05:10.000]  若有人傳福音給你們,與你們所領受的不同
[00:05:10.000 --> 00:05:13.000]  他就應當被救助
[00:05:15.000 --> 00:05:19.000]  我在教會裡已經生活了三十一年的時間
[00:05:19.000 --> 00:05:21.000]  在當中遇見過不少的人說
[00:05:21.000 --> 00:05:25.000]  他已經信了耶穌,或者已經決志信了主
[00:05:25.000 --> 00:05:28.000]  但在當中,每一次當我作為一個牧者
[00:05:28.000 --> 00:05:32.000]  遇見他們的時候,我都會去問一下他們
[00:05:32.000 --> 00:05:35.000]  是什麼原因你會信耶穌呢?
[00:05:35.000 --> 00:05:38.000]  為了什麼而你信呢?
[00:05:38.000 --> 00:05:41.000]  以及你信了什麼呢?
[00:05:41.000 --> 00:05:47.000]  但是每一次當我與這些弟兄姊妹,或者信徒交談的時候
[00:05:47.000 --> 00:05:52.000]  他們給出的答案,有些真的讓我感覺到心寒
[00:05:52.000 --> 00:05:54.000]  因為他們的回覆
