
[00:00:00.000 --> 00:00:03.880]  其實馬太、馬可、路加三本福音書
[00:00:03.880 --> 00:00:07.080]  都有相同觀點的福音書
[00:00:07.080 --> 00:00:09.040]  即是三本福音書
[00:00:09.040 --> 00:00:14.440]  都是記載關主耶穌傳福音、行神蹟、教訓人
[00:00:14.440 --> 00:00:16.600]  然後死而復活
[00:00:16.600 --> 00:00:21.760]  有些人以為福音書是耶穌的傳記
[00:00:21.760 --> 00:00:23.040]  其實不是的
[00:00:23.040 --> 00:00:25.240]  一個名人的傳記
[00:00:25.240 --> 00:00:28.880]  一般都會記載那位名人的出生
[00:00:28.880 --> 00:00:32.280]  和一生裏所發生的每一件大事
[00:00:32.280 --> 00:00:35.840]  但福音書講明是福音書
[00:00:35.840 --> 00:00:39.200]  目的就是向讀者傳福音
[00:00:39.200 --> 00:00:42.280]  裏面記載有關耶穌的事
[00:00:42.280 --> 00:00:44.640]  都是為了傳福音而記載的
[00:00:44.640 --> 00:00:49.040]  因此這三本福音書有很多相同的記載
[00:00:49.040 --> 00:00:52.280]  它們有一個很大的共同點
[00:00:52.280 --> 00:00:54.800]  就是花了很大量的篇幅
[00:00:54.800 --> 00:00:57.480]  記載耶穌最後一個星期
[00:00:57.480 --> 00:01:00.080]  在耶路撒冷發生的事
[00:01:00.080 --> 00:01:03.360]  以《馬可福音》作為例子
[00:01:03.360 --> 00:01:06.600]  這本書只有十六章聖經
[00:01:06.600 --> 00:01:09.200]  雖然每一章的長短不一樣
[00:01:09.200 --> 00:01:10.800]  但我們可以看到
[00:01:10.800 --> 00:01:14.440]  從第八章耶穌考問門徒之後
[00:01:14.440 --> 00:01:18.760]  耶穌就帶著那些門徒去耶路撒冷
[00:01:18.760 --> 00:01:21.240]  上個星期我們又看到
[00:01:21.240 --> 00:01:25.000]  耶穌和門徒進入耶路撒冷
[00:01:25.000 --> 00:01:27.000]  第十一章
[00:01:27.000 --> 00:01:28.200]  換句話說
[00:01:28.200 --> 00:01:30.200]  由第十一章到第十六章
[00:01:30.200 --> 00:01:31.880]  一共六章聖經
[00:01:31.880 --> 00:01:34.800]  大約佔了《馬可福音》三分之一
[00:01:34.800 --> 00:01:38.920]  都是記載耶穌生命中最後一個星期
[00:01:38.920 --> 00:01:41.480]  在耶路撒冷所講的話
[00:01:41.480 --> 00:01:43.040]  所做的事
[00:01:43.040 --> 00:01:46.040]  受死和復活
[00:01:46.040 --> 00:01:49.560]  耶穌出來傳道的時候是三十歲
[00:01:49.560 --> 00:01:51.200]  傳了三年
[00:01:51.200 --> 00:01:54.000]  《馬可福音》只用了十章的聖經
[00:01:54.000 --> 00:01:56.880]  去記載三年裏面發生的事
[00:01:56.880 --> 00:02:00.920]  但最後一個星期就用了六章聖經
[00:02:00.920 --> 00:02:04.160]  可見從福音的角度來看
[00:02:04.160 --> 00:02:09.480]  耶穌生命最後一個星期是非常重要的
[00:02:09.480 --> 00:02:12.080]  今天我們看《馬可福音》第十四章
[00:02:12.080 --> 00:02:14.120]  耶穌吩咐門徒
[00:02:14.120 --> 00:02:16.400]  預備如月節的晚餐
[00:02:16.400 --> 00:02:20.160]  然後和門徒一起吃飯
[00:02:20.160 --> 00:02:25.080]  很多人叫這次的晚餐是最後的晚餐
[00:02:25.080 --> 00:02:27.480]  其實按照華人的習慣
[00:02:27.480 --> 00:02:28.520]  一般來說
[00:02:28.520 --> 00:02:30.320]  在喜慶的日子
[00:02:30.320 --> 00:02:32.720]  我們都會聚餐
[00:02:32.720 --> 00:02:35.920]  不過猶太人在如月節的時候
[00:02:35.920 --> 00:02:38.200]  要吃如月節的晚餐
[00:02:38.200 --> 00:02:40.520]  是有特別意義的
[00:02:40.520 --> 00:02:43.480]  目的就是要紀念上帝從前
[00:02:43.480 --> 00:02:47.560]  把他們的祖先從埃及拯救出來
[00:02:47.560 --> 00:02:49.600]  大約在三千五百年之前
[00:02:49.600 --> 00:02:50.840]  猶太人在埃及
[00:02:50.840 --> 00:02:53.600]  是被埃及人當作奴隸
[00:02:53.600 --> 00:02:57.840]  要他們幫助埃及人造磚
[00:02:57.840 --> 00:03:00.920]  和建一些城牆
[00:03:00.920 --> 00:03:03.240]  他們受了很多苦
[00:03:03.240 --> 00:03:05.560]  當他們向上帝祈禱的時候
[00:03:05.560 --> 00:03:08.000]  結果上帝就找摩西
[00:03:08.000 --> 00:03:12.160]  要摩西帶領猶太人離開埃及
[00:03:12.160 --> 00:03:14.320]  本來埃及王都不肯放人的
[00:03:14.320 --> 00:03:18.400]  因為突然間放了一大批廉價勞工
[00:03:18.400 --> 00:03:25.200]  一定會嚴重影響埃及的經濟和建設
[00:03:25.200 --> 00:03:27.240]  於是猶太人的王
[00:03:27.240 --> 00:03:28.360]  就是上帝
[00:03:28.360 --> 00:03:29.880]  上帝出手
[00:03:29.880 --> 00:03:33.440]  他用很多的神蹟去懲罰埃及王
[00:03:33.440 --> 00:03:35.560]  和他的國家
[00:03:35.560 --> 00:03:38.600]  但上帝行了九個神蹟之後
[00:03:38.600 --> 00:03:41.480]  埃及王仍然是非常的頑固
[00:03:41.480 --> 00:03:43.240]  不肯放人
[00:03:43.240 --> 00:03:46.280]  結果上帝就要行多一件神蹟
[00:03:46.280 --> 00:03:49.680]  就是殺長子的神蹟
[00:03:49.680 --> 00:03:53.920]  將所有埃及人的投生的人
[00:03:53.920 --> 00:03:57.160]  或者生畜都要殺
[00:03:57.160 --> 00:04:01.840]  那麼上帝會不會殺以色列人的投生呢?
[00:04:01.840 --> 00:04:05.040]  如果以色列人不想他們投生的人
[00:04:05.040 --> 00:04:07.520]  或者生畜死的話
[00:04:07.520 --> 00:04:09.840]  他們就要殺一隻羊
[00:04:09.840 --> 00:04:15.080]  把羊血塗在他們的門尾和門腔上
[00:04:15.080 --> 00:04:18.680]  這樣的話上帝就不會殺那一家的長子
[00:04:18.680 --> 00:04:21.800]  如果他們不做就是會殺的
[00:04:21.800 --> 00:04:26.560]  此外每一家人還要吃那隻羊的肉
[00:04:26.560 --> 00:04:29.920]  加上苦菜和無膠餅
[00:04:29.920 --> 00:04:36.080]  就是沒有經過發酵用的麵粉煎出來的無膠餅
[00:04:36.080 --> 00:04:39.680]  後來上帝真的行了第十個神蹟
[00:04:39.680 --> 00:04:42.840]  殺了埃及人的長子和生畜
[00:04:42.840 --> 00:04:45.840]  埃及王就放了猶太人離開
[00:04:45.840 --> 00:04:51.320]  從此以後上帝就要猶太人每年都守愉悅節
[00:04:51.320 --> 00:04:55.280]  和一定要吃愉悅節的晚餐
[00:04:55.280 --> 00:05:01.640]  這個晚餐是紀念上帝拯救猶太人的恩典的晚餐
[00:05:01.640 --> 00:05:06.840]  但這個晚餐也有一個很重要的象徵性的涵義
[00:05:06.840 --> 00:05:09.440]  以色列人在埃及做奴隸
[00:05:09.440 --> 00:05:13.240]  就象徵人是受到罪惡的捆綁
[00:05:13.240 --> 00:05:15.880]  我們都是被罪惡
[00:05:15.880 --> 00:05:18.880]  為罪惡做奴隸
[00:05:18.880 --> 00:05:22.320]  如果要得救的人他就要殺一隻羊
[00:05:22.320 --> 00:05:24.440]  那隻羊其實是代表耶穌
[00:05:24.440 --> 00:05:28.000]  是上帝預備的投生的兒子
[00:05:28.000 --> 00:05:35.080]  也是上帝為救贖人類而預備的代罪羔羊
[00:05:35.080 --> 00:05:37.440]  了解過猶太人晚餐的意義之後
[00:05:37.440 --> 00:05:40.080]  我們就要看今天的經文
