
[00:00:00.000 --> 00:00:03.000]  上個星期的今句
[00:00:03.000 --> 00:00:06.500]  馬可福音第十二章三十至三十一節
[00:00:06.500 --> 00:00:09.000]  如果記得就一起背
[00:00:09.000 --> 00:00:14.800]  你要盡心盡性盡義盡力愛主你的上帝
[00:00:14.800 --> 00:00:16.000]  第二條
[00:00:16.000 --> 00:00:19.000]  你要愛倫人就愛自己一樣
[00:00:19.000 --> 00:00:21.000]  很簡單
[00:00:21.000 --> 00:00:26.500]  每一次手煮餐的時候都會提醒這兩支聖經
[00:00:26.500 --> 00:00:28.500]  這兩支聖經
[00:00:28.500 --> 00:00:31.000]  就是主耶穌被人問及
[00:00:31.000 --> 00:00:35.000]  誡命中哪一條是最大的誡命的時候
[00:00:35.000 --> 00:00:37.500]  耶穌就說了這兩條
[00:00:37.500 --> 00:00:39.500]  總括了這兩條誡命
[00:00:39.500 --> 00:00:42.000]  其實知道第一條誡命
[00:00:42.000 --> 00:00:46.000]  要全心全情全意全力愛主你的上帝
[00:00:46.000 --> 00:00:48.000]  對猶太人來說
[00:00:48.000 --> 00:00:49.500]  我相信是不難的
[00:00:49.500 --> 00:00:51.500]  因為這條誡命
[00:00:51.500 --> 00:00:57.000]  是來自聖經裡面一段非常有名的經文
[00:00:57.000 --> 00:01:01.000]  猶太人叫Shemak
[00:01:01.000 --> 00:01:03.000]  這個字希伯來文的發音
[00:01:03.000 --> 00:01:06.000]  有點像普通話的Shuma
[00:01:06.000 --> 00:01:08.000]  差不多這樣音
[00:01:08.000 --> 00:01:12.000]  這個希伯來文的意思就是
[00:01:12.000 --> 00:01:14.500]  聽啊聽啊
[00:01:14.500 --> 00:01:20.000]  是在《新明紀》六章四節一開始的字
[00:01:20.000 --> 00:01:23.000]  Shemak猶太人這段字世
[00:01:23.000 --> 00:01:26.000]  就會學習背這段經文
[00:01:26.000 --> 00:01:29.000]  現成的猶太人一天還背兩次
[00:01:29.000 --> 00:01:31.500]  所以任何的律法教師
[00:01:31.500 --> 00:01:33.500]  甚至普通的猶太人
[00:01:33.500 --> 00:01:35.500]  都可以不假思索
[00:01:35.500 --> 00:01:38.500]  回答出這條誡命
[00:01:38.500 --> 00:01:40.500]  第二條最大的誡命
[00:01:40.500 --> 00:01:44.000]  你要愛鄰人像愛自己一樣
[00:01:44.000 --> 00:01:47.000]  在舊約裡面只出現了一次
[00:01:47.000 --> 00:01:49.000]  就是上星期說過的
[00:01:49.000 --> 00:01:52.000]  《尼美紀》十九章第十八節
[00:01:52.000 --> 00:01:53.500]  但由於時間關係
[00:01:53.500 --> 00:01:56.000]  我們沒有時間詳細思考那段經文
[00:01:56.000 --> 00:02:01.000]  留待今天再仔細思考這段經文
[00:02:01.000 --> 00:02:03.000]  猶太人的律法教師
[00:02:03.000 --> 00:02:08.000]  大概一般都會懂得這兩條大誡命
[00:02:08.000 --> 00:02:10.000]  所以在馬漢福音的時候
[00:02:10.000 --> 00:02:14.000]  耶穌給一位經學教師問他
[00:02:14.000 --> 00:02:16.000]  最重要的誡命的時候
[00:02:16.000 --> 00:02:20.000]  他就馬上可以回答出這兩條大誡命
