
[00:00:00.000 --> 00:00:02.000]  我們今天所講的題目就是
[00:00:02.000 --> 00:00:04.920]  你已經或者你已擁有足夠嗎
[00:00:04.920 --> 00:00:11.560]  這個是救了魔或者救了媽這個系列
[00:00:11.560 --> 00:00:12.880]  第二講
[00:00:12.880 --> 00:00:16.920]  今天我們所講的就是《馬太福音》第十五章
[00:00:16.920 --> 00:00:19.680]  這一段經文其實是講到
[00:00:19.680 --> 00:00:24.240]  主耶穌用了七個餅和幾條魚
[00:00:24.240 --> 00:00:26.880]  餵飽了四千人
[00:00:26.880 --> 00:00:32.640]  第十四章就講到五餅二魚
[00:00:32.640 --> 00:00:36.960]  第十五章就講到七個餅兩條魚
[00:00:36.960 --> 00:00:40.640]  一會兒我會跟你再深入些看看
[00:00:40.640 --> 00:00:45.240]  究竟這兩個神蹟是不是同一個神蹟
[00:00:45.240 --> 00:00:47.720]  或者是不同的神蹟
[00:00:47.720 --> 00:00:50.440]  我們就會看進去
[00:00:50.440 --> 00:00:55.400]  網上流傳有一個小故事
[00:00:55.400 --> 00:00:59.280]  它說英國的皇家海軍
[00:00:59.280 --> 00:01:03.120]  有一個口試的問題
[00:01:03.120 --> 00:01:07.120]  就是去考考生
[00:01:07.120 --> 00:01:11.320]  即是你準備進入皇家海軍服役的時候
[00:01:11.320 --> 00:01:14.560]  你要考這個口試
[00:01:14.560 --> 00:01:17.560]  這個口試的題目就是這樣
[00:01:17.560 --> 00:01:21.160]  它說有一天有一晚你駕車
[00:01:21.160 --> 00:01:25.960]  一個風雪交加的一個晚上
[00:01:25.960 --> 00:01:27.440]  很冷
[00:01:27.440 --> 00:01:31.160]  你駕車的時候走過一個巴士站
[00:01:31.160 --> 00:01:38.600]  你見到有三個人站在巴士站等巴士
[00:01:38.600 --> 00:01:41.440]  而你駕這部車
[00:01:41.440 --> 00:01:43.360]  只能夠坐一個人
[00:01:43.360 --> 00:01:47.280]  除了你之外就是乘客
[00:01:47.280 --> 00:01:53.040]  可能他在駕MG或者Mini Cooper
[00:01:53.040 --> 00:01:55.760]  見到這三個人在等公車
[00:01:55.760 --> 00:01:57.760]  即是等巴士
[00:01:57.760 --> 00:01:59.000]  這三個人是什麼人呢
[00:01:59.000 --> 00:02:04.880]  第一個就是病得非常之重的一個老婆婆
[00:02:04.880 --> 00:02:07.440]  第二個人就是一個醫生
[00:02:07.440 --> 00:02:09.320]  而這個醫生你認得他
[00:02:09.320 --> 00:02:12.800]  他是救過你的命的一個醫生
[00:02:12.800 --> 00:02:16.520]  第三個人就是你夢中的情人
[00:02:16.520 --> 00:02:22.280]  OK 這個provided that就是你還沒結婚
[00:02:22.280 --> 00:02:25.040]  但是你的車只能裝一個人
[00:02:25.040 --> 00:02:33.000]  問題是你去車哪個人呢
[00:02:33.000 --> 00:02:37.200]  在二百多個考生裏面
[00:02:37.200 --> 00:02:39.440]  只有一個是被取祿
[00:02:39.440 --> 00:02:41.920]  而這個人的答案
[00:02:41.920 --> 00:02:47.240]  是令到很多人或者考官都很驚奇的
[00:02:47.240 --> 00:02:51.080]  我給你15秒的時間想想
[00:02:51.080 --> 00:02:54.880]  你會載哪一個人
[00:02:54.880 --> 00:02:59.240]  那個病得很重的老婆婆
[00:02:59.240 --> 00:03:03.360]  還是那個救過你的命的醫生
[00:03:03.360 --> 00:03:05.120]  還是
[00:03:05.120 --> 00:03:08.280]  我兩個都不管 今天我有機會
[00:03:08.280 --> 00:03:10.400]  我夢中情人就在這裏
[00:03:10.400 --> 00:03:13.720]  我要去載他
[00:03:13.720 --> 00:03:17.520]  給你30秒的時間想想
[00:03:17.520 --> 00:03:20.840]  這個都很困難 還有就是說
[00:03:20.840 --> 00:03:23.120]  你媽媽跳進水裏
[00:03:23.120 --> 00:03:25.400]  你太太又掉進海里
[00:03:25.400 --> 00:03:27.520]  那你救誰呢 其實真的很困難
[00:03:27.520 --> 00:03:32.520]  這個都很困難的 你想想
[00:03:32.520 --> 00:03:36.040]  或者你的答案可能是你開一個truck
[00:03:36.040 --> 00:03:39.920]  塞一個人進去 或者一個人坐在車頂
[00:03:39.920 --> 00:03:43.680]  ok 那我開估了 好嗎
[00:03:43.680 --> 00:03:45.880]  答案是這樣的
[00:03:45.880 --> 00:03:48.120]  這個考生呢 他說
[00:03:48.120 --> 00:03:51.560]  我將一條鎖匙交出來
[00:03:51.560 --> 00:03:53.560]  給了一個醫生
[00:03:53.560 --> 00:03:57.960]  讓那個醫生就載那個病重的婆婆去醫院
[00:03:57.960 --> 00:03:59.480]  而我呢
[00:03:59.480 --> 00:04:02.800]  就可以和我夢中的情人
[00:04:02.800 --> 00:04:08.200]  站在巴士站那裏等車
[00:04:08.200 --> 00:04:14.280]  我覺得這個小故事非常有意思
[00:04:14.280 --> 00:04:19.240]  有人說這個小故事的功課在哪裏呢
[00:04:19.240 --> 00:04:22.280]  有時候人生裏面呢
[00:04:22.280 --> 00:04:23.920]  有一些東西
[00:04:23.920 --> 00:04:25.680]  你要放下
[00:04:25.680 --> 00:04:27.560]  你要交出來
[00:04:27.560 --> 00:04:31.320]  好像那條車匙 或者那個方向盤
[00:04:31.320 --> 00:04:34.760]  當你是願意放出來的時候
[00:04:34.760 --> 00:04:38.040]  願意放下的時候 願意交出來的時候
[00:04:38.040 --> 00:04:43.080]  那個結果可能會令你很驚奇
[00:04:43.080 --> 00:04:46.000]  今天我們看這個故事
[00:04:46.000 --> 00:04:48.640]  就是七個餅 兩條魚
[00:04:48.640 --> 00:04:52.360]  這個故事同樣給我們一個啓發
[00:04:52.360 --> 00:04:55.600]  這個啓發和剛纔那個故事一樣
[00:04:55.600 --> 00:04:57.800]  資源有限
[00:04:57.800 --> 00:05:03.440]  但是如果我們能夠將我們這麼有限的資源
[00:05:03.440 --> 00:05:05.520]  放下
[00:05:05.520 --> 00:05:08.960]  放下那個控制權 交出來
[00:05:08.960 --> 00:05:12.040]  交在主耶穌的手裏面的時候
[00:05:12.040 --> 00:05:17.320]  那個結果可能會令我們非常驚奇
[00:05:17.320 --> 00:05:20.920]  剛纔我說了
[00:05:20.920 --> 00:05:23.040]  十五章就說到
[00:05:23.040 --> 00:05:25.120]  七餅
[00:05:25.120 --> 00:05:27.120]  幾條魚的神蹟
[00:05:27.120 --> 00:05:29.880]  十四章就說到五餅二魚
[00:05:29.880 --> 00:05:32.080]  究竟這兩個神蹟
[00:05:32.080 --> 00:05:36.000]  是不是同一個神蹟呢 還是
[00:05:36.000 --> 00:05:40.920]  兩個不同的神蹟呢
[00:05:40.920 --> 00:05:44.840]  原來這兩個是兩個不同的神蹟
[00:05:44.840 --> 00:05:48.640]  五餅二魚
[00:05:48.640 --> 00:05:52.760]  在什麼地方發生的呢
[00:05:52.760 --> 00:05:57.760]  記載在猶太人的地方發生
[00:05:57.760 --> 00:06:02.760]  就是說五餅二魚的對象就是這羣神的選民
[00:06:02.760 --> 00:06:04.760]  這羣猶太人
[00:06:04.760 --> 00:06:07.920]  七個餅 幾條魚這個神蹟的對象
[00:06:07.920 --> 00:06:11.560]  原來就是一羣外邦人
[00:06:11.560 --> 00:06:16.280]  本來不在神的救恩計劃裏面
[00:06:16.280 --> 00:06:18.280]  不同的地方
[00:06:18.280 --> 00:06:21.760]  也都在不同的季節發生的
[00:06:21.760 --> 00:06:24.360]  五餅二魚如果你有留意
[00:06:24.360 --> 00:06:26.960]  在聖經的記載十四章
[00:06:26.960 --> 00:06:29.160]  主耶穌叫他們坐在草地裏面
[00:06:29.160 --> 00:06:33.520]  可能就是春天的時間
[00:06:33.520 --> 00:06:37.800]  但是七餅二魚這個故事
[00:06:37.800 --> 00:06:41.920]  沒有說到有草
[00:06:41.920 --> 00:06:45.080]  可能是在夏天的時間
[00:06:45.080 --> 00:06:48.280]  所以是兩個不同的季節
[00:06:48.280 --> 00:06:53.080]  對象也是兩種不同的對象
[00:06:53.080 --> 00:06:57.080]  一個就是神的選民這羣猶太人
[00:06:57.080 --> 00:07:00.880]  另一個就是這羣外邦人
[00:07:00.880 --> 00:07:03.720]  也都在不同的時間裏面發生
[00:07:03.720 --> 00:07:07.880]  五餅二魚是在同一天裏面發生的
[00:07:07.880 --> 00:07:11.800]  但是七個餅 幾條魚這個神蹟
[00:07:11.800 --> 00:07:17.160]  如果有留意我們剛纔寫出來的經文
[00:07:17.160 --> 00:07:18.600]  就是有三天的時間
[00:07:18.600 --> 00:07:20.920]  所以這兩個是不同的
[00:07:20.920 --> 00:07:22.440]  也都有不同的結果
[00:07:22.440 --> 00:07:27.720]  五餅二魚剩下的零碎就有十二個籃子
[00:07:27.720 --> 00:07:31.560]  七餅 幾條魚這個故事
[00:07:31.560 --> 00:07:40.040]  剩下來的有七個籃子
[00:07:40.040 --> 00:07:42.160]  其實在聖經裏面記載的東西
[00:07:42.160 --> 00:07:43.840]  沒有說是偶然的
[00:07:43.840 --> 00:07:48.240]  你想想五餅二魚的對象就是猶太人
[00:07:48.240 --> 00:07:50.720]  剩下十二個籃子
[00:07:50.720 --> 00:07:54.400]  這十二個籃子就代表十二個支派
[00:07:54.400 --> 00:07:58.600]  如果你知道以色列人是分開有十二個支派
[00:07:58.600 --> 00:08:00.280]  十二個族的
[00:08:00.280 --> 00:08:01.360]  那是對的
[00:08:01.360 --> 00:08:05.960]  爲什麼不剩下十二個籃子呢
[00:08:05.960 --> 00:08:09.160]  而這個七餅幾魚的故事
[00:08:09.160 --> 00:08:10.040]  剩下多少呢
[00:08:10.040 --> 00:08:12.720]  剩下七個籃子
[00:08:12.720 --> 00:08:14.960]  原來這七個籃子代表什麼呢
[00:08:14.960 --> 00:08:22.880]  即是說圍繞着以色列國猶太國的外邦族
[00:08:22.880 --> 00:08:26.520]  總共大概有七個大族
