
[00:00:00.000 --> 00:00:04.000]  星期五早晨,很高興能再次在崇拜的時間
[00:00:04.000 --> 00:00:06.600]  和大家一起分享主的說話
[00:00:06.600 --> 00:00:09.900]  讓我們一起在領受神的話語之先
[00:00:09.900 --> 00:00:11.700]  我們一起加上禱告
[00:00:11.700 --> 00:00:15.500]  讓聖靈帶領我們在以下這段聽道的時間
[00:00:15.500 --> 00:00:16.800]  親愛的天父,多謝祢
[00:00:16.800 --> 00:00:21.700]  讓我們能夠再次回到祢寶貴的啟示當中
[00:00:21.700 --> 00:00:24.000]  能夠讓我們明白祢更多
[00:00:24.000 --> 00:00:26.500]  求祢的聖靈幫助我們
[00:00:26.500 --> 00:00:29.500]  讓我們都能夠真真正正明白到
[00:00:29.500 --> 00:00:32.500]  你是怎樣為主,怎樣為神
[00:00:32.500 --> 00:00:36.500]  因為很好的能夠去明白祢的心思意念
[00:00:36.500 --> 00:00:40.500]  好使我們能夠在運行當中與祢同活
[00:00:40.500 --> 00:00:42.500]  在今天的日子裡
[00:00:42.500 --> 00:00:46.500]  也能夠秉承上帝祢所教託要完成的工作
[00:00:46.500 --> 00:00:48.500]  求祢的同在
[00:00:48.500 --> 00:00:50.500]  我們的同心禱告
[00:00:50.500 --> 00:00:53.500]  奉靠主耶穌基督的聖名致求
[00:00:53.500 --> 00:00:55.500]  阿們
[00:00:55.500 --> 00:01:01.500]  好,靜姐妹今天會跟大家一起去思想約爾書裡面的教導
[00:01:01.500 --> 00:01:05.500]  今天我們會一起來看約爾書的第二章
[00:01:05.500 --> 00:01:09.500]  從第十二節至第十四節
[00:01:09.500 --> 00:01:15.500]  今天的講題就是「挽回而非滅絕」
[00:01:15.500 --> 00:01:17.500]  在今天這個世界裡
[00:01:17.500 --> 00:01:22.500]  很多時候我們處理問題的態度
[00:01:22.500 --> 00:01:26.500]  最常用的手段就是叫做Reset
[00:01:26.500 --> 00:01:29.500]  重啟或者重設
[00:01:29.500 --> 00:01:32.500]  我們當遇見什麼問題的時候
[00:01:32.500 --> 00:01:37.500]  動不動我們就很喜歡將它推倒重來
[00:01:37.500 --> 00:01:40.500]  所以近這幾年裡
[00:01:40.500 --> 00:01:43.500]  其實經常我們會聽到一個說法
[00:01:43.500 --> 00:01:49.500]  其實現在很多人都要用這個所謂沙盒
[00:01:49.500 --> 00:01:53.500]  去做生意、去設計一些商業活動
[00:01:53.500 --> 00:01:56.500]  一不行就把它倒掉、把它推掉就算了
[00:01:56.500 --> 00:01:58.500]  從頭再做
