
[00:00:00.000 --> 00:00:03.000]  賽亞書第五十四章第二節到第三節
[00:00:03.000 --> 00:00:05.500]  我想我們今年好多次讀這本聖經
[00:00:05.500 --> 00:00:08.000]  我們再一起同聲開口讀一遍
[00:00:08.000 --> 00:00:08.500]  來
[00:00:08.500 --> 00:00:10.500]  要擴張你張模之地
[00:00:10.500 --> 00:00:12.500]  張大你居所的曼子
[00:00:12.500 --> 00:00:14.000]  不要限止
[00:00:14.000 --> 00:00:15.500]  要放長你的繩子
[00:00:15.500 --> 00:00:17.500]  兼顧你的爵子
[00:00:17.500 --> 00:00:20.000]  因為你要向左向右開展
[00:00:20.000 --> 00:00:23.000]  你的後裔必得多國為業
[00:00:23.000 --> 00:00:26.000]  又使荒涼的誠意有人居住
[00:00:26.000 --> 00:00:27.500]  我們就讀到這裡
[00:00:27.500 --> 00:00:30.500]  禮拜五我剛從非洲回來
[00:00:30.500 --> 00:00:32.000]  這次去非洲
[00:00:32.000 --> 00:00:34.000]  有機會第一次
[00:00:34.000 --> 00:00:37.500]  踏上尼日這個國家的土地
[00:00:37.500 --> 00:00:41.500]  尼日是一個非常保守的回教國家
[00:00:41.500 --> 00:00:45.500]  百分之九十五的人口都是回教徒
[00:00:45.500 --> 00:00:47.500]  兩年前我們從背南
[00:00:47.500 --> 00:00:50.500]  猜派了一位木子叫Benoit
[00:00:50.500 --> 00:00:53.000]  去尼日的首都尼亞美
[00:00:53.000 --> 00:00:55.000]  在那裡做開拓的工作
[00:00:55.000 --> 00:00:57.500]  一開始非常的艱難
[00:00:57.500 --> 00:00:59.500]  可是我這次去
[00:00:59.500 --> 00:01:03.000]  真的是看見神擴張的恩典
[00:01:03.000 --> 00:01:05.000]  臨到在他們身上
[00:01:05.000 --> 00:01:07.500]  我還記得今年年初的時候
[00:01:07.500 --> 00:01:10.500]  我收到Benoit牧師給我一個信息
[00:01:10.500 --> 00:01:15.000]  說他們的房東就嫌他們聚會太吵鬧
[00:01:15.000 --> 00:01:19.000]  又唱詩又打鼓又大聲禱告
[00:01:19.000 --> 00:01:21.000]  說要把他們趕出去
[00:01:21.000 --> 00:01:24.500]  說他們必須立刻停止聚會
[00:01:24.500 --> 00:01:28.000]  我那個時候還猜派了背南的牧師
[00:01:28.000 --> 00:01:32.500]  趕快飛到尼日去看一下情況是如何
[00:01:32.500 --> 00:01:35.000]  經過一段時間的溝通之後
[00:01:35.000 --> 00:01:36.500]  我們教會同意
[00:01:36.500 --> 00:01:38.000]  就是不打鼓
[00:01:38.000 --> 00:01:40.000]  不大聲唱詩禱告
[00:01:40.000 --> 00:01:44.000]  現在才可以繼續的聚會下去
[00:01:44.000 --> 00:01:45.000]  我心想
[00:01:45.000 --> 00:01:48.000]  如果是華人教會那一點問題都沒有
[00:01:48.000 --> 00:01:51.000]  反正平常唱詩禱告就沒聲音嘛
[00:01:51.000 --> 00:01:54.000]  但是非洲人的教會
[00:01:54.000 --> 00:01:55.500]  我心想沒個鼓
[00:01:55.500 --> 00:01:58.000]  你叫他怎麼敬拜讚美啊
[00:01:58.000 --> 00:02:01.000]  不大聲你叫他怎麼唱詩禱告啊
[00:02:01.000 --> 00:02:03.500]  我都很難想像這個教會
[00:02:03.500 --> 00:02:06.000]  怎麼能夠繼續成長
[00:02:06.000 --> 00:02:07.500]  可是這一次我去的時候
[00:02:07.500 --> 00:02:10.000]  真的看見神擴張的恩典
[00:02:10.000 --> 00:02:12.000]  寫明在他們中間
[00:02:12.000 --> 00:02:16.500]  小小的房間裡裡外外擠滿了人
[00:02:16.500 --> 00:02:18.500]  本來還沒有聚會以前
[00:02:18.500 --> 00:02:20.000]  Benoit牧師就對我說
[00:02:20.000 --> 00:02:23.000]  劉牧師你難得來到我們中間一趟
[00:02:23.000 --> 00:02:26.000]  你可不可以今天為我們每一位弟兄姐妹
[00:02:26.000 --> 00:02:28.500]  恩高祝福禱告
[00:02:28.500 --> 00:02:31.500]  我心想大概二三十人沒有問題
[00:02:31.500 --> 00:02:33.000]  我一個一個為你們恩高禱告
[00:02:33.000 --> 00:02:34.500]  我說沒問題
[00:02:34.500 --> 00:02:36.500]  等到我一到現場
[00:02:36.500 --> 00:02:38.500]  他簡直不敢相信
[00:02:38.500 --> 00:02:43.000]  大大小小擠在裡面超過一百多人啊
[00:02:43.000 --> 00:02:46.000]  那天晚上一直禱告到晚上十點多
[00:02:46.000 --> 00:02:47.000]  才聚會結束啊
[00:02:47.000 --> 00:02:49.500]  Hallelujah
[00:02:49.500 --> 00:02:55.000]  我再次體會到神擴張的季節真的來到了
[00:02:55.000 --> 00:03:00.500]  神樂意賜下擴張的恩典給他的百姓的
