
[00:00:00.000 --> 00:00:04.640]  各位聽眾姐妹大家好 又和大家見面了
[00:00:04.640 --> 00:00:10.420]  今天和大家就是透過今天的經文去了解
[00:00:10.420 --> 00:00:12.920]  聖經人、聖經事
[00:00:12.920 --> 00:00:16.120]  看看背後上帝奇妙的工作
[00:00:16.120 --> 00:00:20.840]  這個是生命樹宣教網絡為大家去準備的
[00:00:20.840 --> 00:00:23.020]  都經過很長的日子了
[00:00:23.020 --> 00:00:25.820]  我們今天繼續看約書亞
[00:00:25.820 --> 00:00:30.480]  約書亞這個人物雖然我們都聽過很多次、認識他
[00:00:30.480 --> 00:00:36.060]  但其實你會發現比較少人去說約書亞怎樣怎樣
[00:00:36.060 --> 00:00:37.380]  都很少的
[00:00:37.380 --> 00:00:43.100]  當時如果說舊約就說阿伯拉罕、雅各、摩西、羅亞
[00:00:43.100 --> 00:00:48.660]  或者後來有大衛或者有些皇帝
[00:00:48.660 --> 00:00:50.200]  比較少提約書亞
[00:00:50.200 --> 00:00:54.960]  他似乎只不過是摩西的接班人、助手
[00:00:54.960 --> 00:00:58.340]  但其實他是一個非常重要的人物
[00:00:58.340 --> 00:01:03.140]  因為他是上帝指明他接替摩西
[00:01:03.140 --> 00:01:06.340]  帶以色列人進去加拿大
[00:01:06.340 --> 00:01:10.060]  而且是由於他的勝利
[00:01:10.060 --> 00:01:13.640]  而帶給整個的以色列人
[00:01:13.640 --> 00:01:17.140]  在他們進加拿大之後怎樣去分土地
[00:01:17.140 --> 00:01:18.920]  以及怎樣得勝的
[00:01:18.920 --> 00:01:21.500]  今天就來到一個總結了
[00:01:21.500 --> 00:01:26.700]  你記得昨天就說到北面的皇帝
[00:01:26.700 --> 00:01:30.660]  北面的很多地方很多不是皇帝叫王的
[00:01:30.660 --> 00:01:34.440]  很多北面的各個城的王
[00:01:34.440 --> 00:01:37.880]  特別是下所城的王就聽到
[00:01:37.880 --> 00:01:41.080]  以色列人在南方這麼厲害
[00:01:41.080 --> 00:01:43.900]  在出埃及、在抗野這麼厲害
[00:01:43.900 --> 00:01:47.860]  而且將當地的王都殺死掉在樹上面
[00:01:47.860 --> 00:01:52.500]  害怕了 整個北方的王就幾十個一起
[00:01:52.500 --> 00:01:55.500]  數不了這麼多 一起去進攻以色列
[00:01:55.500 --> 00:01:59.620]  預備打仗了 趕他們走 離開英許之地了
[00:01:59.620 --> 00:02:04.120]  前天就說南面五個王一起聯合
[00:02:04.120 --> 00:02:06.080]  要抗拒以色列人
[00:02:06.080 --> 00:02:07.920]  因為看到他們進來的時候
[00:02:07.920 --> 00:02:10.220]  耶利哥在艾城這麼厲害
[00:02:10.220 --> 00:02:13.520]  結果昨天看到北面的王
[00:02:13.520 --> 00:02:16.620]  全部都不是以色列的對手
[00:02:16.620 --> 00:02:19.840]  打臉他們是得勝了
[00:02:19.840 --> 00:02:22.420]  今天就總結了
[00:02:22.420 --> 00:02:25.860]  今天的題目是我自己找出來的
[00:02:25.860 --> 00:02:27.000]  自己想的
[00:02:27.000 --> 00:02:32.180]  是從北到南的勝利是因為英許而來
[00:02:32.180 --> 00:02:38.360]  其實就是說是因為神的英許而他們得勝
[00:02:38.360 --> 00:02:39.680]  因為傳而得勝
[00:02:39.680 --> 00:02:42.100]  由北到南的地方得勝
[00:02:42.100 --> 00:02:45.060]  而且在聖經裡面是記載了的
[00:02:45.060 --> 00:02:47.640]  今天和大家去看一下
[00:02:47.640 --> 00:02:50.600]  從北到南的勝利 因英許而來
[00:02:50.600 --> 00:02:56.600]  讀這段聖經 心裡面是非常感恩和讚美的
[00:02:56.600 --> 00:02:58.300]  今天和大家看的經文
[00:02:58.300 --> 00:03:03.600]  就是在約書亞記第十二章第七節
[00:03:03.600 --> 00:03:05.400]  經文是這樣說的
[00:03:05.400 --> 00:03:13.020]  約書亞和以色列人在約旦河西擊殺了諸王
[00:03:13.020 --> 00:03:18.780]  他們的地是從黎巴嫩平原的巴力加德
