
[00:00:00.000 --> 00:00:02.400]  姑娘姐妹 讓我們在聆聽主的說話
[00:00:02.400 --> 00:00:05.040]  以先讓我們一起同心低頭禱告
[00:00:05.040 --> 00:00:07.480]  護神 多謝祢
[00:00:07.480 --> 00:00:11.480]  多謝祢讓我們能夠再次回到祢在祢的跟前
[00:00:11.480 --> 00:00:14.160]  並且打開祢的啟示
[00:00:14.160 --> 00:00:18.800]  在祢這裡去監察我們每個人的心思意念
[00:00:18.800 --> 00:00:20.720]  好使祢能夠準確
[00:00:20.720 --> 00:00:24.400]  有正義來分解主祢的說話
[00:00:24.400 --> 00:00:26.960]  我為此再次獻上禱告
[00:00:27.640 --> 00:00:30.760]  讓聖靈在當中誘導每一個
[00:00:30.760 --> 00:00:34.320]  使得在實體崇拜的每一個弟兄姊妹
[00:00:34.320 --> 00:00:38.880]  以及在網絡上透過網絡的傳遞
[00:00:38.880 --> 00:00:41.080]  能夠去參與崇拜的每一個
[00:00:41.080 --> 00:00:45.640]  都能夠掌握到上帝祢真正的意思
[00:00:45.640 --> 00:00:49.080]  並且能夠明白主祢的心思
[00:00:49.080 --> 00:00:51.920]  讓我們在這個世界的裡面
[00:00:51.920 --> 00:00:56.200]  能夠合而合當地活出
[00:00:56.200 --> 00:00:58.320]  由屬神子民應有的生命
[00:00:58.320 --> 00:01:01.040]  我們再次將這段時間交上
[00:01:01.040 --> 00:01:02.440]  求祢的大令
[00:01:02.440 --> 00:01:07.080]  禱告奉靠主耶穌基督得聖名字而求
[00:01:07.080 --> 00:01:07.920]  阿們
[00:01:07.920 --> 00:01:12.360]  其實在這個世界的裡面
[00:01:12.360 --> 00:01:15.960]  很多人喜歡阿諛奉承
[00:01:15.960 --> 00:01:18.160]  或者見風洗禮
[00:01:18.160 --> 00:01:20.240]  甚至可以這麼說
[00:01:20.240 --> 00:01:22.320]  看到哪裡有好處
[00:01:22.320 --> 00:01:27.520]  他就會去那裡被吸引進入群體當中
[00:01:27.520 --> 00:01:30.680]  這種的情況
[00:01:30.680 --> 00:01:33.400]  我覺得其中有一個很好的故事
