
[00:00:00.000 --> 00:00:04.000]  在不久之前我和一個小朋友聊天
[00:00:04.000 --> 00:00:06.000]  聊著聊著的時候
[00:00:06.000 --> 00:00:07.400]  那個小朋友就問我
[00:00:07.400 --> 00:00:08.700]  你知不知道
[00:00:08.700 --> 00:00:10.800]  在基督教家庭的小朋友
[00:00:10.800 --> 00:00:12.700]  最喜歡什麼詞彙呢
[00:00:12.700 --> 00:00:15.300]  我說我不知道 你告訴我
[00:00:15.300 --> 00:00:17.800]  他說 就是「阿門」
[00:00:17.800 --> 00:00:19.900]  因為當我們很餓的時候
[00:00:19.900 --> 00:00:24.000]  父母大人堅持要借飯祈禱
[00:00:24.000 --> 00:00:26.200]  我們一直帶著肚子餓
[00:00:26.200 --> 00:00:27.800]  一直聽他們祈禱
[00:00:27.800 --> 00:00:29.900]  講到最後「阿門」
[00:00:29.900 --> 00:00:31.100]  這就有東西吃了
[00:00:31.100 --> 00:00:33.000]  你說多開心呢
[00:00:33.000 --> 00:00:35.700]  我又說 也是的
[00:00:35.700 --> 00:00:39.200]  「阿門」其實是一個希伯來文的陰譯
[00:00:39.200 --> 00:00:45.100]  意思是相信 肯定 贊成 認同
[00:00:45.100 --> 00:00:47.500]  對於我們信耶穌的人來說
[00:00:47.500 --> 00:00:50.800]  「阿門」其實是我們生活的一部份
[00:00:50.800 --> 00:00:51.800]  當你祈禱
[00:00:51.800 --> 00:00:53.400]  最後你一定會說
[00:00:53.400 --> 00:00:56.200]  奉耶穌基督聖名祈求
[00:00:56.200 --> 00:00:57.200]  「阿門」
[00:00:57.200 --> 00:00:59.500]  就是代表你所說的東西
[00:00:59.500 --> 00:01:02.100]  你的內心是絕對相信
[00:01:02.100 --> 00:01:04.300]  如果其他人祈禱
[00:01:04.300 --> 00:01:07.400]  如果你同意祂的禱告內容
[00:01:07.400 --> 00:01:10.100]  你都會說「阿門」
[00:01:10.100 --> 00:01:10.600]  但是你想想
[00:01:10.600 --> 00:01:13.900]  如果這個「阿門」是神自己說的
[00:01:13.900 --> 00:01:15.800]  又代表什麼呢
[00:01:15.800 --> 00:01:19.400]  今天我們講到的經文聖經
[00:01:19.400 --> 00:01:20.800]  出《埃及記》裡面
[00:01:20.800 --> 00:01:23.800]  就是神親自用行動
[00:01:23.800 --> 00:01:27.200]  跟當時的意識人說「阿門」
[00:01:27.200 --> 00:01:28.700]  我們一起看出《埃及記》
[00:01:28.700 --> 00:01:31.600]  四十章三十四至三十五節
[00:01:31.600 --> 00:01:33.700]  聽節目一起讀 一二三
[00:01:33.700 --> 00:01:36.600]  當時雲彩遮蓋會幕
[00:01:36.600 --> 00:01:40.700]  耶和華的榮光就充滿了帳幕
