
[00:00:00.000 --> 00:00:06.900]  今天訊息的經文是來自《撒姆爾記》上28章和《撒姆爾記》上31章
[00:00:06.900 --> 00:00:08.200]  兩章的經文
[00:00:08.200 --> 00:00:11.200]  我們將會選讀兩個的段落
[00:00:11.200 --> 00:00:14.800]  第一個段落是28章3至10節
[00:00:14.800 --> 00:00:18.400]  第二個段落是31章1至4節
[00:00:18.400 --> 00:00:24.400]  請聽我讀出《撒姆爾記》上28章3至10節
[00:00:24.400 --> 00:00:27.200]  那時撒姆爾已經死了
[00:00:27.200 --> 00:00:31.600]  以色列眾人為他哀哭 葬他在拉瑪
[00:00:31.600 --> 00:00:34.000]  受試在他本城裡
[00:00:34.000 --> 00:00:39.600]  掃羅曾在國內不容有交鬼的和行巫術的人
[00:00:39.600 --> 00:00:43.700]  菲利士人聚集 來到書念安營
[00:00:43.700 --> 00:00:48.400]  掃羅聚集以色列眾人在基利波安營
[00:00:48.400 --> 00:00:54.200]  掃羅看見菲利士的軍女就懼怕 心中發戰
[00:00:54.200 --> 00:00:58.800]  掃羅求問耶和華 耶和華卻不寂寞或污靈
[00:00:58.800 --> 00:01:01.900]  或先知回答他
[00:01:01.900 --> 00:01:04.100]  掃羅吩咐神僕說
[00:01:04.100 --> 00:01:08.900]  當為我找一個交鬼的婦人 我好去問他
[00:01:08.900 --> 00:01:14.400]  神僕說 在忍多爾有一個交鬼的婦人
[00:01:14.400 --> 00:01:18.000]  於是掃羅改了裝 穿上別的衣服
[00:01:18.000 --> 00:01:22.000]  帶著兩個人 夜裡去見那婦人
[00:01:22.000 --> 00:01:25.300]  掃羅說 求你用交鬼的法術
[00:01:25.300 --> 00:01:29.500]  將我所告訴你的死人 為我招上來
[00:01:29.500 --> 00:01:30.900]  婦人對他說
[00:01:30.900 --> 00:01:35.500]  你知道掃羅從國中剪除交鬼的和行巫術的
[00:01:35.500 --> 00:01:39.500]  你為何陷害我的性命 使我死呢
[00:01:39.500 --> 00:01:43.600]  掃羅向婦人指著耶和華起誓說
[00:01:43.600 --> 00:01:46.200]  我指著永生的耶和華起誓
[00:01:46.200 --> 00:01:50.000]  你必不因這事受刑
[00:01:50.000 --> 00:01:53.300]  第二個部分的經文是來自
[00:01:53.300 --> 00:01:56.000]  31章1至4節
[00:01:56.000 --> 00:01:59.400]  我請弟兄姊妹和我一起讀出 好嗎
[00:01:59.400 --> 00:02:03.600]  31章1至4節 預備起
[00:02:03.600 --> 00:02:07.300]  菲利士人與以色列人爭戰
[00:02:07.300 --> 00:02:11.500]  以色列人在菲利士人面前逃跑
[00:02:11.500 --> 00:02:15.300]  在基利波有被殺仆倒的
[00:02:15.300 --> 00:02:19.700]  菲利士人緊追掃羅和他兒子們
[00:02:19.700 --> 00:02:23.600]  就殺了掃羅的兒子約拿丹
[00:02:23.600 --> 00:02:27.300]  亞比拿達 麥基舒亞
[00:02:27.300 --> 00:02:32.600]  世派甚大 掃羅被弓箭手追上
[00:02:32.600 --> 00:02:34.600]  射傷甚重
[00:02:34.600 --> 00:02:38.200]  就吩咐那他兵器的人說
[00:02:38.200 --> 00:02:42.100]  你不出刀來 將我賜死
[00:02:42.100 --> 00:02:48.000]  免得那些未受國禮的人來賜我 凌辱我
[00:02:48.000 --> 00:02:51.200]  但那兵器的人甚懼怕
[00:02:51.200 --> 00:02:53.000]  不肯賜他
[00:02:53.000 --> 00:02:57.400]  掃羅就自己伏在刀上死了
[00:02:57.400 --> 00:03:04.200]  這是上主的話
[00:03:04.200 --> 00:03:10.100]  說宣從今年的年初多了一位傳道
