
[00:00:00.000 --> 00:00:03.560]  今天我跟大家講一個題目叫「誰真是主」
[00:00:03.560 --> 00:00:11.880]  我們知道自從亞當、夏娃被引誘犯罪之後
[00:00:11.880 --> 00:00:22.120]  其實那個試探是什麼呢?他們要做神
[00:00:22.120 --> 00:00:27.800]  你們就好像神一樣
[00:00:29.720 --> 00:00:32.200]  可以決定是非對錯
[00:00:32.200 --> 00:00:36.200]  神的話都不用聽
[00:00:36.200 --> 00:00:40.920]  然後希望能夠掌控一切
[00:00:40.920 --> 00:00:48.760]  人就用很多方法去擁有物質、科技
[00:00:48.760 --> 00:00:50.400]  來要成為神
[00:00:50.400 --> 00:00:59.680]  那究竟人是神還是神是神呢?
[00:00:59.840 --> 00:01:02.680]  到底人是神還是神還是神?
[00:01:02.680 --> 00:01:05.160]  這段經文的背景是什麼呢?
[00:01:05.160 --> 00:01:09.960]  背景就是當時以色列的阿哈做皇帝
[00:01:09.960 --> 00:01:13.440]  那個經文的背景是什麼呢?
[00:01:13.440 --> 00:01:17.280]  是阿哈的兒子是皇帝
[00:01:17.280 --> 00:01:19.200]  是的
[00:01:19.200 --> 00:01:25.840]  他就好像他的爸爸一樣受耶穌別的影響
[00:01:26.080 --> 00:01:30.920]  他就好像他爸爸一樣受耶穌別的影響
[00:01:30.920 --> 00:01:36.000]  全國都敬拜假神
[00:01:36.000 --> 00:01:38.320]  全國都敬拜假神
[00:01:38.320 --> 00:01:42.840]  在這個背叛的時代
[00:01:42.840 --> 00:01:46.040]  在這個背叛的時代
[00:01:46.040 --> 00:01:50.200]  你發覺神的恩典就臨到外邦人
[00:01:50.200 --> 00:01:54.320]  我們發覺神的恩典就臨到外邦人
[00:01:54.320 --> 00:01:57.280]  給大家見見《路加封》四章二十七節
[00:01:57.280 --> 00:01:58.560]  一起讀,好嗎?
[00:01:58.560 --> 00:01:59.400]  一、二、三
[00:01:59.400 --> 00:02:01.840]  先知以利沙的時侯
[00:02:01.840 --> 00:02:05.080]  以色列中有許多大麻風
[00:02:05.080 --> 00:02:08.520]  但內中除了阿蘭國的奶麻
[00:02:08.520 --> 00:02:10.480]  沒有一個潔淨的
[00:02:10.480 --> 00:02:11.400]  是的
[00:02:11.400 --> 00:02:14.880]  就是說當整個國家去背叛神的時侯
[00:02:14.880 --> 00:02:19.320]  神的救恩的依旨就臨到外邦人
[00:02:19.320 --> 00:02:22.760]  當全國都背叛神的時侯
[00:02:22.760 --> 00:02:25.560]  那個依旨就臨到外邦人
[00:02:25.560 --> 00:02:29.920]  當時有一個被俘虜了的小女子
[00:02:29.920 --> 00:02:33.440]  就跟奶曼的太太說
[00:02:33.440 --> 00:02:36.920]  當時有個被忽略的小女子
[00:02:36.920 --> 00:02:39.320]  就和奶曼的妻子說
[00:02:39.320 --> 00:02:41.680]  巴不得我的主人去撒瑪利亞
[00:02:41.680 --> 00:02:44.640]  找這個先知
[00:02:44.640 --> 00:02:49.120]  巴不得我的主人去撒瑪利亞找這個先知
[00:02:49.120 --> 00:02:50.600]  就醫好了
[00:02:50.600 --> 00:02:52.200]  就可以得醫治了
[00:02:52.200 --> 00:02:54.360]  其實這個也有很多的故事
[00:02:54.360 --> 00:02:56.520]  一個被俘虜的小女子
[00:02:56.520 --> 00:03:04.040]  這個奴婢來的
[00:03:04.040 --> 00:03:06.760]  無權無勢的
[00:03:06.760 --> 00:03:09.080]  無能無力的
[00:03:09.080 --> 00:03:14.680]  竟然帶給一個大元帥一個希望
[00:03:14.680 --> 00:03:20.240]  我們看看這個奶曼出場了
[00:03:20.240 --> 00:03:22.040]  她怎樣去求助呢
[00:03:22.560 --> 00:03:24.760]  我們看看這個奶曼出場了
[00:03:24.760 --> 00:03:27.000]  她怎樣去求助呢
[00:03:27.000 --> 00:03:30.400]  她帶了750鎊銀紙
[00:03:30.400 --> 00:03:33.240]  她帶了750鎊銀紙
[00:03:33.240 --> 00:03:34.920]  150鎊金紙
[00:03:34.920 --> 00:03:36.040]  150鎊金紙
[00:03:36.040 --> 00:03:37.520]  不要算銀 先算金
[00:03:37.520 --> 00:03:39.560]  150鎊即是多少盎司
[00:03:39.560 --> 00:03:41.400]  即是1800盎司
[00:03:41.400 --> 00:03:44.120]  現在多少錢一盎司黃金
[00:03:44.120 --> 00:03:47.440]  差不多2000元
[00:03:47.440 --> 00:03:48.440]  2000元美金
[00:03:48.440 --> 00:03:49.840]  即是這裡多少錢
[00:03:51.880 --> 00:03:55.640]  幾百萬美金
[00:03:55.640 --> 00:03:58.240]  還沒算銀紙
[00:03:58.240 --> 00:04:00.920]  接著十套貴重的衣服
[00:04:00.920 --> 00:04:04.120]  我們算算那個金子
[00:04:04.120 --> 00:04:07.080]  那個金子現在價值有100萬
[00:04:07.080 --> 00:04:08.240]  那個衣服呢
[00:04:08.240 --> 00:04:10.200]  對了
[00:04:10.200 --> 00:04:11.640]  還有一件重要的
[00:04:11.640 --> 00:04:13.360]  她帶了一封皇帝的信
[00:04:13.360 --> 00:04:16.520]  她還帶上了一個皇帝的信
[00:04:16.520 --> 00:04:17.240]  即是甚麼呢
[00:04:17.240 --> 00:04:19.800]  連外交的權力也用了
[00:04:20.480 --> 00:04:24.120]  她也使用了外交的權力
[00:04:24.120 --> 00:04:27.080]  即是說我命令你要去醫好我的元帥
[00:04:27.080 --> 00:04:30.840]  那意思就是我命令你要把我的元帥
[00:04:30.840 --> 00:04:32.080]  大家看到那個勢嗎
[00:04:32.080 --> 00:04:35.440]  大家可以看到那個氣勢
[00:04:35.440 --> 00:04:37.120]  全部是地位
[00:04:37.120 --> 00:04:39.680]  那有地位
[00:04:39.680 --> 00:04:40.520]  權勢
[00:04:40.520 --> 00:04:41.480]  權勢
[00:04:41.480 --> 00:04:42.520]  富貴
[00:04:42.520 --> 00:04:44.560]  還有富貴
[00:04:44.560 --> 00:04:46.320]  勢不可擋是嗎
[00:04:46.320 --> 00:04:47.840]  那是勢不可擋
[00:04:47.840 --> 00:04:50.040]  其實那封信挺不客氣的
[00:04:50.920 --> 00:04:53.120]  我們看那個信應該是不客氣的
[00:04:53.120 --> 00:04:53.880]  那這封信
[00:04:53.880 --> 00:04:54.400]  嘩
[00:04:54.400 --> 00:04:56.880]  這個阿哈的兒子一看完之後
[00:04:56.880 --> 00:04:58.080]  這個皇帝一看完之後
[00:04:58.080 --> 00:05:00.200]  就嚇到快要死了
[00:05:00.200 --> 00:05:04.040]  那個皇帝的兒子看完這個信就嚇了一跳
[00:05:04.040 --> 00:05:06.160]  那這個擺明是戰書來的是嗎
[00:05:06.160 --> 00:05:08.480]  那個看來是戰書
[00:05:08.480 --> 00:05:11.640]  那她害怕得撕爛她的衣服
[00:05:11.640 --> 00:05:15.520]  她就怕得把自己的衣服撕爛了
[00:05:15.520 --> 00:05:16.320]  甚麼意思呢
[00:05:16.320 --> 00:05:17.480]  即是這次死定了
[00:05:17.480 --> 00:05:19.800]  那就死定了
[00:05:20.920 --> 00:05:26.360]  那賴曼就叫整個皇宮都在恐懼震動裏面
[00:05:26.360 --> 00:05:32.360]  以麗莎知道是嗎
[00:05:32.360 --> 00:05:36.040]  她就跟皇帝說
[00:05:36.040 --> 00:05:37.440]  派人就跟皇帝說
[00:05:37.440 --> 00:05:40.440]  叫他來找我吧
[00:05:40.440 --> 00:05:43.560]  不用怕的
[00:05:43.560 --> 00:05:46.080]  叫皇帝不要怕
[00:05:46.080 --> 00:05:48.960]  那弟兄姊妹
[00:05:50.160 --> 00:05:54.880]  賴曼她的來世是充滿了甚麼
[00:05:54.880 --> 00:06:01.240]  賴曼她的來世像甚麼呢
[00:06:01.240 --> 00:06:05.120]  其實那些壓力是嗎
[00:06:05.120 --> 00:06:07.120]  錢那些壓死你
[00:06:07.120 --> 00:06:08.040]  是嗎
[00:06:08.040 --> 00:06:10.040]  她的金錢就把我們壓死了
[00:06:10.040 --> 00:06:13.080]  我們以前就叫拜金主義
[00:06:13.080 --> 00:06:15.840]  我們以前叫做
[00:06:15.840 --> 00:06:17.760]  這個名字很老套
[00:06:17.760 --> 00:06:19.480]  現在叫甚麼
[00:06:21.160 --> 00:06:22.960]  現在叫消費主義
[00:06:22.960 --> 00:06:28.520]  這個消費主義的社會
[00:06:28.520 --> 00:06:31.920]  這個消費主義的社會
