
[00:00:00.000 --> 00:00:03.880]  好 節目讓我們一齊去聽主的道理
[00:00:03.880 --> 00:00:05.380]  先和鄧小姐討論
[00:00:05.380 --> 00:00:07.380]  先討論就夠了
[00:00:07.380 --> 00:00:12.680]  師父 多謝您讓我們能夠在聖誕節的節期裏面
[00:00:12.680 --> 00:00:15.480]  再次默想聖誕的意義
[00:00:15.480 --> 00:00:18.980]  護神 求您讓我們在這個過程當中
[00:00:18.980 --> 00:00:22.580]  重新掌握、明白、認識
[00:00:22.580 --> 00:00:26.660]  您在三位一體裏面的那份關係
[00:00:26.660 --> 00:00:30.980]  怎樣這份關係延伸到您的創造當中
[00:00:30.980 --> 00:00:34.260]  特別我們作為非洲人
[00:00:34.260 --> 00:00:38.480]  主要求您讓我們曉得在聖誕期間
[00:00:38.480 --> 00:00:41.740]  再次明白到我們得救的原因
[00:00:41.740 --> 00:00:42.820]  求您的幫助
[00:00:42.820 --> 00:00:45.420]  親愛的主 感謝您給我們今天
[00:00:45.420 --> 00:00:48.540]  在這個聖誕節的節期的期間
[00:00:48.540 --> 00:00:54.080]  讓我們再次掌握有關聖誕的意義
[00:00:54.080 --> 00:00:58.420]  也讓我們在這個聖誕節節期裏面也看到
[00:00:58.420 --> 00:01:01.900]  在三位一體的神靈們之間
[00:01:01.900 --> 00:01:05.620]  彼此的關係是怎樣建立起來
[00:01:05.620 --> 00:01:08.340]  也因為你們的關係
[00:01:08.340 --> 00:01:11.260]  拿一種親密
[00:01:11.260 --> 00:01:13.420]  知道我們受咒物
[00:01:13.420 --> 00:01:15.220]  我們是人
[00:01:15.220 --> 00:01:17.300]  我們也同樣享受到
[00:01:17.300 --> 00:01:20.900]  這份關係所帶來的福氣
[00:01:20.900 --> 00:01:25.840]  求您的幫助使我們重新掌握這個主題
[00:01:25.840 --> 00:01:26.540]  求您的幫助
[00:01:26.540 --> 00:01:28.960]  我們大家要封住耶穌的名嘴
[00:01:28.960 --> 00:01:31.600]  Amen
[00:01:31.600 --> 00:01:34.500]  聖誕
[00:01:34.500 --> 00:01:35.700]  來到聖誕的時候
[00:01:35.700 --> 00:01:38.140]  我們很多時候就掛著去買禮物
[00:01:38.140 --> 00:01:39.300]  來到聖誕的時候
[00:01:39.300 --> 00:01:41.880]  我們很多時候是掛著去買禮物
[00:01:41.880 --> 00:01:43.660]  我想在加拿大住這麼多年
[00:01:43.660 --> 00:01:48.380]  最開心的時間就是見到聖誕商場裏面很多人
[00:01:48.380 --> 00:01:49.980]  來到加拿大這麼多年
[00:01:49.980 --> 00:01:52.580]  最開心的時候就是看到商場裏面很多人
[00:01:52.580 --> 00:01:56.100]  特別我在香港來了 亞洲來了
[00:01:56.100 --> 00:01:58.220]  特別是我從香港、亞洲來的
[00:01:58.220 --> 00:02:00.420]  同時這麼重要的節期
[00:02:00.420 --> 00:02:02.220]  我們也會見到很多人
[00:02:02.220 --> 00:02:04.140]  完全是看到這些重要的節日
[00:02:04.140 --> 00:02:05.060]  就看到很多人
[00:02:05.060 --> 00:02:06.780]  一移民來到加拿大
[00:02:06.780 --> 00:02:09.100]  加拿大就是人丁單薄
[00:02:09.100 --> 00:02:11.020]  加拿大就是人丁單薄
[00:02:11.020 --> 00:02:12.580]  走出街
[00:02:12.580 --> 00:02:14.860]  見到一個人已經很開心了
[00:02:14.860 --> 00:02:15.820]  走到街上
[00:02:15.820 --> 00:02:17.420]  看到一個人就會感到很高興
[00:02:17.420 --> 00:02:19.740]  我這次很早回來教會的時候
[00:02:19.740 --> 00:02:21.380]  一見到有兩夫婦牽著一隻狗
[00:02:21.380 --> 00:02:22.380]  我更開心
[00:02:22.380 --> 00:02:23.980]  今天早上來教會之前
[00:02:23.980 --> 00:02:25.420]  看到街上有兩個夫婦
[00:02:25.420 --> 00:02:27.500]  一對夫婦牽著一條狗
[00:02:27.500 --> 00:02:29.260]  我看他們都感到很高興
[00:02:29.260 --> 00:02:30.740]  和他們聊聊天
[00:02:30.740 --> 00:02:31.300]  走過去兩天
