
[00:00:00.000 --> 00:00:01.720]  我們的使命宣言說
[00:00:01.720 --> 00:00:06.760]  我們要以敬拜禱告宣教建立神榮耀的角度
[00:00:06.760 --> 00:00:10.600]  當我預備馬可科恩的信息的時候
[00:00:10.600 --> 00:00:14.880]  我就想起耶穌在加利利報道裏面
[00:00:14.880 --> 00:00:16.400]  兩個的片段
[00:00:16.400 --> 00:00:17.960]  從這兩個片段裏面
[00:00:17.960 --> 00:00:19.200]  我們去看到
[00:00:19.200 --> 00:00:23.600]  神去怎樣宣揚神的角度的三個優先
[00:00:23.600 --> 00:00:25.960]  其實當一班弟兄姊妹
[00:00:25.960 --> 00:00:29.240]  他們在緬甸短宣或者在廣佛短宣的時候
[00:00:29.240 --> 00:00:31.240]  我們都有一班弟兄姊妹
[00:00:31.240 --> 00:00:34.920]  一行八人參加了一個把握時機
[00:00:34.920 --> 00:00:37.760]  Kyros的宣教生命課程
[00:00:37.760 --> 00:00:40.280]  這八個人裏面包括有教務同工
[00:00:40.280 --> 00:00:42.480]  有執事、有弟兄姊妹
[00:00:42.480 --> 00:00:45.200]  讓我們能夠開我們的眼界
[00:00:45.200 --> 00:00:49.760]  再一次的去看到神對普世宣教的心意
[00:00:49.760 --> 00:00:51.840]  可能有很多弟兄姊妹會覺得
[00:00:51.840 --> 00:00:55.480]  宣教這件事只是一個錦上添花
[00:00:55.480 --> 00:00:59.200]  或者是一個教會有餘力的時候
[00:00:59.200 --> 00:01:01.120]  繼續去做的工作
[00:01:01.120 --> 00:01:04.520]  但是當我上完這個課程裏面
[00:01:04.520 --> 00:01:06.080]  我更加確認一樣東西
[00:01:06.080 --> 00:01:07.760]  其實我以往都是這樣確認
[00:01:07.760 --> 00:01:10.120]  但是這個課程比我更加確認的
[00:01:10.120 --> 00:01:15.080]  就是宣教正正就是教會存在的主題
[00:01:15.080 --> 00:01:17.240]  那個最核心的地方
[00:01:17.240 --> 00:01:18.560]  因為我們看到
[00:01:18.560 --> 00:01:21.280]  我們的主耶穌當祂臨升天之前
[00:01:21.280 --> 00:01:23.280]  祂頒佈的大使命
[00:01:23.280 --> 00:01:26.240]  祂說要使萬民作我的門徒
[00:01:26.240 --> 00:01:27.480]  這個是最重要
[00:01:27.480 --> 00:01:29.120]  但是我們透過幾個途徑
[00:01:29.120 --> 00:01:33.440]  所以你們要去使萬民作我的門徒
[00:01:33.440 --> 00:01:35.200]  奉父子聖靈的名
[00:01:35.200 --> 00:01:36.600]  給他們施浸
[00:01:36.600 --> 00:01:38.640]  凡我所吩咐他們的
[00:01:38.640 --> 00:01:41.080]  都要教訓他們遵守
[00:01:41.080 --> 00:01:43.480]  我就常與你們同在
[00:01:43.480 --> 00:01:45.600]  直到世界的末了
