
[00:00:00.000 --> 00:00:06.000]  上個月謝姑娘就用羅馬書生意更新而變化去分享這個主題
[00:00:06.000 --> 00:00:10.200]  上個月謝姑娘用新意更新而變化羅馬書去分享
[00:00:10.200 --> 00:00:11.200]  我有聽回的
[00:00:11.200 --> 00:00:12.200]  她有聽
[00:00:12.200 --> 00:00:19.200]  她提到有間公司的新同事上任就有一部新的iPhone
[00:00:19.200 --> 00:00:23.200]  她有提到有一個公司的一個同事想要一部新的iPhone
[00:00:23.200 --> 00:00:28.200]  但是她上任就只是莫須給一本教會的年刊
[00:00:28.200 --> 00:00:34.200]  但是她卻發現牧師只是給她一本教會的年刊
[00:00:34.200 --> 00:00:38.200]  無論如何我們都希望能夠在主的裏面更新
[00:00:38.200 --> 00:00:41.200]  無論如何我們都希望在主的裏面更新
[00:00:41.200 --> 00:00:44.200]  我想和大家看小小的片段
[00:00:44.200 --> 00:00:46.200]  我想要請大家看小小的片段
[00:00:46.200 --> 00:00:51.200]  目的是讓大家知道我生活中的更新變化是甚麼
[00:00:51.200 --> 00:00:55.200]  目的是讓你們知道牧師心目中的更新變化
[00:00:58.200 --> 00:01:01.200]  牧師心目中的更新變化
[00:01:29.200 --> 00:01:32.200]  這裏有13個大石頭
[00:01:32.200 --> 00:01:37.200]  最大的大石頭重約一百公斤
[00:01:37.200 --> 00:01:40.200]  比一公尺還要高
[00:01:40.200 --> 00:01:47.200]  準備
[00:01:53.200 --> 00:01:58.200]  boom
[00:01:58.200 --> 00:02:00.200]  That was 13 dominoes
[00:02:00.200 --> 00:02:02.200]  If I had 29 dominoes
[00:02:02.200 --> 00:02:06.200]  The last domino would be as tall as the Empire State Building
[00:02:06.200 --> 00:02:12.200]  大家不要誤會我不是押時間
[00:02:12.200 --> 00:02:14.200]  大家不要誤會我不是花時間
[00:02:14.200 --> 00:02:17.200]  剛才的影片帶出一個很重要的訊息
[00:02:17.200 --> 00:02:20.200]  剛才的影片帶出一個很重要的訊息
[00:02:20.200 --> 00:02:22.200]  任何的變動需要一個起點
[00:02:22.200 --> 00:02:24.200]  任何的變動需要一個起點
[00:02:24.200 --> 00:02:26.200]  你需要有一個引發的動力
[00:02:26.200 --> 00:02:28.200]  我們需要有一個引發的動力
[00:02:28.200 --> 00:02:31.200]  當啟動那個引發點的時候
[00:02:31.200 --> 00:02:34.200]  當啟動那個引發點的時候
[00:02:34.200 --> 00:02:36.200]  就會產生一個連鎖效應
[00:02:36.200 --> 00:02:37.200]  就會產生一個連鎖效應
[00:02:37.200 --> 00:02:38.200]  這個就是我心目中的變化
[00:02:38.200 --> 00:02:40.200]  這個就是我心目中的變化
[00:02:40.200 --> 00:02:43.200]  我們教會已經有42年
[00:02:43.200 --> 00:02:44.200]  我們教會已經有42年
[00:02:44.200 --> 00:02:46.200]  有很多的習慣
[00:02:46.200 --> 00:02:47.200]  有很多的習慣
[00:02:47.200 --> 00:02:48.200]  有很多的傳統
[00:02:48.200 --> 00:02:49.200]  有很多的傳統
[00:02:49.200 --> 00:02:51.200]  不是一下子可以改變的
[00:02:51.200 --> 00:02:52.200]  不是一下子可以改變的
[00:02:52.200 --> 00:02:54.200]  但我們需要有一個引發點
[00:02:54.200 --> 00:02:55.200]  但我們需要有一個引發點
[00:02:55.200 --> 00:02:57.200]  哪怕那個引發點像手指甲那麼大
[00:02:57.200 --> 00:02:59.200]  哪怕那個引發點像手指甲那麼大
[00:02:59.200 --> 00:03:02.200]  當我們能夠啟動那個動力的時候
[00:03:02.200 --> 00:03:04.200]  當我們能夠啟動那個動力的時候
[00:03:04.200 --> 00:03:06.200]  就會帶來這個連鎖的反應
[00:03:06.200 --> 00:03:08.200]  就可以帶來這個連鎖的反應
[00:03:08.200 --> 00:03:09.200]  如果你記得這個短片
[00:03:09.200 --> 00:03:10.200]  如果你記得這個短片
[00:03:10.200 --> 00:03:12.200]  你大概會記得我今天所說的話
[00:03:12.200 --> 00:03:14.200]  你大概會記得我今天所說的話
[00:03:14.200 --> 00:03:18.200]  我最近為了配合教會的主題
[00:03:18.200 --> 00:03:20.200]  我最近為了配合教會的主題
[00:03:20.200 --> 00:03:24.200]  我就有計劃去看了一系列的書
[00:03:24.200 --> 00:03:26.200]  我就有計劃去看了一系列的書
[00:03:26.200 --> 00:03:28.200]  那個作者是一個非常成功的牧師
[00:03:28.200 --> 00:03:30.200]  那個作者是一個非常成功的牧師
[00:03:30.200 --> 00:03:36.200]  後來他就轉去做一些全球領袖的訓練
