
[00:00:00.000 --> 00:00:04.000]  大家知不知道我們平時在生活裏面
[00:00:04.000 --> 00:00:08.000]  今次是第十篇生活智慧籌算篇
[00:00:08.000 --> 00:00:11.000]  其實我們每一日的生活
[00:00:11.000 --> 00:00:14.000]  我們在一年的計劃
[00:00:14.000 --> 00:00:18.000]  我們在一生的思想裏面
[00:00:18.000 --> 00:00:23.000]  我們都會籌算
[00:00:23.000 --> 00:00:25.000]  在經濟學裏面
[00:00:25.000 --> 00:00:30.000]  就有一個叫做博弈論
[00:00:30.000 --> 00:00:32.000]  有沒有聽過?
[00:00:32.000 --> 00:00:35.000]  博弈,博弈即是甚麼意思呢?
[00:00:35.000 --> 00:00:37.000]  捉棋
[00:00:37.000 --> 00:00:39.000]  弈即是捉棋的意思
[00:00:39.000 --> 00:00:43.000]  捉棋你就不只是想這一步
[00:00:43.000 --> 00:00:45.000]  你就不只是籌算這一步
[00:00:45.000 --> 00:00:46.000]  你要想下一步
[00:00:46.000 --> 00:00:49.000]  又要想對方要行哪一步
[00:00:49.000 --> 00:00:51.000]  他是不是只是行這一步
[00:00:51.000 --> 00:00:53.000]  他還有甚麼可能性是想第二步
[00:00:53.000 --> 00:00:56.000]  就是想很多步
[00:00:56.000 --> 00:00:58.000]  這個叫博弈
[00:00:58.000 --> 00:01:00.000]  在經濟學裏面有一個叫博弈論
[00:01:00.000 --> 00:01:02.000]  有一個經濟學家
[00:01:02.000 --> 00:01:06.000]  他甚至用博弈論籌算
[00:01:06.000 --> 00:01:12.000]  就拿了經濟學的諾貝爾獎
[00:01:12.000 --> 00:01:23.000]  鄧小姐你有沒有合謀去做世界?
[00:01:23.000 --> 00:01:28.000]  話說有兩個賊一齊去打劫
[00:01:28.000 --> 00:01:33.000]  打劫謀事不周詳
[00:01:33.000 --> 00:01:36.000]  就被警察捉了
[00:01:36.000 --> 00:01:39.000]  被警察捉了
[00:01:39.000 --> 00:01:45.000]  就分開他們兩個人去盤問他們
[00:01:45.000 --> 00:01:52.000]  博弈論其中一個很出名的想法就是
