
[00:00:00.000 --> 00:00:03.560]  各位親愛的弟兄姊妹們 平安
[00:00:03.560 --> 00:00:08.640]  今天很高興終於可以實體的來到這裡跟大家見面
[00:00:08.640 --> 00:00:14.440]  也跟我們線上的弟兄姊妹說一聲早安 平安
[00:00:14.440 --> 00:00:18.560]  今天我跟大家要分享一個題目 新 新 新
[00:00:18.560 --> 00:00:22.040]  就看到新 新 新三個字都是新
[00:00:22.040 --> 00:00:26.560]  當然今天的我們的訊息是跟新有關
[00:00:26.560 --> 00:00:31.200]  我們都經常說我們要效法基督 對不對
[00:00:31.200 --> 00:00:35.320]  那今天這三個新就是我想跟大家分享
[00:00:35.320 --> 00:00:39.200]  我們效法基督 耶穌的三個新
[00:00:39.200 --> 00:00:43.280]  那我們也再一次一起禱告好不好
[00:00:43.280 --> 00:00:46.120]  親愛的主 我們歡迎你
[00:00:46.120 --> 00:00:49.200]  在我們當中 你是我們生命的主
[00:00:49.200 --> 00:00:53.000]  我們在這裡 當我們要分享你自己的話語的時候
[00:00:53.000 --> 00:00:56.160]  我們就在這裡祈禱 順你來到我們當中
[00:00:56.160 --> 00:01:01.320]  在我們的心裡 讓我們幫助我們明白你的話語
[00:01:01.320 --> 00:01:04.000]  使你的話語是何等的寶貴
[00:01:04.000 --> 00:01:08.360]  就讓你的話語在我們的心裡面去工作
[00:01:08.360 --> 00:01:12.440]  讓我們更加的在我們看了你的話語之後
[00:01:12.440 --> 00:01:13.760]  我們分享之後
[00:01:13.760 --> 00:01:17.960]  我們更加能夠生命給你去改變 更加的像你
[00:01:17.960 --> 00:01:20.800]  我們感謝耶穌 我們歡迎你在我們當中
[00:01:20.800 --> 00:01:24.080]  我們同心的禱告是奉主耶穌基督的名
[00:01:24.080 --> 00:01:29.160]  Amen 那我們先看第一個新
[00:01:29.160 --> 00:01:32.320]  那我要看看這個是怎麼樣用的
[00:01:32.320 --> 00:01:33.320]  ok
[00:01:33.320 --> 00:01:40.920]  ok 可以
[00:01:40.920 --> 00:01:44.400]  第一個新就是在我們今天積聞的第一句
[00:01:44.400 --> 00:01:47.480]  是不是 菲律賓書2章5節
[00:01:47.480 --> 00:01:51.600]  保羅在訓免菲律賓教會的信徒的時候
[00:01:51.600 --> 00:01:54.760]  他這樣說 你們應當有這樣的思想
[00:01:54.760 --> 00:01:57.440]  這也是基督耶穌的思想
[00:01:57.440 --> 00:02:00.120]  這裡說其實這一句可以翻譯做
[00:02:00.120 --> 00:02:03.440]  你們當以基督耶穌的心為心
[00:02:03.440 --> 00:02:07.480]  其實這也是聖經和本的翻譯
[00:02:07.480 --> 00:02:09.560]  所以第一點我想跟大家分享的
[00:02:09.560 --> 00:02:11.920]  我們要效法耶穌的時候
[00:02:11.920 --> 00:02:16.720]  我們要以基督耶穌的心為心
[00:02:16.720 --> 00:02:19.560]  那大家你摸一摸自己的心在哪裡
[00:02:19.560 --> 00:02:22.520]  在這裡 都在跳對不對
[00:02:22.520 --> 00:02:27.000]  心是我們身體一個非常重要的器官
[00:02:27.000 --> 00:02:30.520]  但是當我們看聖經的原文的時候
[00:02:30.520 --> 00:02:39.440]  心這個事是指心思想心智態度的意思
[00:02:39.440 --> 00:02:42.400]  那我們一個人我們的心智我們的思想態度
[00:02:42.400 --> 00:02:45.760]  其實真是非常的影響我們的一生的
[00:02:45.760 --> 00:02:47.720]  大家覺得是不是
[00:02:47.720 --> 00:02:53.680]  那我記得在2020年在那個港九園金培林會
[00:02:53.680 --> 00:02:59.840]  那我記得我聽到我們報道會的郭文慈牧師
[00:02:59.840 --> 00:03:01.840]  他有一個分享的見證
[00:03:01.840 --> 00:03:09.840]  他說他自己從小就是有心智要讀神學
[00:03:09.840 --> 00:03:16.520]  那他在讀書的時候他幫一個學生去補習
[00:03:16.520 --> 00:03:20.880]  那個學生的母親非常的喜歡他
[00:03:20.880 --> 00:03:25.440]  就在他說我要接書跟你的兒子補習的時候
[00:03:25.440 --> 00:03:28.960]  他那個母親他太太就跟他說
[00:03:28.960 --> 00:03:35.080]  那我給你錢供你去讀書
[00:03:35.080 --> 00:03:41.920]  但是當牧師跟他說他要讀神學的時候
[00:03:41.920 --> 00:03:44.680]  那個太太的反應是說
[00:03:44.680 --> 00:03:48.960]  你什麼都可以讀 但是你就是不可以讀神學
[00:03:48.960 --> 00:03:52.680]  因為可能在一般人的心裡
[00:03:52.680 --> 00:03:57.360]  那個不是一個以後很有前途的一個科目
[00:03:57.360 --> 00:04:00.840]  所以他就是跟牧師這樣說
[00:04:00.840 --> 00:04:06.160]  牧師心裡面因為他已經有一個心智是要讀神學
[00:04:06.160 --> 00:04:09.120]  所以他就是拒絕了那個贊助
[00:04:09.120 --> 00:04:11.720]  就繼續向他的標杆直跑
[00:04:11.720 --> 00:04:15.520]  今天我們看到他成為我們當中一個
[00:04:15.520 --> 00:04:20.160]  我們非常敬重也是神非常重用的一個牧者
[00:04:20.160 --> 00:04:24.880]  也是我記得在他的分享裡面他說
[00:04:24.880 --> 00:04:30.480]  在幾年前他在重遇那個學生跟他的媽媽他的母親
[00:04:30.480 --> 00:04:36.040]  他就在那個機會帶著他那個太太
[00:04:36.040 --> 00:04:39.920]  那學生母親信了耶穌 他的家人都信了耶穌
[00:04:39.920 --> 00:04:41.960]  這是一件美好的事情
[00:04:41.960 --> 00:04:43.920]  那我們看到一個人的心智
[00:04:43.920 --> 00:04:48.240]  實在是非常的影響一個人的生命
[00:04:48.240 --> 00:04:52.920]  那這裡我們看到剛才那一句我們的聖經
[00:04:52.920 --> 00:04:55.520]  這裡保羅說你們應當
[00:04:55.520 --> 00:04:59.120]  當我們看見當的時候這個是一個命令詞
[00:04:59.120 --> 00:05:03.040]  就是我們要比較留意就是神對我們的吩咐
[00:05:03.040 --> 00:05:07.360]  就這裡是神就透過保羅跟我們說
[00:05:07.360 --> 00:05:11.280]  我們必須要 當的意思是必須
[00:05:11.280 --> 00:05:18.120]  我們必須要跟他有同一的思想心智跟態度
