
[00:00:00.000 --> 00:00:02.000]  各位女王姐妹大家平安
[00:00:02.000 --> 00:00:06.000]  很高興能夠再一次跟你們來分享神的話
[00:00:06.000 --> 00:00:10.000]  我們中國人常常會說一句話叫飲水思源
[00:00:10.000 --> 00:00:12.000]  意思是說當我們在喝水的時候
[00:00:12.000 --> 00:00:14.000]  我們就想到這個源頭在哪裡
[00:00:14.000 --> 00:00:17.000]  我在年輕的時候也曾經做過類似的事情
[00:00:17.000 --> 00:00:18.000]  那是什麼呢
[00:00:18.000 --> 00:00:20.000]  那就是溯溪
[00:00:20.000 --> 00:00:23.000]  可能有些人不大了解什麼叫溯溪
[00:00:23.000 --> 00:00:27.000]  溯溪就是說你從一條溪水的下游
[00:00:27.000 --> 00:00:32.000]  慢慢慢慢地透過各式各樣的山裡面的小徑
[00:00:32.000 --> 00:00:35.000]  走到溪水的上游去
[00:00:35.000 --> 00:00:37.000]  有一次我就和我的登山的朋友
[00:00:37.000 --> 00:00:40.000]  一同參加溯溪的活動
[00:00:40.000 --> 00:00:42.000]  我記得那個時候非常的不容易
[00:00:42.000 --> 00:00:45.000]  因為我們有時候要走過一些是沒有路的地方
[00:00:45.000 --> 00:00:47.000]  或是要跨過有水的地方
[00:00:47.000 --> 00:00:50.000]  有些地方我們是穿著水套
[00:00:50.000 --> 00:00:53.000]  是整個到胸部這邊
[00:00:53.000 --> 00:00:55.000]  你要涉水要過去的
[00:00:55.000 --> 00:00:56.000]  很不容易的
[00:00:56.000 --> 00:01:01.000]  但是當我們到達了這樣一個溪水的源頭的時候
[00:01:01.000 --> 00:01:03.000]  我們的心裡面都好開心啊
[00:01:03.000 --> 00:01:08.000]  原來這個地方就是這個溪水的起源
[00:01:08.000 --> 00:01:10.000]  感恩節都要到了
[00:01:10.000 --> 00:01:14.000]  我們想到感恩的恩這個字
[00:01:14.000 --> 00:01:18.000]  是一個因加上一個心
[00:01:18.000 --> 00:01:20.000]  就是一個有原因
[00:01:20.000 --> 00:01:23.000]  有一個恩典的一個源頭
[00:01:23.000 --> 00:01:29.000]  從這個恩典的源頭使我們得著一切豐盛的恩典
[00:01:29.000 --> 00:01:33.000]  所以今天我們要一起來思想
[00:01:33.000 --> 00:01:36.000]  神在我們身上的恩典
[00:01:36.000 --> 00:01:38.000]  首先我們來看一處經文
[00:01:38.000 --> 00:01:42.000]  是在詩篇第103篇1到6節
[00:01:42.000 --> 00:01:44.000]  詩篇103篇1到6節
[00:01:44.000 --> 00:01:45.000]  達到了非常熟悉的經文
[00:01:45.000 --> 00:01:46.000]  我們一起來念好不好
[00:01:46.000 --> 00:01:48.000]  預備請
[00:01:48.000 --> 00:01:49.000]  我的心啊
[00:01:49.000 --> 00:01:51.000]  你要稱頌接合華
[00:01:51.000 --> 00:01:53.000]  凡在我裡面的
[00:01:53.000 --> 00:01:55.000]  也要稱頌祂的聖名
[00:01:55.000 --> 00:01:56.000]  我的心啊
[00:01:56.000 --> 00:01:58.000]  你要稱頌耶和華
[00:01:58.000 --> 00:02:01.000]  不可忘記祂的一切恩惠
[00:02:01.000 --> 00:02:04.000]  祂赦免你的一切罪孽
[00:02:04.000 --> 00:02:07.000]  醫治你的一切疾病
[00:02:07.000 --> 00:02:08.000]  祂救贖你的命
[00:02:08.000 --> 00:02:10.000]  脫離死亡
[00:02:10.000 --> 00:02:14.000]  以仁愛和慈悲為你的冠冕
[00:02:14.000 --> 00:02:17.000]  祂用每物使你所願的得以知足
[00:02:17.000 --> 00:02:21.000]  以致你如因返老還童
[00:02:21.000 --> 00:02:23.000]  耶和華施行公義
[00:02:23.000 --> 00:02:26.000]  為一切受屈的人伸冤
[00:02:26.000 --> 00:02:28.000]  我們念到這裡謝謝
[00:02:28.000 --> 00:02:31.000]  在這裡讓我們看見了
[00:02:31.000 --> 00:02:33.000]  感恩的原因
[00:02:33.000 --> 00:02:34.000]  第一個
[00:02:34.000 --> 00:02:37.000]  是我們得著了赦罪的恩典
