
[00:00:00.000 --> 00:00:02.120]  各位弟兄姊妹 主女平安
[00:00:02.120 --> 00:00:04.900]  我們去聽到之聲的時候
[00:00:04.900 --> 00:00:07.180]  我們都是一起低頭來祈禱
[00:00:07.180 --> 00:00:13.680]  慈悲的天父上帝 我們滿心感謝讚美祢
[00:00:13.680 --> 00:00:17.040]  主啊 祢都是帶領我們以心靈聖實
[00:00:17.040 --> 00:00:19.780]  去到聖殿 去到敬拜 去到侍奉祢
[00:00:19.780 --> 00:00:22.340]  在我們日常生活裏面
[00:00:22.340 --> 00:00:26.300]  我們聽得到太多人的聲音
[00:00:26.300 --> 00:00:28.820]  我們聽得到很多的資訊
[00:00:29.540 --> 00:00:32.460]  但我們去到上帝的殿的時候
[00:00:32.460 --> 00:00:34.000]  我們感謝祢
[00:00:34.000 --> 00:00:37.580]  帶領我們能夠在敬拜裏面 透過祢的詩歌
[00:00:37.580 --> 00:00:39.360]  來打開我們的心
[00:00:39.360 --> 00:00:42.060]  以致我們能夠進入祢自己的話語
[00:00:42.060 --> 00:00:45.620]  因為我們知道聖經是上帝所默示的
[00:00:45.620 --> 00:00:48.060]  於教訓督責使人歸正
[00:00:48.060 --> 00:00:50.960]  教導人學義 都是有的
[00:00:50.960 --> 00:00:53.620]  教育上帝的人得以完全預備
[00:00:53.620 --> 00:00:56.740]  行各樣的善事 求祢帶領以下的時間
[00:00:56.740 --> 00:00:59.680]  讓講的和聽的都能夠同感一靈
[00:00:59.680 --> 00:01:01.660]  領受上帝祢的真言
[00:01:01.660 --> 00:01:03.120]  求主祢帶領我們
[00:01:03.120 --> 00:01:06.140]  多謝祢聽我們祈禱 奉主耶穌基督的名求
[00:01:06.140 --> 00:01:07.140]  阿門
[00:01:07.140 --> 00:01:11.720]  以後我們先重讀
[00:01:11.720 --> 00:01:15.840]  請大家打開聖經 新約提摩陶書第四章
[00:01:15.840 --> 00:01:17.940]  第十六節
[00:01:17.940 --> 00:01:21.260]  不是 第六節至第八節
[00:01:21.260 --> 00:01:23.840]  十六節至第十八節
[00:01:23.840 --> 00:01:25.880]  只是單單六字的經文
[00:01:27.320 --> 00:01:34.660]  請大家打開聖經提摩陶書第四章六節
[00:01:34.660 --> 00:01:37.820]  「至於我 我已經被挑釁
[00:01:37.820 --> 00:01:40.440]  離世的時候到了
[00:01:40.440 --> 00:01:42.820]  那美好的帳我已經打過了
[00:01:42.820 --> 00:01:45.240]  當跑的路我已經跑盡了
[00:01:45.240 --> 00:01:47.820]  該順的道我已經守住了
[00:01:47.820 --> 00:01:51.520]  從此以後有公義的官免為我存留
[00:01:51.520 --> 00:01:54.780]  就是按著公義審判的主
[00:01:54.780 --> 00:01:57.480]  到了那日要賜給我的
[00:01:57.480 --> 00:01:59.460]  不但賜給我
[00:01:59.460 --> 00:02:02.760]  也賜給凡愛無他獻言的人」
[00:02:02.760 --> 00:02:04.440]  第十六節
[00:02:04.440 --> 00:02:06.760]  「我初次上訴時
[00:02:06.760 --> 00:02:09.160]  沒有人前來幫助
[00:02:09.160 --> 00:02:11.340]  竟都離棄了我
[00:02:11.340 --> 00:02:14.380]  但願這罪不歸在他們身上
[00:02:14.380 --> 00:02:16.860]  唯有主站在我身邊
[00:02:16.860 --> 00:02:18.360]  加給我力量
[00:02:18.360 --> 00:02:22.460]  使我能把福音完整地傳開
[00:02:22.460 --> 00:02:25.860]  讓所有的外邦人都聽見
[00:02:25.860 --> 00:02:29.120]  我也從獅子口裡被救出來
[00:02:29.120 --> 00:02:32.380]  主必救我脫離一切的凶惡
[00:02:32.380 --> 00:02:35.740]  也必救我進他的天國
[00:02:35.740 --> 00:02:37.740]  願榮耀歸給他
[00:02:37.740 --> 00:02:40.500]  直到永永遠遠 阿們」
[00:02:40.500 --> 00:02:43.300]  今天我們會用這兩段經文
[00:02:43.300 --> 00:02:46.180]  彼此的激勵彼此的提醒
[00:02:46.180 --> 00:02:49.540]  大家都熟讀的了
[00:02:49.540 --> 00:02:51.880]  應該是回到教會日子比較久的
[00:02:51.880 --> 00:02:55.440]  我想上主的學或聽道都聽過這段經文
[00:02:55.440 --> 00:02:58.040]  提摩太其實所侍奉的教會
[00:02:58.040 --> 00:02:59.400]  已忽所書
[00:02:59.400 --> 00:03:01.000]  已忽所教會
[00:03:01.000 --> 00:03:03.500]  是面對著很多的考驗
[00:03:03.500 --> 00:03:06.600]  是面對著當時有人傳異端
[00:03:06.600 --> 00:03:08.700]  傳一些錯誤的教導
[00:03:08.700 --> 00:03:11.700]  以致當時的信徒 信了主的人
[00:03:11.700 --> 00:03:14.500]  就偏離信仰的真理的危機
[00:03:14.500 --> 00:03:16.500]  也都提及到
[00:03:16.500 --> 00:03:20.920]  當時的信徒會有人離棄信仰
[00:03:20.920 --> 00:03:23.760]  這是教會最大的挑戰
[00:03:23.760 --> 00:03:25.760]  原來我們一邊傳福音
[00:03:25.760 --> 00:03:28.120]  一邊將人領人歸主
[00:03:28.120 --> 00:03:30.620]  達到教會內建立他們的生命成長
[00:03:30.620 --> 00:03:33.320]  但是他們一個一個離開
[00:03:33.320 --> 00:03:35.320]  其實對教會來說是很大的挑戰
[00:03:35.320 --> 00:03:37.960]  對於提摩太面對這些困局
[00:03:37.960 --> 00:03:38.960]  怎麼辦呢
[00:03:38.960 --> 00:03:43.260]  其實不單是面對這個考驗
[00:03:43.260 --> 00:03:47.880]  其實保羅在提摩太後書第三章
[00:03:47.880 --> 00:03:49.380]  都提及一件事
[00:03:49.380 --> 00:03:54.380]  他提及整個社會 整個人的問題
[00:03:54.380 --> 00:03:55.380]  是甚麼問題呢
[00:03:55.380 --> 00:03:57.380]  他說在這個末世的日子裏
[00:03:57.380 --> 00:04:00.920]  必有艱難的日子 更艱難的日子
[00:04:00.920 --> 00:04:03.460]  其實艱難的日子是越來越艱難的
[00:04:03.460 --> 00:04:05.660]  提醒提摩太告訴提摩太
[00:04:05.660 --> 00:04:08.660]  你侍奉主是越來越艱難的
[00:04:08.660 --> 00:04:12.540]  提摩太後書第三章講到甚麼呢
[00:04:12.540 --> 00:04:15.140]  是講到末世必有艱難的日子
[00:04:15.140 --> 00:04:17.940]  是人性的問題 講到一些人性的問題
