
[00:00:00.000 --> 00:00:03.480]  頂尖輩平安!
[00:00:03.480 --> 00:00:08.480]  今日我們紀念恩傳浸信會十九週年的紀念
[00:00:08.480 --> 00:00:16.160]  培育生命、建立教會
[00:00:16.160 --> 00:00:22.480]  最緊要是什麼?
[00:00:22.480 --> 00:00:24.440]  感恩有你啊!
[00:00:24.440 --> 00:00:29.920]  我想問一下,恩傳十九年了
[00:00:29.920 --> 00:00:33.880]  有幾多頂尖輩在這裏呢?
[00:00:33.880 --> 00:00:38.800]  在這裏的,已經在這裏十九年了
[00:00:38.800 --> 00:00:46.000]  嘩!在這裏已經十九年了
[00:00:46.000 --> 00:00:53.160]  意思是什麼?
[00:00:53.160 --> 00:00:59.720]  他們是建立恩傳的第一批的頂尖輩
[00:00:59.720 --> 00:01:03.760]  他們是建立恩傳的第一批的頂尖輩
[00:01:03.760 --> 00:01:06.160]  可不可以請你們站起來給我們看看
[00:01:06.160 --> 00:01:09.120]  第一批的
[00:01:09.120 --> 00:01:12.640]  我們感謝你們
[00:01:12.640 --> 00:01:14.280]  感恩有你
[00:01:14.280 --> 00:01:17.160]  請坐
[00:01:17.160 --> 00:01:25.040]  要建立教會
[00:01:25.040 --> 00:01:34.840]  當我們,譬如說我們一會兒都會切蛋糕、唱生日歌
[00:01:34.840 --> 00:01:40.640]  我們祝福恩傳浸信會
[00:01:40.640 --> 00:01:49.920]  恩傳浸信會是什麼來的?
[00:01:49.920 --> 00:01:52.080]  是祝福有你啊!
[00:01:55.160 --> 00:01:59.200]  Happy Birthday 是每一個一起有份的
[00:01:59.200 --> 00:02:09.520]  耶穌基督的大使命
[00:02:09.520 --> 00:02:12.640]  大家都很熟悉了
[00:02:12.640 --> 00:02:15.800]  有兩個重點
[00:02:15.800 --> 00:02:20.920]  第一,就是使萬民作耶穌基督的門徒
[00:02:20.920 --> 00:02:25.640]  使萬民建立教會
[00:02:25.640 --> 00:02:30.520]  還有就是要教導門徒遵守耶穌基督的教訓
[00:02:30.520 --> 00:02:37.480]  就是培育生命
[00:02:37.480 --> 00:02:42.160]  所以耶穌基督的大使命
[00:02:42.160 --> 00:02:46.040]  不是只是一個口號
[00:02:46.040 --> 00:02:49.080]  是要去做的
