
[00:00:00.000 --> 00:00:06.660]  今天我們會開展《約翰一書》的講道系列
[00:00:06.660 --> 00:00:09.200]  不知道大家熟不熟《約翰一書》
[00:00:09.200 --> 00:00:11.740]  我們今天看的經文不算太多
[00:00:11.740 --> 00:00:13.500]  只有七節
[00:00:13.500 --> 00:00:16.180]  我們先一起讀
[00:00:16.180 --> 00:00:19.780]  《論道》從起初原有的生命之道
[00:00:19.780 --> 00:00:22.860]  就是我們所聽見、所看見
[00:00:22.860 --> 00:00:26.520]  親眼看過、親手摸過的
[00:00:26.520 --> 00:00:29.020]  這生命已經顯現出來
[00:00:29.020 --> 00:00:32.200]  我們看見了,現在又作見證
[00:00:32.200 --> 00:00:34.300]  把原與複同在
[00:00:34.300 --> 00:00:37.060]  並且向我們顯現過的
[00:00:37.060 --> 00:00:40.640]  那永遠的生命傳揚給你們
[00:00:40.640 --> 00:00:43.480]  我們把所看見、所聽見的
[00:00:43.480 --> 00:00:45.180]  傳揚給你們
[00:00:45.180 --> 00:00:48.880]  為要使你們也與我們有團契
[00:00:48.880 --> 00:00:53.080]  而我們的團契是與複和他兒子
[00:00:53.080 --> 00:00:55.920]  耶穌基督所共有的
[00:00:55.920 --> 00:00:58.920]  我們把這些事寫給你們
[00:00:58.920 --> 00:01:02.860]  使我們的喜樂得以滿足
[00:01:02.860 --> 00:01:04.500]  神就是光
[00:01:04.500 --> 00:01:06.360]  在他毫無黑暗
[00:01:06.360 --> 00:01:09.300]  這是我們從主所聽見
[00:01:09.300 --> 00:01:12.500]  又報給你們的訊息
[00:01:12.500 --> 00:01:15.940]  我們若說我們與神有團契
[00:01:15.940 --> 00:01:18.640]  卻仍在黑暗裡行走
[00:01:18.640 --> 00:01:20.380]  就是說方話
[00:01:20.380 --> 00:01:22.740]  不實行真理了
[00:01:22.740 --> 00:01:25.280]  我們若在光明中行走
[00:01:25.280 --> 00:01:28.080]  就如同神在光明中
[00:01:28.080 --> 00:01:30.120]  就彼此有團契
[00:01:30.120 --> 00:01:32.260]  他兒子耶穌的血
[00:01:32.260 --> 00:01:34.820]  就洗淨我們一切的罪
[00:01:34.820 --> 00:01:37.300]  不好意思,有些掉漏
[00:01:37.300 --> 00:01:40.760]  自從Digital Media很方便之後
[00:01:40.760 --> 00:01:44.140]  忘記印聖經
[00:01:44.140 --> 00:01:46.500]  手中又沒有聖經就很笨了
[00:01:46.500 --> 00:01:48.300]  剛才大家一路讀
[00:01:48.300 --> 00:01:50.700]  約翰一書一字七章
[00:01:50.700 --> 00:01:53.340]  可能你一路讀的時候都感受到
[00:01:53.340 --> 00:02:00.180]  約翰好像重重複複所聽見所看見等等
[00:02:00.180 --> 00:02:03.520]  如果你有機會讀過約翰一書
[00:02:03.520 --> 00:02:05.660]  你會發現約翰一書
[00:02:05.660 --> 00:02:07.460]  我們剛才一開始讀
[00:02:07.460 --> 00:02:09.600]  其實他有幾個特色
[00:02:09.600 --> 00:02:11.700]  都與我們在聖經裡
[00:02:11.700 --> 00:02:13.700]  很多時候看的其他書信
[00:02:13.700 --> 00:02:16.640]  尤其是保羅書信不是很相同
[00:02:16.640 --> 00:02:18.040]  雖然約翰一書
[00:02:18.040 --> 00:02:22.300]  大部分人都稱他為一卷書信
[00:02:22.300 --> 00:02:27.440]  但他卻欠缺一般信函格式的特徵
[00:02:27.440 --> 00:02:30.720]  在這本書的一開始和結尾
[00:02:30.720 --> 00:02:33.560]  其實都沒有提及任何人名
[00:02:33.560 --> 00:02:36.320]  書一開始沒有抬頭
[00:02:36.320 --> 00:02:39.960]  沒有寫給哪個教會群體
[00:02:39.960 --> 00:02:42.060]  或者哪位信徒
[00:02:42.060 --> 00:02:43.760]  在書的結尾
[00:02:43.760 --> 00:02:46.740]  都沒有向修信人問安
[00:02:46.740 --> 00:02:48.940]  根據接近尾聲
[00:02:48.940 --> 00:02:52.300]  到第五章第十三節的時候
[00:02:52.300 --> 00:02:54.980]  我們就知道原來約翰一書
[00:02:54.980 --> 00:02:56.980]  是寫給一群什麼讀者呢?
[00:02:56.980 --> 00:03:01.440]  就是信奉神 兒子之名的人
[00:03:01.440 --> 00:03:05.040]  從這裡我們就能夠確定
[00:03:05.040 --> 00:03:07.420]  原來寫這封信的對象
[00:03:07.420 --> 00:03:10.380]  是一群信徒 一群基督徒
[00:03:10.380 --> 00:03:13.960]  所以我們基於剛才所說的一切
[00:03:13.960 --> 00:03:17.260]  這本書沒有指明修信人的身份
