
[00:00:00.000 --> 00:00:04.000]  好,弟兄姊妹,平安,我們再一次低頭禱告
[00:00:04.000 --> 00:00:09.000]  天父,我們多謝祢,因為祢是可信可佩服的救主
[00:00:09.000 --> 00:00:14.000]  祢為我們丹心十澤,祢也為我們從死裡邊復活
[00:00:14.000 --> 00:00:18.000]  讓我們知道祢就是那位在世上唯一永活的真神
[00:00:18.000 --> 00:00:24.000]  我們今天在祢面前敬拜,我們唱詩歌頌,因為是祢配得的
[00:00:24.000 --> 00:00:28.000]  我們願意祢的福音更多的被人認識
[00:00:28.000 --> 00:00:31.000]  願意我們的心更多的被祢得著
[00:00:31.000 --> 00:00:33.000]  我們跟耶穌基督今明祈求,下門
[00:00:33.000 --> 00:00:36.000]  好,今天是我們福音的主日
[00:00:36.000 --> 00:00:44.000]  所以我們都一齊思想我們的信仰的可信和真實性
[00:00:44.000 --> 00:00:50.000]  如果你有朋友,可能你邀請他們今天不知道有沒有來到
[00:00:50.000 --> 00:00:59.000]  但即使他們還沒有來到,希望你有機會繼續跟他們分享福音
[00:00:59.000 --> 00:01:02.000]  當聽到這些福音的內容的時候
[00:01:02.000 --> 00:01:06.000]  即使你是基督徒,在做一次溫習的時候
[00:01:06.000 --> 00:01:11.000]  希望你可以學習怎樣跟別人見證福音
[00:01:11.000 --> 00:01:23.000]  有機會將這些關於福音的講道在YouTube分享
[00:01:23.000 --> 00:01:31.000]  有很多人都問一個問題,其實為什麼要信耶穌呢?
[00:01:31.000 --> 00:01:41.000]  基督徒可能給未信耶穌的朋友質問,或好奇地問
[00:01:41.000 --> 00:01:45.000]  為什麼要信耶穌呢?世上有這麼多宗教信仰
[00:01:45.000 --> 00:01:54.000]  有這麼多人,他們都講得頭頭是道的
[00:01:54.000 --> 00:02:01.000]  或者很多都很有道理,所以有人覺得其實都沒有所謂
[00:02:01.000 --> 00:02:05.000]  你信誰都可以,都不知道宗教是導人向善
[00:02:05.000 --> 00:02:10.000]  你做一個好人,教你向善的時候
[00:02:10.000 --> 00:02:13.000]  每一個宗教都不會教你壞,除非是一些邪教
[00:02:13.000 --> 00:02:17.000]  所以都沒有所謂,你有你信,我有我信
[00:02:17.000 --> 00:02:20.000]  大家走正路就可以了
[00:02:20.000 --> 00:02:26.000]  但是當這樣去講的時候,當然我們就不能夠同意
[00:02:26.000 --> 00:02:29.000]  而不能夠同意不是因為我們覺得
[00:02:29.000 --> 00:02:33.000]  唯我獨尊,基督教特別心胸狹窄
[00:02:33.000 --> 00:02:40.000]  而是因為我們知道神是很特別的神
[00:02:40.000 --> 00:02:46.000]  祂自己是怎樣呢?不是我們猜度出來的
[00:02:46.000 --> 00:02:52.000]  是很在乎祂來到我們中間,告訴我們祂是誰
[00:02:52.000 --> 00:02:58.000]  因為很多其他的信仰,其實都是他們去參透
[00:02:58.000 --> 00:03:03.000]  或者去探索,他們去推敲的時候
[00:03:03.000 --> 00:03:06.000]  神究竟是怎樣呢?這個宇宙究竟是怎樣呢?
[00:03:06.000 --> 00:03:12.000]  有很多不同的神話故事也好,哲理分析也好
[00:03:12.000 --> 00:03:18.000]  他們就這樣去推論,神應該是這樣,宇宙應該是這樣
[00:03:18.000 --> 00:03:24.000]  但是這些都是人將自己的心理觀念
[00:03:24.000 --> 00:03:29.000]  或者將自己的宗教需要去投射出來
[00:03:29.000 --> 00:03:36.000]  正如一個小朋友,很多事情可能做起來很沒力量
[00:03:36.000 --> 00:03:42.000]  如果有個神的時候,一定是比我大,一定是很大力
[00:03:42.000 --> 00:03:48.000]  一定是很有權威的,所以他們想神就是這樣
[00:03:48.000 --> 00:03:53.000]  人就將他們不同的心理投射,將他無限擴大的時候
[00:03:53.000 --> 00:03:57.000]  一個完美的人是怎樣,一個很有力量的人是怎樣
[00:03:57.000 --> 00:03:59.000]  就投射出來就是我們的神
[00:03:59.000 --> 00:04:05.000]  但是這些某部分,有些都是向著一個對的方向去發展
[00:04:05.000 --> 00:04:10.000]  但是其實最終都是會錯誤,對不對?
[00:04:10.000 --> 00:04:16.000]  即是一個人他怎樣去,無論他想到多偉大的神
