
[00:00:00.000 --> 00:00:03.400]  今日我定個題目叫做「財疏學淺有餘」
[00:00:03.400 --> 00:00:07.160]  因為阿南就給了我一個主題
[00:00:07.160 --> 00:00:09.680]  講財疏學淺 講大家的能力
[00:00:09.680 --> 00:00:14.240]  我不知道你過去幾個星期講的題目
[00:00:14.240 --> 00:00:18.680]  對於你對自己能力的認識
[00:00:18.680 --> 00:00:21.320]  或者你怎樣運用 聽了這麼多
[00:00:21.320 --> 00:00:24.280]  應該之前有兩個人講的
[00:00:24.280 --> 00:00:28.080]  除了阿南講 應該還有阿松都講了
[00:00:28.080 --> 00:00:31.760]  好了 聽完兩堂到 有什麼渣拿呢?
[00:00:31.760 --> 00:00:34.360]  或者你記不記得他講什麼?
[00:00:34.360 --> 00:00:38.880]  還是可能 這是一個很正常
[00:00:38.880 --> 00:00:40.440]  很普遍的現象 是不是?
[00:00:40.440 --> 00:00:43.760]  聽完堂到可能那星期都已經忘記了
[00:00:43.760 --> 00:00:45.960]  何況我們講說 application(申報)的時候
[00:00:45.960 --> 00:00:48.200]  就 啊 那就真的不是很記得
[00:00:48.200 --> 00:00:50.200]  是不是忘記了這件事?
[00:00:50.200 --> 00:00:51.840]  我很想透過今天這個訊息
[00:00:51.840 --> 00:00:55.080]  跟大家一起 我們去…
[00:00:55.080 --> 00:00:56.920]  我覺得不單單是你
[00:00:56.920 --> 00:01:00.320]  我覺得我每次預備講章
[00:01:00.320 --> 00:01:01.560]  我們都說講完的人
[00:01:01.560 --> 00:01:04.200]  應該是最受得著的那個
[00:01:04.200 --> 00:01:05.640]  但事實上是的
[00:01:05.640 --> 00:01:10.560]  可能我們鑽研下去的時間比你多
[00:01:10.560 --> 00:01:14.040]  你今天聽最多半個鐘至八個字的時間
[00:01:14.040 --> 00:01:15.880]  你就聽了而已
[00:01:15.880 --> 00:01:17.560]  但是其實阿神的說話很有趣
[00:01:17.560 --> 00:01:21.200]  就是他正在跟我們講的東西
[00:01:21.200 --> 00:01:23.160]  我們的心
[00:01:23.160 --> 00:01:26.880]  當你很渴求他的時候
[00:01:26.880 --> 00:01:28.960]  其實阿神會回應你的
[00:01:28.960 --> 00:01:30.040]  他會跟你講說話
[00:01:30.040 --> 00:01:32.600]  無論你的狀況是如何
[00:01:32.600 --> 00:01:36.480]  今天我會跟大家去看一個
[00:01:36.480 --> 00:01:39.960]  以屬能詳的一個經文
[00:01:39.960 --> 00:01:42.640]  那應該…我檢查一下你們的記錄
[00:01:42.640 --> 00:01:45.800]  應該是兩年前有人講過的
[00:01:45.800 --> 00:01:47.520]  不過我沒有聽
