
[00:00:00.000 --> 00:00:04.200]  我們今天是要開始一個新的系列
[00:00:04.200 --> 00:00:06.360]  是《已忽所書》
[00:00:06.360 --> 00:00:10.520]  我們知道我們前些時才講完《針研》
[00:00:10.520 --> 00:00:15.200]  而我們全個教會都在說兩部書今年
[00:00:15.200 --> 00:00:17.720]  就是《針研》和《已忽所書》
[00:00:17.720 --> 00:00:21.480]  我們知道國語堂和英文堂都是先講《已忽所書》
[00:00:21.480 --> 00:00:23.840]  然後才講《針研》
[00:00:23.840 --> 00:00:26.320]  但我們粵語堂就剛剛相反
[00:00:26.320 --> 00:00:29.880]  講完了《針研》才講《已忽所書》
[00:00:29.880 --> 00:00:34.040]  其實我是很喜歡我們這樣的一個次序
[00:00:34.040 --> 00:00:38.320]  因為針研是智慧
[00:00:38.320 --> 00:00:40.600]  告訴我們甚麼是智慧
[00:00:40.600 --> 00:00:42.880]  我們應該要怎樣做
[00:00:42.880 --> 00:00:47.280]  但沒有告訴我們怎樣才能做得到
[00:00:47.280 --> 00:00:50.040]  而這個答案就在《已忽所書》
[00:00:50.040 --> 00:00:53.000]  所以我覺得先看甚麼是智慧
[00:00:53.000 --> 00:00:54.600]  應該要怎樣做
[00:00:54.600 --> 00:00:56.880]  然後才學怎樣來做
[00:00:56.880 --> 00:00:59.680]  這個是正確的一個次序
[00:00:59.680 --> 00:01:03.120]  願意神都能夠保守我們粵語堂
[00:01:03.120 --> 00:01:07.640]  能夠成為一個蒙神喜悅的教會
[00:01:07.640 --> 00:01:11.480]  我們今天是要講《已忽所書》的介紹
[00:01:11.480 --> 00:01:15.920]  我們要講為甚麼要讀《已忽所書》
[00:01:15.920 --> 00:01:20.320]  我們首先來看看《已忽所書》的作者是誰
[00:01:20.320 --> 00:01:24.000]  我們都知道《已忽所書》的作者是保羅
[00:01:24.000 --> 00:01:28.240]  保羅在《已忽所書》裏面叫自己做使徒
[00:01:28.240 --> 00:01:30.600]  如果是使徒的話
[00:01:30.600 --> 00:01:33.120]  就不是一個普通的作者
[00:01:33.120 --> 00:01:36.280]  一個使徒是代替神來講說話
[00:01:36.280 --> 00:01:39.840]  是代替耶穌基督來講說話
[00:01:39.840 --> 00:01:43.200]  在這個世上一共有14個使徒
[00:01:43.200 --> 00:01:47.600]  我們知道最初是耶穌基督12個門徒
[00:01:47.600 --> 00:01:51.560]  猶太人因為出賣耶穌基督
[00:01:51.560 --> 00:01:53.880]  他自殺死了
[00:01:53.880 --> 00:01:55.400]  當他死了之後
[00:01:55.400 --> 00:01:59.040]  在使徒行傳我們知道就是第一章
[00:01:59.040 --> 00:02:07.240]  說門徒怎樣選出馬提亞來代替猶太來補償
[00:02:07.240 --> 00:02:09.920]  所以如果我們計算死了的猶太
[00:02:09.920 --> 00:02:12.720]  一共就有13個門徒
[00:02:12.720 --> 00:02:15.400]  而加上後來的保羅
[00:02:15.400 --> 00:02:18.640]  就一共有14個使徒
[00:02:18.640 --> 00:02:21.680]  他們可以說都是奉神的名
[00:02:21.680 --> 00:02:26.040]  來成為耶穌基督的門徒
[00:02:26.040 --> 00:02:31.480]  保羅差不多在每一封書信都有叫自己做使徒
[00:02:31.480 --> 00:02:38.080]  唯一例外的就是費利門和鐵撒羅尼加書
[00:02:38.080 --> 00:02:41.160]  在鐵撒羅尼加書我們知道他的名字
[00:02:41.160 --> 00:02:45.240]  是和西拉一起列出來
[00:02:45.240 --> 00:02:48.680]  所以保羅沒有叫自己做使徒
[00:02:48.680 --> 00:02:52.120]  可能原因就是因為西拉不是使徒
[00:02:52.120 --> 00:02:56.680]  所以保羅沒有用這個名份
[00:02:56.680 --> 00:02:59.720]  現在有很多人都會說
[00:02:59.720 --> 00:03:02.920]  我們繼續有很多的使徒在這個世上
[00:03:02.920 --> 00:03:05.240]  仍然能夠行神蹟奇事
[00:03:05.240 --> 00:03:08.120]  就好像早期的使徒一樣
[00:03:08.120 --> 00:03:10.560]  但這個不是我們自己說
[00:03:10.560 --> 00:03:14.240]  我們要看看聖經究竟是怎樣的教導
[00:03:14.240 --> 00:03:18.960]  聖經裡面告訴我們使徒是有特別的資格的
[00:03:18.960 --> 00:03:22.880]  有兩個資格我們一起來看一看
[00:03:22.880 --> 00:03:27.320]  第一個就是要被耶穌基督親自揀選
[00:03:27.320 --> 00:03:32.720]  第二個資格就是要見過復活後的耶穌基督
[00:03:32.720 --> 00:03:35.360]  我們一起來看看第一點
[00:03:35.360 --> 00:03:39.320]  就是要被耶穌基督親自揀選
[00:03:39.320 --> 00:03:42.720]  在約翰福音第六章第七十節
[00:03:42.720 --> 00:03:47.400]  耶穌基督說「我不是揀選了你們十二個門徒魔
[00:03:47.400 --> 00:03:50.600]  但你們中間有一個是魔鬼」
[00:03:50.600 --> 00:03:52.960]  這個魔鬼就是猶大
[00:03:52.960 --> 00:03:54.400]  我們剛才說了
[00:03:54.400 --> 00:03:58.880]  當他死了之後由馬提亞來到頂上
[00:03:58.880 --> 00:04:05.320]  你說這樣耶穌基督有沒有揀選馬提亞?
[00:04:05.320 --> 00:04:08.480]  在使徒引傳的第一章我們看到
[00:04:08.480 --> 00:04:12.840]  那些門徒是透過祭籤是透過耶穌基督的靈
[00:04:12.840 --> 00:04:17.440]  來幫助他們揀選替猶大的使徒
