
[00:00:00.000 --> 00:00:13.000]  過去一兩年,有不少電影姊妹和我傾訴她生活上面對的困難,和自己的心境
[00:00:13.000 --> 00:00:22.000]  看到世界是垃圾年,香港的環境也經歷過很大的改變
[00:00:22.000 --> 00:00:28.000]  經濟低迷,樓價、股價都下跌
[00:00:28.000 --> 00:00:39.000]  而這兩年的移民潮就產生了很多親人離散,悲歡離合的環境
[00:00:39.000 --> 00:00:47.000]  有些信徒覺得自己年紀越來越大,身體越來越差,生活又越來越孤單
[00:00:47.000 --> 00:00:58.000]  有些面對工作的壓力,家庭的壓力,或者自己和親友經歷的苦難,有些開始懷疑
[00:00:58.000 --> 00:01:04.000]  我信耶穌,為什麼耶穌不幫我?究竟耶穌是不是真神?
[00:01:04.000 --> 00:01:11.000]  如果你有這樣的問題,或者你的親友有這樣的問題
[00:01:11.000 --> 00:01:19.000]  那今天這段經文是對你有啟發的作用,因為施洗約翰那麼厲害,也有這樣的問題
[00:01:19.000 --> 00:01:26.000]  而耶穌回應他,在耶穌的回應裡面,我們就學習到一些功課
[00:01:26.000 --> 00:01:37.000]  當你懷疑上帝的時候,或者當你認識的人的朋友懷疑上帝的時候,你怎樣幫他處理呢?
[00:01:37.000 --> 00:01:43.000]  施洗約翰為什麼會懷疑耶穌呢?這個真的令我們很難想
[00:01:43.000 --> 00:01:47.000]  首先我們要看看當時的背景是怎樣
[00:01:47.000 --> 00:01:57.000]  2000年前,羅馬帝國在巴勒斯坦,在整個歐洲、非洲北邊建立了一個大的王國
[00:01:57.000 --> 00:02:01.000]  而猶太省就在巴勒斯坦那裡
[00:02:01.000 --> 00:02:15.000]  猶太人聚居在那裡,巴勒斯坦人口六十萬,整個羅馬帝國的人口六千萬
[00:02:15.000 --> 00:02:21.000]  所以整個猶大只是整個羅馬帝國的一百分之一
[00:02:21.000 --> 00:02:28.000]  當時的猶太人生活很艱苦,貧富懸殊,沒有什麼中產階級
[00:02:28.000 --> 00:02:38.000]  當中有些中產階級,譬如做專業、行政、醫生、老師,政府公務員那些中產階級
[00:02:38.000 --> 00:02:44.000]  當時沒有什麼,有很少部分是很有錢,其他都是窮得很
[00:02:44.000 --> 00:02:50.000]  生活很艱苦,猶大那時候亡國已經五百多年
[00:02:50.000 --> 00:02:57.000]  在兩約中間有一百多年,他們爭取了獨立,但接著都沒有了
[00:02:57.000 --> 00:03:01.000]  大致上來說亡國是五百多年
[00:03:01.000 --> 00:03:08.000]  但是很奇妙,他們仍然努力謹守摩西的律法
[00:03:08.000 --> 00:03:12.000]  在聖殿和會堂裡經拜神
[00:03:12.000 --> 00:03:20.000]  他們經歷過亡國之痛,知道離開了上帝會有很多災難
[00:03:20.000 --> 00:03:29.000]  他們學到這個功課,緊緊地拿著舊約應許,他們知道上帝會派尼塞亞來
[00:03:29.000 --> 00:03:34.000]  聖經說得很清楚,尼塞亞就是救世主的意思
