
[00:00:00.000 --> 00:00:07.800]  今天和大家一起去學習思想領受神的話語的訊息
[00:00:07.800 --> 00:00:11.800]  在《老鴿福音》第十一章的開始
[00:00:11.800 --> 00:00:15.400]  這個題目叫做「發出潛能」
[00:00:15.400 --> 00:00:17.400]  「發出潛能」
[00:00:17.400 --> 00:00:19.100]  土告白
[00:00:19.100 --> 00:00:26.100]  所以神比我們人有很多的潛能
[00:00:26.100 --> 00:00:29.100]  知不知道神創造我們的時候
[00:00:29.100 --> 00:00:31.100]  原來是很奇妙受造
[00:00:31.100 --> 00:00:34.100]  我們有很多的潛能在我們身上
[00:00:34.100 --> 00:00:35.100]  有時不經覺
[00:00:35.100 --> 00:00:37.100]  忽然間有什麼事的時候
[00:00:37.100 --> 00:00:39.100]  那種潛能
[00:00:39.100 --> 00:00:43.100]  發覺是我們平時沒有留意到的
[00:00:43.100 --> 00:00:44.100]  有一個故事
[00:00:44.100 --> 00:00:49.100]  有一個人要上夜班
[00:00:49.100 --> 00:00:52.100]  每逢下午四點鐘上班
[00:00:52.100 --> 00:00:54.100]  下班已經十二點了
[00:00:54.100 --> 00:00:57.100]  所以在凌晨的時候他就要回家
[00:00:57.100 --> 00:01:00.100]  工作的地方和家裡不太遠
[00:01:00.100 --> 00:01:02.100]  所以他就走路回家
[00:01:02.100 --> 00:01:04.100]  走路上班
[00:01:04.100 --> 00:01:08.100]  那天十二點鐘他就走路回家
[00:01:08.100 --> 00:01:10.100]  其實每晚都是這樣走的
[00:01:10.100 --> 00:01:16.100]  他家裡和工作的地方中間有一個大的草原
[00:01:16.100 --> 00:01:17.100]  那是什麼草原呢?
[00:01:17.100 --> 00:01:18.100]  不是普通的
[00:01:18.100 --> 00:01:20.100]  原來是一個墳場
[00:01:20.100 --> 00:01:22.100]  所以是一個墳場
[00:01:22.100 --> 00:01:27.100]  如果月亮的時候
[00:01:27.100 --> 00:01:29.100]  他就不繞個圈
[00:01:29.100 --> 00:01:31.100]  就怎樣?
[00:01:31.100 --> 00:01:33.100]  就經過那個草地
[00:01:33.100 --> 00:01:34.100]  經過那個墳場
[00:01:34.100 --> 00:01:36.100]  回家就比較快
[00:01:36.100 --> 00:01:38.100]  太黑的時候
[00:01:38.100 --> 00:01:40.100]  變成怕踩得不好
[00:01:40.100 --> 00:01:42.100]  有什麼意外
[00:01:42.100 --> 00:01:44.100]  那就不要了
[00:01:44.100 --> 00:01:46.100]  誰知道那晚他就很心急
[00:01:46.100 --> 00:01:47.100]  要趕著回家
[00:01:47.100 --> 00:01:48.100]  雖然天黑黑
[00:01:48.100 --> 00:01:51.100]  平時他就繞個圈
[00:01:51.100 --> 00:01:52.100]  結果那晚不怕了
[00:01:52.100 --> 00:01:53.100]  走了那麼多次
[00:01:53.100 --> 00:01:55.100]  就很接近
[00:01:55.100 --> 00:01:57.100]  就經過那個墳場回家
[00:01:57.100 --> 00:01:58.100]  誰知道
[00:01:58.100 --> 00:02:02.100]  剛巧有些新墳墓挖了出來
[00:02:02.100 --> 00:02:04.100]  結果就有個大洞
[00:02:04.100 --> 00:02:05.100]  他平時沒有留意的
[00:02:05.100 --> 00:02:06.100]  經過
[00:02:06.100 --> 00:02:07.100]  那怎樣?
[00:02:07.100 --> 00:02:08.100]  掉進去
[00:02:08.100 --> 00:02:09.100]  哎呀
[00:02:09.100 --> 00:02:11.100]  就掉進去那個洞裡
[00:02:11.100 --> 00:02:12.100]  慘了
[00:02:12.100 --> 00:02:13.100]  他就大聲叫
[00:02:13.100 --> 00:02:15.100]  救我呀救我呀
[00:02:15.100 --> 00:02:16.100]  誰在附近
[00:02:16.100 --> 00:02:17.100]  有沒有人來?
[00:02:17.100 --> 00:02:18.100]  沒有
[00:02:18.100 --> 00:02:19.100]  當然沒有
[00:02:19.100 --> 00:02:20.100]  這麼晚
[00:02:20.100 --> 00:02:23.100]  黑暗暗地去墳場
[00:02:23.100 --> 00:02:24.100]  所以呢
[00:02:24.100 --> 00:02:26.100]  他就拼命爬
[00:02:26.100 --> 00:02:27.100]  拼命爬
[00:02:27.100 --> 00:02:28.100]  誰知道那個洞
[00:02:28.100 --> 00:02:30.100]  實在很深
[00:02:30.100 --> 00:02:31.100]  爬來爬去
[00:02:31.100 --> 00:02:32.100]  怎樣?
[00:02:32.100 --> 00:02:34.100]  當然爬不出來
[00:02:34.100 --> 00:02:35.100]  他就放棄
[00:02:35.100 --> 00:02:36.100]  他想著
[00:02:36.100 --> 00:02:37.100]  等吧
[00:02:37.100 --> 00:02:38.100]  等到天亮
[00:02:38.100 --> 00:02:39.100]  等幾個小時
[00:02:39.100 --> 00:02:41.100]  有人出來的時候
[00:02:41.100 --> 00:02:43.100]  再喊就應該可以了
[00:02:43.100 --> 00:02:45.100]  結果他就把自己的
[00:02:45.100 --> 00:02:46.100]  Jacket脫了出來
[00:02:46.100 --> 00:02:47.100]  就蓋著自己
[00:02:47.100 --> 00:02:49.100]  突出了頭
[00:02:49.100 --> 00:02:52.100]  就縮了一個角落
[00:02:52.100 --> 00:02:53.100]  就想著
[00:02:53.100 --> 00:02:54.100]  過幾個小時
[00:02:54.100 --> 00:02:55.100]  睡覺
[00:02:55.100 --> 00:02:56.100]  誰知道
[00:02:56.100 --> 00:02:58.100]  剛巧有另外一個人
[00:02:58.100 --> 00:03:00.100]  那晚又經過
[00:03:00.100 --> 00:03:01.100]  有一個人
[00:03:01.100 --> 00:03:02.100]  拜託
[00:03:02.100 --> 00:03:05.100]  又掉進那個洞裡
[00:03:05.100 --> 00:03:06.100]  哎呀
[00:03:06.100 --> 00:03:07.100]  掉進那個洞裡的時候
[00:03:07.100 --> 00:03:08.100]  那個人又怎樣?
[00:03:08.100 --> 00:03:09.100]  又大聲叫
[00:03:09.100 --> 00:03:10.100]  救我救我
[00:03:10.100 --> 00:03:11.100]  那怎樣?
[00:03:11.100 --> 00:03:12.100]  當然沒有人理他
[00:03:12.100 --> 00:03:13.100]  他拼命爬
[00:03:13.100 --> 00:03:14.100]  拼命爬
[00:03:14.100 --> 00:03:15.100]  想爬上去
[00:03:15.100 --> 00:03:17.100]  結果第一個那個人
