
[00:00:00.000 --> 00:00:02.960]  首先代表教會歡迎大家
[00:00:02.960 --> 00:00:05.520]  今天很開心一齊有機會分享
[00:00:05.520 --> 00:00:10.760]  這個題目叫與超自然的神同行
[00:00:10.760 --> 00:00:14.760]  見到這個題目有些人會問師傅又在搞什麼
[00:00:14.760 --> 00:00:20.960]  喪家可以說 超自然的東西人是搞不到的
[00:00:20.960 --> 00:00:24.800]  相信所有的組長在過往這幾個月
[00:00:24.800 --> 00:00:26.720]  大家都是很努力跑這本書
[00:00:26.720 --> 00:00:30.480]  就叫做行在神超自然的大能中
[00:00:30.480 --> 00:00:33.080]  事源有一個特會
[00:00:33.080 --> 00:00:36.920]  有位牧師專門在世界各地推廣這個動作
[00:00:36.920 --> 00:00:41.960]  讓教會知道我們所信的上帝是超自然的
[00:00:41.960 --> 00:00:44.400]  丁子梅你信的神是不是超自然的
[00:00:44.400 --> 00:00:47.800]  是 因爲如果是超自然的就不是神了
[00:00:47.800 --> 00:00:51.200]  但其中有一個牧師的分享我都覺得很感動
[00:00:51.200 --> 00:00:55.720]  他說當你經歷到一些超自然的經驗之後
[00:00:55.720 --> 00:00:59.240]  你會深深的經歷到上帝的同在
[00:00:59.240 --> 00:01:01.560]  還有你應該愛主更多
[00:01:01.560 --> 00:01:03.920]  我們在兩年前 特別是那段時間
[00:01:03.920 --> 00:01:07.320]  我們都經歷了很多古靈精怪的事
[00:01:07.320 --> 00:01:08.760]  兩年已經過去了
[00:01:08.760 --> 00:01:10.080]  問一下丁子梅大家
[00:01:10.080 --> 00:01:11.320]  你覺得在這兩年裏面
[00:01:11.320 --> 00:01:15.040]  你是否真的能夠經歷主的同在更多呢
[00:01:15.040 --> 00:01:17.600]  你有沒有愛主更多呢
[00:01:17.600 --> 00:01:21.720]  如果你有的 給大一點掌聲給上帝好嗎
[00:01:21.720 --> 00:01:28.080]  因爲其實每次拜神的人都是很希望他們的神靈
[00:01:28.080 --> 00:01:30.760]  回想你自己未信耶穌的時候
[00:01:30.760 --> 00:01:34.200]  你其實都是很希望你能夠見到上帝
[00:01:34.200 --> 00:01:36.800]  或者是上帝活生生的跟你說話
[00:01:36.800 --> 00:01:39.040]  你就會覺得我就會信祂了
[00:01:39.040 --> 00:01:43.600]  大到可能有人有病的時候就求神去醫治
[00:01:43.600 --> 00:01:49.120]  小到不見八達通 不見了銀包 什麼的士
[00:01:49.120 --> 00:01:51.360]  其實很多人都去禱告的
[00:01:51.360 --> 00:01:54.440]  大家都很盼望上帝是真實的
[00:01:54.440 --> 00:01:57.160]  所以有時候我們面對着很多神蹟歧視的時候
[00:01:57.160 --> 00:01:58.200]  我們又發現
[00:01:58.200 --> 00:02:01.360]  原來反而信了耶穌基督很久的人就很古怪的
[00:02:01.360 --> 00:02:03.960]  其實他們網頁上都經常update着
[00:02:03.960 --> 00:02:07.520]  他們在特會里面丁子梅或者是未信主的人
[00:02:07.520 --> 00:02:09.680]  他經歷了神蹟歧視的見證
[00:02:09.680 --> 00:02:11.280]  是丟在上面的
[00:02:11.280 --> 00:02:15.040]  一般我們普遍的 特別是方派的youtuber
[00:02:15.040 --> 00:02:16.520]  就有兩個很特別的反應
[00:02:16.520 --> 00:02:18.840]  第一個就是這樣的 害怕的
[00:02:18.840 --> 00:02:19.920]  有幾個人會害怕的
[00:02:19.920 --> 00:02:21.720]  先舉個手 不敢舉是嗎
[00:02:21.720 --> 00:02:23.480]  我 我是害怕的
[00:02:23.480 --> 00:02:27.440]  兩年前那種害怕是你接受不了的
[00:02:27.440 --> 00:02:29.480]  完全是你的腦袋在發愁
[00:02:29.480 --> 00:02:31.280]  不知道爲什麼會遇到這些事
[00:02:31.280 --> 00:02:33.920]  但是你問我 害怕都明白的
[00:02:33.920 --> 00:02:36.080]  你沒見過嘛 當然有點害怕
[00:02:36.080 --> 00:02:38.000]  還有大家有時候都會害怕
[00:02:38.000 --> 00:02:41.120]  其實靈界是不是神來的呢
[00:02:41.120 --> 00:02:44.000]  因爲靈界裏面我們還有邪惡的那一面
[00:02:44.000 --> 00:02:45.040]  還有魔鬼
[00:02:45.040 --> 00:02:49.000]  所以遇到一些超自然的東西一定有一種反應
[00:02:49.000 --> 00:02:53.640]  但是有些弟兄姊妹的反應我們覺得很古怪
[00:02:53.640 --> 00:02:56.360]  就是生氣的 不用拒絕了
[00:02:56.360 --> 00:02:59.280]  有些人是很得意的 很生氣的
[00:02:59.280 --> 00:03:01.960]  你搞些什麼 施牧師又搞些什麼
[00:03:01.960 --> 00:03:03.840]  或者那個人搞些什麼
