
[00:00:00.000 --> 00:00:06.600]  這個債字又是第二個痕跡
[00:00:06.600 --> 00:00:11.060]  指出這是阿蘭文的原文
[00:00:11.060 --> 00:00:19.520]  原來希臘文的債字只是指前債
[00:00:19.520 --> 00:00:21.520]  沒有指罪債
[00:00:21.520 --> 00:00:24.520]  只有阿蘭文的債字
[00:00:24.520 --> 00:00:29.060]  是同一個債字可以指前債和罪債
[00:00:29.060 --> 00:00:31.540]  只有阿蘭文的債字有
[00:00:31.540 --> 00:00:34.040]  我們的希臘文沒有這個字
[00:00:34.040 --> 00:00:38.540]  而這裡用這個字正正是指到一個
[00:00:38.540 --> 00:00:42.240]  免我們的前債免我們的罪債
[00:00:42.240 --> 00:00:44.240]  路加就指到罪債
[00:00:44.240 --> 00:00:47.060]  馬太就只用到前債
[00:00:47.060 --> 00:00:52.560]  但是阿蘭文剛剛就把兩個債字的意思都放在裡面
[00:00:52.560 --> 00:00:57.060]  最後那句
[00:00:57.060 --> 00:00:59.060]  不叫我們遇見試探
[00:00:59.060 --> 00:01:02.060]  救我們脫離凶惡
[00:01:02.060 --> 00:01:07.060]  如果你單憑說不叫我們遇見試探
[00:01:07.060 --> 00:01:09.060]  會不會我們有個感覺
[00:01:09.060 --> 00:01:12.060]  原來我們的試探是神叫我們遇上的
[00:01:12.060 --> 00:01:14.060]  是不是
[00:01:14.060 --> 00:01:17.060]  不然為什麼要這樣祈禱
[00:01:17.060 --> 00:01:19.060]  不叫我們遇見試探
[00:01:19.060 --> 00:01:23.060]  我們知道
[00:01:23.060 --> 00:01:26.060]  從舊約到新約到雅各書都說
[00:01:26.060 --> 00:01:29.060]  神是不試探人的神
[00:01:29.060 --> 00:01:32.060]  試探不可能出於神的
[00:01:32.060 --> 00:01:34.060]  所以這句話怎麼解釋
[00:01:34.060 --> 00:01:36.060]  不叫我們遇見試探
[00:01:36.060 --> 00:01:38.060]  原來這個字
[00:01:38.060 --> 00:01:42.060]  又是要翻到阿蘭文才有意思解釋
