
[00:00:00.000 --> 00:00:05.000]  不知你有沒有想過神不公平呢?
[00:00:05.000 --> 00:00:07.000]  我們很怕想這些
[00:00:07.000 --> 00:00:09.000]  好像答到又答不到的問題
[00:00:09.000 --> 00:00:11.000]  究竟神公不公平呢?
[00:00:11.000 --> 00:00:14.000]  如果你覺得神有些時候不公平呢?
[00:00:14.000 --> 00:00:17.000]  或者某一刻你曾經想過神不公平呢?
[00:00:17.000 --> 00:00:19.000]  我給你多一個問題去想
[00:00:19.000 --> 00:00:25.000]  就是你寧願神公平公正公義地對待你
[00:00:25.000 --> 00:00:32.000]  還是你想神以憐憫恩慈去愛你?
[00:00:32.000 --> 00:00:35.000]  如果你有一刻想過神不公平的話
[00:00:35.000 --> 00:00:38.000]  你再想多一個問題
[00:00:38.000 --> 00:00:41.000]  你想神要公平公正公義地對待你
[00:00:41.000 --> 00:00:46.000]  還是你想神以憐憫恩慈去愛你?
[00:00:46.000 --> 00:00:49.000]  第九章其實在羅馬書來說
[00:00:49.000 --> 00:00:52.000]  是講到神的揀選主權
[00:00:52.000 --> 00:00:56.000]  神的救贖工作就是祂要顯示祂的主權
[00:00:56.000 --> 00:01:01.000]  神的揀選就是反映著神的恩典的堅持
[00:01:01.000 --> 00:01:04.000]  這不是我們的邏輯
[00:01:04.000 --> 00:01:06.000]  我們的邏輯是好就對你好
[00:01:06.000 --> 00:01:09.000]  你不好就不要怪我
[00:01:09.000 --> 00:01:13.000]  但是神的揀選和主權在哪裏顯明得最精彩
[00:01:13.000 --> 00:01:16.000]  就是祂的救恩、恩典
[00:01:16.000 --> 00:01:19.000]  因為沒有人做任何事情
[00:01:19.000 --> 00:01:22.000]  可以改變神要做的決定
[00:01:22.000 --> 00:01:25.000]  就是救贖計劃
[00:01:25.000 --> 00:01:27.000]  無論是猶太人還是愛邦人
[00:01:27.000 --> 00:01:30.000]  只要你相信、你回轉、你歸向神
[00:01:30.000 --> 00:01:35.000]  神就已經預備了永恆的榮耀、救恩
[00:01:35.000 --> 00:01:37.000]  所以我們很難不明白
[00:01:37.000 --> 00:01:39.000]  究竟神為什麼要這麼定義去做一件事
