
[00:00:00.000 --> 00:00:03.400]  因信稱義是一種怎樣的人生
[00:00:03.400 --> 00:00:04.800]  當我思考第五章
[00:00:04.800 --> 00:00:06.400]  由第一節到第十一節的時候
[00:00:06.400 --> 00:00:09.600]  我發覺保羅很清楚給我們一個提醒
[00:00:09.600 --> 00:00:11.000]  有四方面的提醒
[00:00:11.000 --> 00:00:13.600]  原來因信稱義的而且確
[00:00:13.600 --> 00:00:15.600]  是可以幫助我們
[00:00:15.600 --> 00:00:18.000]  能夠得到一種感恩
[00:00:18.000 --> 00:00:19.200]  得到一種喜樂
[00:00:19.200 --> 00:00:21.000]  甚至得到一種豐盛
[00:00:21.000 --> 00:00:21.800]  一種人生
[00:00:21.800 --> 00:00:23.200]  所以今天我們看看
[00:00:23.200 --> 00:00:24.800]  保羅怎樣去詮釋
[00:00:24.800 --> 00:00:27.000]  一個因信稱義的人生
[00:00:27.000 --> 00:00:27.800]  有四方面
[00:00:27.800 --> 00:00:31.600]  第一就是活出榮耀的人生
[00:00:31.600 --> 00:00:33.200]  我們讀一讀這個聖經
[00:00:33.200 --> 00:00:34.200]  準備一二三
[00:00:34.200 --> 00:00:37.000]  我們既因信稱義
[00:00:37.000 --> 00:00:40.000]  我們的主耶穌基督
[00:00:40.000 --> 00:00:42.000]  得與神相和
[00:00:42.000 --> 00:00:43.800]  我們又藉著他
[00:00:43.800 --> 00:00:45.600]  因信得進入
[00:00:45.600 --> 00:00:48.600]  現在所站的這恩典中
[00:00:48.600 --> 00:00:50.600]  並且歡歡喜喜
[00:00:50.600 --> 00:00:53.000]  盼望神的榮耀
[00:00:53.000 --> 00:00:54.200]  一開始的時候
[00:00:54.200 --> 00:00:55.400]  保羅第一句說話
[00:00:55.400 --> 00:00:58.000]  我們既因信稱義
[00:00:58.000 --> 00:01:00.800]  很明顯在原文的味道
[00:01:00.800 --> 00:01:04.000]  比我們中文翻譯的味道更加清楚
[00:01:04.000 --> 00:01:05.400]  這句話的意思就是說
[00:01:05.400 --> 00:01:06.200]  保羅說
[00:01:06.200 --> 00:01:07.600]  由第一章到第四章
[00:01:07.600 --> 00:01:10.600]  我不斷在詮釋這個因信稱義
[00:01:10.600 --> 00:01:11.600]  去到這個時刻
[00:01:11.600 --> 00:01:13.200]  我們應該擁有了
[00:01:13.200 --> 00:01:15.200]  這種因信稱義的人生
