
[00:00:00.000 --> 00:00:02.480]  好 讓我們聽上帝的說話
[00:00:02.480 --> 00:00:03.520]  以慈心禱告
[00:00:03.520 --> 00:00:08.000]  慈悲天父多謝您讓我們今天
[00:00:08.000 --> 00:00:10.080]  再次回到教會裏面
[00:00:10.080 --> 00:00:12.320]  一同思想主理的說話
[00:00:12.320 --> 00:00:14.640]  求您與我們每一個同在
[00:00:14.640 --> 00:00:16.320]  無論聽的 講的
[00:00:16.320 --> 00:00:18.480]  都能夠同蒙主的恩福
[00:00:18.480 --> 00:00:22.160]  讓我們能夠更加清楚掌握認識
[00:00:22.160 --> 00:00:25.600]  我們怎樣能夠在上帝您面前的侍奉
[00:00:25.600 --> 00:00:26.960]  是合主您的心意
[00:00:26.960 --> 00:00:29.440]  我們將我們今天的敬拜
[00:00:29.440 --> 00:00:32.080]  聽道的時間 恭敬教在主祢手
[00:00:32.080 --> 00:00:34.800]  禱告奉主耶穌的德性的明知以及
[00:00:34.800 --> 00:00:35.680]  阿們
[00:00:35.680 --> 00:00:37.840]  歷年來在教會裏面
[00:00:37.840 --> 00:00:41.520]  都有很多不同類型的傳福音活動
[00:00:41.520 --> 00:00:44.480]  於是乎在這麼多年的裏面
[00:00:44.480 --> 00:00:47.360]  教會發展出很多不同類型
[00:00:47.360 --> 00:00:51.840]  五花八門的一些傳福音的技巧
[00:00:51.840 --> 00:00:53.920]  是不是一件壞事
[00:00:53.920 --> 00:00:55.600]  不是 是一件好事
[00:00:55.600 --> 00:00:57.920]  用不同的方法去接觸不同的人
[00:00:57.920 --> 00:00:59.680]  去認識主的道理
[00:00:59.680 --> 00:01:02.480]  但是我們有沒有留意到
[00:01:02.480 --> 00:01:06.640]  原來傳道最重要的因素
[00:01:06.640 --> 00:01:10.160]  不是在於那個技巧的問題
[00:01:10.160 --> 00:01:13.920]  而是在乎於傳道那個人
[00:01:13.920 --> 00:01:16.320]  他究竟基督徒的生命
[00:01:16.320 --> 00:01:18.640]  他的本質究竟是怎樣
[00:01:18.640 --> 00:01:20.720]  如果我們缺乏了去了解
[00:01:20.720 --> 00:01:23.040]  這個屬靈的生命的本質
[00:01:23.040 --> 00:01:26.640]  而他只是專注一些技巧的話
[00:01:26.640 --> 00:01:30.720]  很多時候我們反而變得本末倒置
[00:01:30.720 --> 00:01:33.600]  今日我會希望透過這一段聖經
[00:01:33.600 --> 00:01:35.680]  藉著《仕途行傳》第十章
[00:01:35.680 --> 00:01:37.520]  第一至第四十八節
[00:01:37.520 --> 00:01:40.880]  藉這段經文去重新掌握
[00:01:40.880 --> 00:01:45.440]  傳道者他們本身的質素是怎樣
[00:01:45.440 --> 00:01:48.560]  預備到我們今天作為神的子民
[00:01:48.560 --> 00:01:49.840]  作為基督徒
[00:01:49.840 --> 00:01:53.280]  怎樣有著上帝的屬性的生命
[00:01:53.280 --> 00:01:55.840]  去發展福音的工作
[00:01:55.840 --> 00:01:57.120]  所以今日這段聖經
