
[00:00:00.000 --> 00:00:06.000]  請師父讓我們先聽神的道義 讓我們重新禱告
[00:00:06.000 --> 00:00:12.000]  師父多謝您讓我們再次回到您的說話的面前去學習
[00:00:12.000 --> 00:00:19.000]  師父我求您讓我們再次能夠委身在主您的當中
[00:00:19.000 --> 00:00:24.000]  能夠聽明當中的教訓 唯有靠著聖靈
[00:00:24.000 --> 00:00:29.000]  求您也將聖靈在這個時候光注在我們每一個信徒身上
[00:00:29.000 --> 00:00:36.000]  啟禮我們 也讓我們能夠有一份願意跟隨聖靈的心去聆聽主耶穌的話
[00:00:36.000 --> 00:00:42.000]  我們祝憑聖力給我們能夠再次有生命來到聆聽主您的教訓
[00:00:42.000 --> 00:00:50.000]  求您的幫助 透過聖靈來觸動我們每一個願意信徒信禰的靈
[00:00:50.000 --> 00:00:59.000]  好使我們能夠完完全全明白當中的教訓 我們就能夠封住耶穌的名嘴 阿們
[00:00:59.000 --> 00:01:07.000]  在很多大型節目常常都想問 穆斯理奇是怎麼信主的
[00:01:07.000 --> 00:01:11.000]  有很多電視節目會問 穆斯理奇是怎麼信主的
[00:01:11.000 --> 00:01:16.000]  我不知道 可能過了一段時間之後 或者你都忘記了自己的信主
[00:01:16.000 --> 00:01:19.000]  過了一段時間你可能自己就忘了自己是怎麼去信主的了
[00:01:19.000 --> 00:01:23.000]  最近我也有去思考一下我自己信主的過程
[00:01:23.000 --> 00:01:28.000]  最近我就思考一下我自己的信主過程 也希望可以跟大家分享一下
[00:01:28.000 --> 00:01:30.000]  在這裡和大家分享一下
[00:01:30.000 --> 00:01:35.000]  我信主其實是在我留學加拿大的時候開始的
[00:01:35.000 --> 00:01:39.000]  我信主是從加拿大留學開始的
[00:01:39.000 --> 00:01:42.000]  我第一次接觸教會其實是在香港的時候已經接觸
[00:01:42.000 --> 00:01:44.000]  其實我在香港已經接觸到教會了
[00:01:44.000 --> 00:01:49.000]  最初我接觸的時候是一幫天主教徒
[00:01:49.000 --> 00:01:53.000]  後來也接觸過一些基督徒
[00:01:53.000 --> 00:01:58.000]  轉轉之後後來來到加拿大
[00:01:58.000 --> 00:02:02.000]  就去了教會
[00:02:02.000 --> 00:02:07.000]  我記得在我最初來到加拿大的時候就留學生身份
[00:02:07.000 --> 00:02:11.000]  但我最初來到加拿大是以留學生的身份來的
