
[00:00:00.000 --> 00:00:04.000]  請姐妹平安,讓我們一起低頭祈禱
[00:00:04.000 --> 00:00:08.000]  神父,我們感謝禰的恩典
[00:00:08.000 --> 00:00:12.000]  感謝禰在主人的清晨,讓我們一起聚集
[00:00:12.000 --> 00:00:16.000]  唱詩歌,敬拜禰
[00:00:16.000 --> 00:00:20.000]  我們都要準備我們的心聆聽禰的話語
[00:00:20.000 --> 00:00:24.000]  求聖靈幫助我們,聽得明白
[00:00:24.000 --> 00:00:29.000]  並且樂意在生活中進行禰的話語
[00:00:30.000 --> 00:00:32.000]  從天上而來的教導
[00:00:32.000 --> 00:00:35.000]  讓我們的生命活出,喜樂平安
[00:00:35.000 --> 00:00:38.000]  奉耶穌基督的名祈禱,阿們
[00:00:38.000 --> 00:00:44.000]  我們最近一直在看彼得前書
[00:00:44.000 --> 00:00:47.000]  今天來到最後一章
[00:00:47.000 --> 00:00:51.000]  彼得爲什麼寫這封信呢?
[00:00:51.000 --> 00:00:55.000]  在五章十二節,他講得很清楚
[00:00:55.000 --> 00:00:58.000]  他說我簡單地寫了這封信
[00:00:59.000 --> 00:01:03.000]  託我所捍衛中心的弟兄、師奶教給你們
[00:01:03.000 --> 00:01:09.000]  勸勉你們,有證明這因是上帝真實的恩典
[00:01:09.000 --> 00:01:13.000]  你們無要在這因上暫立得住
[00:01:13.000 --> 00:01:16.000]  我提過幾次了
[00:01:16.000 --> 00:01:19.000]  收信人是一幫受苦中的信徒
[00:01:19.000 --> 00:01:24.000]  他們被人趕着到今天土耳其一帶的地方
[00:01:24.000 --> 00:01:27.000]  彼得勸勉他們
[00:01:28.000 --> 00:01:31.000]  要以喜樂的態度去面對苦難
[00:01:31.000 --> 00:01:36.000]  人生大部分的苦難都是從外面來的
[00:01:36.000 --> 00:01:39.000]  是我們不能夠控制的
[00:01:39.000 --> 00:01:42.000]  但我們可以靠上帝的恩典
[00:01:42.000 --> 00:01:45.000]  控制自己的情緒反應
[00:01:45.000 --> 00:01:49.000]  我們可以拒絕埋怨,拒絕苦毒
[00:01:49.000 --> 00:01:53.000]  拒絕讓環境偷走我們應該有的
[00:01:53.000 --> 00:01:56.000]  從上帝而來的喜樂
[00:01:57.000 --> 00:02:01.000]  除了勸勉基督徒要如何面對苦難之外
[00:02:01.000 --> 00:02:06.000]  彼得還見證了上帝真實的恩典
[00:02:06.000 --> 00:02:12.000]  也鼓勵基督徒要在這因上暫立得住
[00:02:12.000 --> 00:02:17.000]  因此我今天的講題就是活在恩典中
[00:02:17.000 --> 00:02:22.000]  希望我們這次思考上帝真實的恩典
[00:02:23.000 --> 00:02:27.000]  並且能夠靠上帝的恩典去面對人生
[00:02:27.000 --> 00:02:30.000]  面對突發的衝擊
[00:02:30.000 --> 00:02:34.000]  甚至面對魔鬼的攻擊
[00:02:34.000 --> 00:02:38.000]  什麼是上帝的恩典?
[00:02:38.000 --> 00:02:43.000]  在彼得的心目中他想到什麼呢?
[00:02:43.000 --> 00:02:47.000]  我相信彼得想到的最主要的恩典
[00:02:47.000 --> 00:02:50.000]  就是主耶穌基督的拯救
[00:02:51.000 --> 00:02:53.000]  在一章三節他這麼說
[00:02:53.000 --> 00:02:58.000]  我們要感謝我們的主耶穌基督的父上帝
[00:02:58.000 --> 00:03:01.000]  由於他無限的人持
[00:03:01.000 --> 00:03:04.000]  藉着耶穌基督從死裏復活
[00:03:04.000 --> 00:03:07.000]  把新的生命賜給我們
[00:03:07.000 --> 00:03:10.000]  使我們有活的盼望
