
[00:00:00.000 --> 00:00:06.480]  今天我們知道說,我們中國的正月四五之後,這個年才真正過完了。
[00:00:06.480 --> 00:00:11.080]  所以當新的一年,也意味著新的一年也正式的開始。
[00:00:11.080 --> 00:00:15.640]  在這新的一年裡面,對於我們一個基督徒來講,
[00:00:15.640 --> 00:00:18.440]  我們很重要的一件事情是,
[00:00:18.440 --> 00:00:22.480]  在你的生命裡面,在你的人生裡面,
[00:00:22.480 --> 00:00:28.480]  這個耶穌到底在你我的人生裡面,扮演了一個什麼樣的角色?
[00:00:28.480 --> 00:00:31.440]  你到底怎麼樣去看待這位耶穌?
[00:00:31.440 --> 00:00:36.280]  那麼在這新的一年裡面的一開始,我們就要去反思這個問題。
[00:00:36.280 --> 00:00:40.240]  所以我們這個禮拜開始,我們就進入一個新的主題,
[00:00:40.240 --> 00:00:43.800]  叫「你怎樣看待耶穌?」
[00:00:43.800 --> 00:00:47.680]  這個問題很簡單,你怎樣去看待耶穌?
[00:00:47.680 --> 00:00:51.200]  你知道這個問題,如果不問我們的時候,
[00:00:51.200 --> 00:00:54.240]  我們都知道說,你是基督徒嗎?對。
[00:00:54.240 --> 00:00:56.400]  你相信耶穌嗎?你說對。
[00:00:56.400 --> 00:00:58.440]  你相信耶穌是神的兒子嗎?
[00:00:58.440 --> 00:00:59.720]  你說對。
[00:00:59.720 --> 00:01:04.560]  但是如果這個問題問你說,你怎樣去看待耶穌?
[00:01:04.560 --> 00:01:06.920]  你們是怎麼回答的?
[00:01:06.920 --> 00:01:08.760]  其實你知道,我看到這個主題的時候,
[00:01:08.760 --> 00:01:11.440]  「你怎樣看待耶穌?」
[00:01:11.440 --> 00:01:14.920]  我一想,很簡單啊,你怎樣看待耶穌呢?
[00:01:14.920 --> 00:01:18.160]  後來一想的時候,其實並不那麼簡單,
[00:01:18.160 --> 00:01:23.320]  因為現實中很多時候,我們知道我們的信仰在哪裡,
[00:01:23.320 --> 00:01:25.560]  我們知道我們的原則在哪裡,
[00:01:25.560 --> 00:01:27.760]  我們知道我們的聖經在哪裡,
[00:01:27.760 --> 00:01:31.160]  我們也知道我們的耶穌,我們的上帝在哪裡,
[00:01:31.160 --> 00:01:36.760]  但是往往在我們的生活裡面,卻沒有活出這樣的樣式。
[00:01:36.760 --> 00:01:41.760]  那到底我們看耶穌到底是怎麼樣的呢?
[00:01:41.760 --> 00:01:45.360]  所以這一點,值得我們今天去思考。
[00:01:45.360 --> 00:01:48.480]  所以在這一期的講道的系列裡面,
[00:01:48.480 --> 00:01:52.160]  我不知道大家有沒有去看到前面的那些主題,
[00:01:52.160 --> 00:01:59.360]  你看在這六個主題裡面,好像都沒有去關心其中的大人物,
[00:01:59.360 --> 00:02:07.160]  比如說裡面的大祭司,包括公會的那些人,
[00:02:07.160 --> 00:02:11.960]  還有當時的巡撫比拉多,甚至連百夫長,
[00:02:11.960 --> 00:02:14.560]  都不在我們關注的行列。
[00:02:14.560 --> 00:02:16.360]  為什麼我們這樣去計畫呢?
[00:02:16.360 --> 00:02:24.160]  因為我們說,從這裡面所看到的這些好像就是耶穌被釘在石架前,
[00:02:24.160 --> 00:02:30.560]  或者被釘在石架上面那個時刻的,石架下面的一批小人物。
[00:02:30.560 --> 00:02:35.960]  為什麼我們會把整個眼睛聚焦在這些小人物的身上呢?
[00:02:35.960 --> 00:02:41.960]  各位你知道,因為越是小人物,他越有普遍性的代表。
[00:02:41.960 --> 00:02:46.160]  如果越是大人物,因為大祭司就是那麼一位,
[00:02:46.160 --> 00:02:48.560]  巡撫也就是那麼一位,
[00:02:48.560 --> 00:02:53.360]  百夫長當時在釘耶穌的百夫長裡面也就是那麼一位。
[00:02:53.360 --> 00:02:55.360]  那如果是小人物呢?
[00:02:55.360 --> 00:03:00.760]  下面有很多的人,有士兵,有當時猶太的同胞,
[00:03:00.760 --> 00:03:04.160]  也有那些守衛的,也有那幾個失敗的門徒,
[00:03:04.160 --> 00:03:07.760]  也有一些武藝中看開樂鬧的跟隨者,
[00:03:07.760 --> 00:03:12.160]  也有一些是需要被拯救的人。
[00:03:12.160 --> 00:03:16.160]  只有是這樣,才發現從這幾個人物裡面,
[00:03:16.160 --> 00:03:20.360]  我們都可以找到你我的影子在其中。
[00:03:20.360 --> 00:03:30.360]  所以今天呢,我們首先來看這個系列中的第一個小人物無動於衷的士兵。
[00:03:30.360 --> 00:03:42.960]  或者說那個電影叫《耶穌受難記》,你們有沒有看過《耶穌受難記》的這個影片的?
[00:03:42.960 --> 00:03:44.960]  你有沒有感動?
[00:03:44.960 --> 00:03:53.760]  你有感動,但是你知道這個士兵當時是身臨其境,
[00:03:53.760 --> 00:03:57.760]  他就在那個中間,他就在石架的下面,
[00:03:57.760 --> 00:04:01.360]  並且把耶穌釘在石架上面,
[00:04:01.360 --> 00:04:06.960]  包括在石架之前的那些工作,抓捕的工作,審問的工作,
[00:04:06.960 --> 00:04:12.160]  甚至去羞辱他的一切的工作,都是士兵親手去做的。
[00:04:12.160 --> 00:04:16.760]  但是他面對這個過程,為什麼他無動於衷呢?
[00:04:16.760 --> 00:04:18.360]  為什麼我們今天看?
[00:04:18.360 --> 00:04:24.960]  因為我們相信這個被釘在石架上面的這個人,
[00:04:24.960 --> 00:04:28.960]  這位被叫做耶穌的,他就是上帝的兒子。
[00:04:28.960 --> 00:04:31.960]  他就是彌賽亞,他就是基督。
[00:04:31.960 --> 00:04:37.960]  他掛在上面的原因,並不是因為自罪,為了我。
[00:04:37.960 --> 00:04:47.560]  只因為我們相信他是神,他是神的兒子,為了我們而付出這樣沉重的代價,所以我們會感動。
[00:04:47.560 --> 00:04:51.960]  但是當時這些士兵,他為什麼在那裡無動於衷呢?
[00:04:51.960 --> 00:04:56.960]  因為他不相信耶穌是神的兒子。
[00:04:56.960 --> 00:04:58.960]  為什麼?
[00:04:58.960 --> 00:05:08.960]  各位你知道,這些士兵也被當時整個社會的潮流所模糊了。
[00:05:08.960 --> 00:05:11.960]  你知道潮流很可怕,
[00:05:11.960 --> 00:05:16.960]  為什麼你知道以前我們說我們是懈怠主義,
