
[00:00:00.000 --> 00:00:03.000]  各位頂智妹平安
[00:00:03.000 --> 00:00:06.000]  我們剛才看了一個短片
[00:00:06.000 --> 00:00:08.000]  也看到很多頂智妹他們參與直堂
[00:00:08.000 --> 00:00:11.000]  一些生命的體驗
[00:00:11.000 --> 00:00:13.000]  不單止是服侍別人
[00:00:13.000 --> 00:00:16.000]  自己的生命也在裡面成長
[00:00:16.000 --> 00:00:20.000]  更加認識人生的路是怎樣走
[00:00:20.000 --> 00:00:23.000]  有時候不一定向前走
[00:00:23.000 --> 00:00:25.000]  可能向左向右
[00:00:25.000 --> 00:00:28.000]  有神的帶領就是正路
[00:00:28.000 --> 00:00:31.000]  我相信今天大家知道我們是一個直堂主人
[00:00:31.000 --> 00:00:33.000]  也是鼓勵我們
[00:00:33.000 --> 00:00:36.000]  不單單關心我們自己在教會裡的需要
[00:00:36.000 --> 00:00:38.000]  也真的放眼世界
[00:00:38.000 --> 00:00:40.000]  留心周圍的環境
[00:00:40.000 --> 00:00:41.000]  留心這個世界
[00:00:41.000 --> 00:00:43.000]  特別是香港這個社會裡
[00:00:43.000 --> 00:00:45.000]  有很多社區裡
[00:00:45.000 --> 00:00:48.000]  很多人沒有機會接觸福音
[00:00:48.000 --> 00:00:51.000]  而我們也嘗試投入在裡面
[00:00:51.000 --> 00:00:52.000]  在過程當中
[00:00:52.000 --> 00:00:57.000]  讓自己成為神自己的道的一個出口
[00:00:57.000 --> 00:01:01.000]  讓神的道可以從我們身上傳開
[00:01:01.000 --> 00:01:02.000]  可以傳出去
[00:01:02.000 --> 00:01:04.000]  因此我們今天坐在一起思想
[00:01:04.000 --> 00:01:06.000]  聖經裡面這方面的訊息
[00:01:06.000 --> 00:01:07.000]  我們請大家坐在一起
[00:01:07.000 --> 00:01:08.000]  我們先祈禱
[00:01:08.000 --> 00:01:13.000]  我們仰望主自己的帶領
[00:01:13.000 --> 00:01:16.000]  因主我們敬拜祢
[00:01:16.000 --> 00:01:20.000]  敬拜祢是那位創造天地
[00:01:20.000 --> 00:01:23.000]  又賜下生命的上帝
[00:01:23.000 --> 00:01:27.000]  主我們感謝祢讓我們認識祢
[00:01:27.000 --> 00:01:30.000]  主祢不單只讓我們蒙恩
[00:01:30.000 --> 00:01:35.000]  祢更加讓我們成為是賜福的管道
[00:01:35.000 --> 00:01:38.000]  因為祢定義讓祢的孩子們
[00:01:38.000 --> 00:01:41.000]  是能夠叫別人蒙福
[00:01:41.000 --> 00:01:43.000]  祢有自己親自的應許
[00:01:43.000 --> 00:01:45.000]  施比受更為有福
[00:01:45.000 --> 00:01:47.000]  因此主祢求祢
[00:01:47.000 --> 00:01:51.000]  藉著祢的說話不斷的引導我們
[00:01:51.000 --> 00:01:53.000]  在世上生活的時候
[00:01:53.000 --> 00:01:54.000]  我們靠著祢
[00:01:54.000 --> 00:01:56.000]  不會單顧自己的事情
[00:01:56.000 --> 00:01:58.000]  祢也真的知道如何
[00:01:58.000 --> 00:02:01.000]  來關心我們身邊的人
[00:02:01.000 --> 00:02:03.000]  特別將祢自己寶貴的福音
[00:02:03.000 --> 00:02:06.000]  帶進他們生命中
