
[00:00:00.000 --> 00:00:05.000]  親愛的主耶穌,多謝祢的恩典
[00:00:05.000 --> 00:00:09.000]  當我們在寒冷裏面
[00:00:09.000 --> 00:00:13.000]  我感恩的是祢給我們有飽足
[00:00:13.000 --> 00:00:16.000]  祢給我們有衣服
[00:00:16.000 --> 00:00:20.000]  祢給我們有家
[00:00:20.000 --> 00:00:24.000]  我們在這個時候都不忘記
[00:00:24.000 --> 00:00:34.000]  為到無數在歐洲是世紀以來最冷的一個冬天
[00:00:34.000 --> 00:00:38.000]  很多方面都不足的難民來禱告
[00:00:38.000 --> 00:00:42.000]  同樣都為那些在海裏面
[00:00:42.000 --> 00:00:46.000]  剛剛又發生沉船的事件
[00:00:46.000 --> 00:00:51.000]  無數的人可能都已經葬身在大海當中
[00:00:51.000 --> 00:00:54.000]  亦都是無數的人凍死
[00:00:54.000 --> 00:00:56.000]  我們為這一切
[00:00:56.000 --> 00:00:59.000]  為了一切的不幸
[00:00:59.000 --> 00:01:02.000]  為了一切這些的哀歌
[00:01:02.000 --> 00:01:05.000]  是人為造成的哀歌
[00:01:05.000 --> 00:01:07.000]  我們真的感覺到悲哀
[00:01:07.000 --> 00:01:09.000]  但同樣我都求祢
[00:01:09.000 --> 00:01:15.000]  繼續不斷來去帶動合理心意的人
[00:01:15.000 --> 00:01:18.000]  在他們能夠到達的地方
[00:01:18.000 --> 00:01:20.000]  肆意援手
[00:01:20.000 --> 00:01:22.000]  特別我們都知道
[00:01:22.000 --> 00:01:25.000]  面對歐洲這麼多的難民
[00:01:25.000 --> 00:01:27.000]  我們同樣都有責任
[00:01:27.000 --> 00:01:29.000]  求祢幫助我們今天
[00:01:29.000 --> 00:01:31.000]  知道他們的需要之後
[00:01:31.000 --> 00:01:35.000]  預備好我們的心來奉獻
[00:01:35.000 --> 00:01:37.000]  以致我們有一天
[00:01:37.000 --> 00:01:41.000]  見到我們奉獻的一點點
[00:01:41.000 --> 00:01:44.000]  其實能夠溫暖很多人的心
[00:01:44.000 --> 00:01:48.000]  我特別為了在那邊的義工來禱告
[00:01:48.000 --> 00:01:51.000]  求祢賜能加力給他們
[00:01:51.000 --> 00:01:56.000]  讓他們有智慧進到這些難民的當中
[00:01:56.000 --> 00:02:00.000]  將神的安慰帶給他們
[00:02:00.000 --> 00:02:03.000]  將他們缺乏的物質
[00:02:03.000 --> 00:02:06.000]  愛帶給他們
[00:02:06.000 --> 00:02:08.000]  我更加願望透過難民
[00:02:08.000 --> 00:02:11.000]  將在靈裡面的福興
[00:02:11.000 --> 00:02:13.000]  福音的福興
[00:02:13.000 --> 00:02:15.000]  帶回去德國的教會
