
[00:00:00.000 --> 00:00:19.000]  (聲)
[00:00:19.000 --> 00:00:21.000]  弟兄姐妹平安
[00:00:21.000 --> 00:00:26.500]  我非常榮幸在2020年的第一個祖日
[00:00:26.500 --> 00:00:28.000]  跟大家一起來崇拜
[00:00:28.000 --> 00:00:30.000]  而且分享神的話語
[00:00:30.000 --> 00:00:33.500]  那麼在一年的開頭的時候
[00:00:33.500 --> 00:00:36.500]  我相信我們就是應該
[00:00:36.500 --> 00:00:40.000]  非常的充滿了盼望
[00:00:40.000 --> 00:00:42.500]  歡樂這樣的一種心情
[00:00:42.500 --> 00:00:46.500]  但是有時候我們人生不一定是這樣
[00:00:46.500 --> 00:00:47.500]  對不對
[00:00:47.500 --> 00:00:50.000]  有時候我們一想到明天
[00:00:50.000 --> 00:00:53.000]  一想到快要來的一年
[00:00:53.000 --> 00:00:55.500]  反而我們心裏面很沉重
[00:00:55.500 --> 00:00:57.500]  也有擔憂
[00:00:57.500 --> 00:01:01.500]  很多難處在前面
[00:01:01.500 --> 00:01:03.000]  看看自己
[00:01:03.000 --> 00:01:05.000]  也覺得比較疲倦
[00:01:05.000 --> 00:01:08.000]  怎麼可以再過這樣的一年
[00:01:08.000 --> 00:01:10.500]  那麼如果你有這樣的心情的話
[00:01:10.500 --> 00:01:13.000]  我相信今天你就明白
[00:01:13.000 --> 00:01:15.500]  月書亞的心情
[00:01:15.500 --> 00:01:18.000]  我們今天看月書亞記的第一章
[00:01:18.000 --> 00:01:20.000]  就是月書亞記的
[00:01:20.000 --> 00:01:25.000]  幾卷書裏面的最初的幾節聖經
[00:01:25.000 --> 00:01:28.000]  月書亞在這個時候爲什麼我們說
[00:01:28.000 --> 00:01:31.000]  他面對前路的心情
[00:01:31.000 --> 00:01:33.000]  就是好像剛纔我們說
[00:01:33.000 --> 00:01:35.000]  不是樂觀還是悲觀
[00:01:35.000 --> 00:01:37.500]  而是很難過很沉重呢
[00:01:37.500 --> 00:01:39.500]  因爲我們都知道
[00:01:39.500 --> 00:01:43.000]  月書亞那個時候
[00:01:43.000 --> 00:01:47.000]  就是站在這個月蛋河的邊緣
[00:01:47.000 --> 00:01:51.500]  大家如果懂得還記得舊月聖經的話
[00:01:51.500 --> 00:01:53.000]  這個什麼時間講的呢
[00:01:53.000 --> 00:01:58.000]  就是以色列人已經經過了四十年
[00:01:58.000 --> 00:02:00.000]  在曠野的漂流
[00:02:00.000 --> 00:02:03.000]  以色列人在曠野漂流好苦啊
[00:02:03.000 --> 00:02:04.500]  漂流了四十年了
[00:02:04.500 --> 00:02:06.500]  現在終於來到
[00:02:06.500 --> 00:02:09.500]  神所應許的應許之地
[00:02:09.500 --> 00:02:12.000]  就是迦南的應許之地了
[00:02:12.000 --> 00:02:13.500]  這個應許啊
[00:02:13.500 --> 00:02:15.000]  如果你看聖經
[00:02:15.000 --> 00:02:16.500]  在創世紀裏面
[00:02:16.500 --> 00:02:20.500]  最初是應許他們的祖宗亞伯來漢的
[00:02:20.500 --> 00:02:22.500]  如果我們比對一下
[00:02:22.500 --> 00:02:25.500]  當年亞伯來漢給上帝應許說
[00:02:25.500 --> 00:02:28.000]  這個帝 這個巴勒斯坦這個帝
[00:02:28.000 --> 00:02:31.000]  是我在爲你預備的應許之地
[00:02:31.000 --> 00:02:33.000]  應許給你的後代的話
[00:02:33.000 --> 00:02:35.500]  那個時候跟月書亞記
[00:02:35.500 --> 00:02:37.000]  剛纔我們說念那個聖經
[00:02:37.000 --> 00:02:39.500]  已經超過了七百年
[00:02:39.500 --> 00:02:40.500]  七百年了
[00:02:40.500 --> 00:02:42.000]  真是回顧的時候
[00:02:42.000 --> 00:02:44.500]  心裏面有很多的感觸對不對
[00:02:44.500 --> 00:02:46.500]  上帝應許了七百年
[00:02:46.500 --> 00:02:49.500]  現在終於經過了好多的困難
[00:02:49.500 --> 00:02:53.500]  經過了以色列人竟然下到那個埃及當奴隸
[00:02:53.500 --> 00:02:57.500]  然後最後就釋放了出來摩西
[00:02:57.500 --> 00:02:59.500]  他們的民族英雄帶着他們
[00:02:59.500 --> 00:03:01.500]  經過紅海到了曠野
[00:03:01.500 --> 00:03:03.500]  又漂流了四十年
[00:03:03.500 --> 00:03:05.000]  經過了很多很多的困難
[00:03:05.000 --> 00:03:07.000]  現在來到門口了
[00:03:07.000 --> 00:03:09.500]  進到這個應許之地了
[00:03:09.500 --> 00:03:11.500]  應該很快了對不對
[00:03:11.500 --> 00:03:14.500]  不過我們知道當時候那個情況
[00:03:14.500 --> 00:03:18.000]  摩西跟那些已經出埃及的人
[00:03:18.000 --> 00:03:21.500]  那些地帶的人都死去了
[00:03:21.500 --> 00:03:23.000]  因爲四十年了
[00:03:23.000 --> 00:03:26.500]  而且連這個他們最重要的領袖摩西
[00:03:26.500 --> 00:03:28.500]  也死在曠野裏面了
[00:03:28.500 --> 00:03:32.500]  現在所有的重任交給誰
[00:03:32.500 --> 00:03:33.500]  月書亞
[00:03:33.500 --> 00:03:35.500]  就是這個年輕的
[00:03:35.500 --> 00:03:39.500]  就是一直跟着月書亞的這個助手
[00:03:39.500 --> 00:03:42.500]  現在月書亞承擔這個重任了
[00:03:42.500 --> 00:03:44.000]  摩西死了
[00:03:44.000 --> 00:03:45.000]  在曠野死了
[00:03:45.000 --> 00:03:47.000]  現在所有的責任
[00:03:47.000 --> 00:03:49.000]  所有七百年來
