
[00:00:00.000 --> 00:00:04.340]  錯誤的控訴 或者無辜的一些指責
[00:00:04.340 --> 00:00:07.120]  我相信我們時不時都會面對
[00:00:07.120 --> 00:00:11.020]  約伯記裏面 很多時最大的問題就是一個舌頭
[00:00:11.020 --> 00:00:13.640]  我們怎樣說話是很重要
[00:00:13.640 --> 00:00:17.100]  我們怎樣用愛心來說誠實話
[00:00:17.100 --> 00:00:20.780]  我們怎樣隨時去說造就人的好話
[00:00:20.780 --> 00:00:23.940]  雅各書很多時就說 舌頭是百體當中最小的
[00:00:23.940 --> 00:00:26.840]  不過所帶來的禍患可以是最大
[00:00:26.840 --> 00:00:29.140]  在《針研第六篇》第六章裏面說
[00:00:29.140 --> 00:00:31.500]  耶和華所憎恨的七件事
[00:00:31.500 --> 00:00:34.560]  當中其中一件事就是套方形的假見證
[00:00:34.560 --> 00:00:37.820]  並弟兄中暴散紛爭的人
[00:00:37.820 --> 00:00:40.260]  換句話說 耶和華神一早知道
[00:00:40.260 --> 00:00:42.660]  祂說今天我所憎惡的七件事當中
[00:00:42.660 --> 00:00:45.620]  其中一件事也都是和舌頭有關係
[00:00:45.620 --> 00:00:48.460]  就是說我們很怕耶穌很憎恨
[00:00:48.460 --> 00:00:53.320]  能夠那些說話是說謊話做假見證人
[00:00:53.320 --> 00:00:57.980]  甚至在教會當中製造很多紛爭的一些人
[00:00:57.980 --> 00:00:59.780]  這個是耶和華所憎惡的
[00:00:59.780 --> 00:01:01.440]  但另一方面我們很多時就說
[00:01:01.440 --> 00:01:04.140]  教會都是一班蒙恩的罪人走在一起
[00:01:04.140 --> 00:01:07.140]  以至到教會那邊同樣都很容易
[00:01:07.140 --> 00:01:11.520]  有一些說話帶來教會的紛爭
[00:01:11.520 --> 00:01:12.880]  在上個星期一 星期二
[00:01:12.880 --> 00:01:15.140]  我有機會去參加一個很小的聚會
[00:01:15.140 --> 00:01:17.160]  這個聚會真的很小 但我感謝主
[00:01:17.160 --> 00:01:18.480]  只有17個人
[00:01:18.480 --> 00:01:21.700]  這17個人是來自不同的國家的牧者
[00:01:21.700 --> 00:01:24.980]  17個牧者我們走在一起來聊聊天
[00:01:24.980 --> 00:01:27.580]  當第一天我去到那個會場的時候
[00:01:27.580 --> 00:01:30.640]  他們很早 七點鐘就開始聚會 早上
[00:01:30.640 --> 00:01:33.840]  你知道香港人通常是沒有那麼早的
[00:01:33.840 --> 00:01:35.680]  但那個主辦單位就說
[00:01:35.680 --> 00:01:38.360]  因為我們給你面子 香港人就是七點鐘
[00:01:38.360 --> 00:01:39.580]  給我們面子 七點鐘
[00:01:39.580 --> 00:01:42.260]  因為他們的聚會平時是五點鐘 早上
[00:01:42.260 --> 00:01:43.840]  給我們面子 七點鐘
[00:01:43.840 --> 00:01:46.320]  七點鐘去到那個地方 大家坐在一起聊天
[00:01:46.320 --> 00:01:48.320]  吃早餐聊天 然後開始聚會
[00:01:48.320 --> 00:01:50.140]  我當時看著一個長輩
[00:01:50.140 --> 00:01:52.980]  一個72歲的牧師來自印尼
[00:01:52.980 --> 00:01:54.940]  你知道印尼給我們的觀點就是
[00:01:54.940 --> 00:01:57.820]  印尼是一個回教國家 怎麼可能有教會
[00:01:57.820 --> 00:02:00.320]  教會怎麼可能是被神所祝福
[00:02:00.320 --> 00:02:03.960]  經常都覺得印尼教會不知道怎麼樣的教會
[00:02:03.960 --> 00:02:07.360]  但是那位牧者讓我感受到
[00:02:07.360 --> 00:02:09.200]  是一位很謙卑的牧者
[00:02:09.200 --> 00:02:12.280]  是一位真是很有為父的心的一位牧者
[00:02:12.280 --> 00:02:14.340]  他72歲 中過兩次風
[00:02:14.340 --> 00:02:15.760]  但上帝卻醫治他
[00:02:15.760 --> 00:02:18.420]  讓他沒有任何的行路不方便
[00:02:18.420 --> 00:02:20.780]  沒有任何的講說話不方便
[00:02:20.780 --> 00:02:23.580]  但上帝有他的醫治在這位牧者身上
[00:02:23.580 --> 00:02:24.800]  很謙卑
[00:02:24.800 --> 00:02:26.840]  當時我覺得這位為父的心
[00:02:26.840 --> 00:02:29.240]  這位牧者是我自己值得學習的
[00:02:29.240 --> 00:02:30.840]  他72歲 我60歲
[00:02:30.840 --> 00:02:33.440]  我想還有12年學的 我也有
[00:02:33.440 --> 00:02:37.200]  但是第二天 他的同工
[00:02:37.200 --> 00:02:39.700]  我們聊天的時候 他的同工跟我說
[00:02:39.700 --> 00:02:41.200]  他說你知不知道
[00:02:41.200 --> 00:02:44.640]  這位牧師 他的上師
[00:02:44.640 --> 00:02:48.620]  你知不知道我們這間教會崇拜的時候
[00:02:48.620 --> 00:02:51.860]  每一堂崇拜可以坐多少人
[00:02:51.860 --> 00:02:53.500]  他問我可以坐多少人
[00:02:53.500 --> 00:02:55.620]  我不知道 印尼大忌有限
[00:02:55.620 --> 00:02:57.940]  我心裏不敢說
[00:02:57.940 --> 00:03:00.060]  印尼大忌有限
[00:03:00.060 --> 00:03:08.340]  他說我們教會可以坐3萬5千人一堂崇拜
[00:03:08.340 --> 00:03:11.180]  3萬5千人一堂崇拜
[00:03:11.180 --> 00:03:15.020]  我們應不應該說的
[00:03:15.020 --> 00:03:17.960]  但他為了四堂崇拜 嚇到我
[00:03:17.960 --> 00:03:21.580]  四堂崇拜 每堂崇拜坐3萬5千人
[00:03:21.580 --> 00:03:24.420]  而同樣的 過去40年
[00:03:24.420 --> 00:03:26.760]  上帝給這個主任牧師
[00:03:26.760 --> 00:03:31.160]  建立了全世界1500間教會
[00:03:31.160 --> 00:03:35.060]  當時我這樣 嘩 很厲害
[00:03:35.060 --> 00:03:38.100]  但是這個教會 這個主任牧師
[00:03:38.100 --> 00:03:41.920]  在我的眼中 我從來沒有感覺他
[00:03:41.920 --> 00:03:45.860]  是一個這麼被神所使用的一位牧者
[00:03:45.860 --> 00:03:48.800]  給我看到一個為父的心
[00:03:48.800 --> 00:03:50.500]  就因為他有為父的心
[00:03:50.500 --> 00:03:53.420]  他不斷出 不斷給 不斷給
[00:03:53.420 --> 00:03:55.240]  他猜派很多的門徒出去
[00:03:55.240 --> 00:03:56.480]  不斷去建立教會
[00:03:56.480 --> 00:03:59.900]  去到全世界 叫你肯去 他就會讓你去
[00:03:59.900 --> 00:04:01.580]  而他所建立的教會
[00:04:01.580 --> 00:04:05.740]  有很多間教會是超過2萬人 超過3萬人
[00:04:05.740 --> 00:04:08.560]  但是弟兄姊妹 我自己心裏想
[00:04:08.560 --> 00:04:11.900]  一位這麼被神所重用的牧人
[00:04:11.900 --> 00:04:14.120]  跟著這個同工跟我說
[00:04:14.120 --> 00:04:15.480]  他說牧師 你知不知道
[00:04:15.480 --> 00:04:21.760]  這個主任牧師被他的宗派趕走了
[00:04:21.760 --> 00:04:23.480]  當時我心裏想 何必害怕
[00:04:23.480 --> 00:04:24.860]  我15萬人趕走就趕走
[00:04:24.860 --> 00:04:26.440]  我還有15萬人 是不是
[00:04:26.440 --> 00:04:27.640]  但我不是這樣想的
[00:04:27.640 --> 00:04:29.500]  我可以這樣想 但我不是這樣想
[00:04:29.500 --> 00:04:31.720]  我說為甚麼呢
[00:04:31.720 --> 00:04:35.220]  正因為教會那邊同樣是有不同的聲音
[00:04:35.220 --> 00:04:36.620]  不同的說話
[00:04:36.620 --> 00:04:39.020]  我們會看很多的東西
[00:04:39.020 --> 00:04:39.820]  你知道
[00:04:39.820 --> 00:04:42.820]  因為我覺得一位很有為父的心的牧者
[00:04:42.820 --> 00:04:47.240]  也被他的宗派趕走了
[00:04:47.240 --> 00:04:49.920]  我心裏想 為甚麼呢
[00:04:49.920 --> 00:04:51.260]  當我自己去想
[00:04:51.260 --> 00:04:53.640]  教會的時候 有一個故事
[00:04:53.640 --> 00:04:55.220]  這個故事是真事
[00:04:55.220 --> 00:04:57.460]  有一間教會 不是很大
[00:04:57.460 --> 00:04:58.640]  但因為某些情況
[00:04:58.640 --> 00:05:00.840]  這間教會就一分為二
[00:05:00.840 --> 00:05:02.680]  一間不是很大的教會
[00:05:02.680 --> 00:05:05.940]  一分為二 就變成兩間更小的教會
[00:05:05.940 --> 00:05:07.860]  當時有一個牧者 有一個年輕的牧者
[00:05:07.860 --> 00:05:09.040]  剛開始學院畢業
[00:05:09.040 --> 00:05:13.020]  上帝呼召他去到一間教會來牧養
[00:05:13.020 --> 00:05:14.520]  當他去到這間教會牧養的時候
[00:05:14.520 --> 00:05:16.360]  他發覺這間教會有很多問題
[00:05:16.360 --> 00:05:18.040]  公屋分裂了 很多問題
[00:05:18.040 --> 00:05:20.760]  這間教會的信徒有很多問題
[00:05:20.760 --> 00:05:21.680]  他就跟上帝說
[00:05:21.680 --> 00:05:24.560]  上帝 為甚麼你要我來這間教會
