
[00:00:00.000 --> 00:00:02.640]  今天早上繼續和大家來思想
[00:00:02.640 --> 00:00:04.760]  《菲律賓書》的訊息
[00:00:04.760 --> 00:00:06.340]  我們今天要看的是
[00:00:06.340 --> 00:00:10.440]  《菲律賓書》第二章第五至第十一節
[00:00:10.440 --> 00:00:15.140]  這段經文
[00:00:15.140 --> 00:00:19.500]  有人研究聖經為初期教會一首詩歌
[00:00:19.500 --> 00:00:23.100]  這首詩歌是關於主耶穌基督
[00:00:23.100 --> 00:00:27.100]  祂是一位謙卑的主耶穌基督
[00:00:27.100 --> 00:00:28.600]  我們的主耶穌基督
[00:00:28.600 --> 00:00:30.700]  祂如何來到世界上
[00:00:30.700 --> 00:00:35.100]  為我們付上極大的代價
[00:00:35.100 --> 00:00:39.500]  讓我們的生命能夠得到改變
[00:00:39.500 --> 00:00:42.100]  讓我們能夠得到豐盛的生命
[00:00:42.100 --> 00:00:46.100]  我們來看這段經文
[00:00:46.100 --> 00:00:49.900]  《菲律賓書》第二章第五至第十一節
[00:00:49.900 --> 00:00:53.100]  請聽我讀這段經文
[00:00:53.100 --> 00:00:56.200]  你們當以基督耶穌的心為心
[00:00:56.200 --> 00:00:58.600]  祂本有神的形象
[00:00:58.600 --> 00:01:01.800]  不以自己與神同等為強奪的
[00:01:01.800 --> 00:01:03.500]  反倒虛己
[00:01:03.500 --> 00:01:05.700]  取了奴目的形象
[00:01:05.700 --> 00:01:07.600]  成為人的樣式
[00:01:07.600 --> 00:01:10.800]  既有人的樣子就自己悲鳴
[00:01:10.800 --> 00:01:12.300]  全心信服
[00:01:12.300 --> 00:01:13.800]  以致於死
[00:01:13.800 --> 00:01:15.900]  且死在十字架上
[00:01:15.900 --> 00:01:18.300]  所以神將祂升為至高
[00:01:18.300 --> 00:01:22.000]  又賜給祂超乎萬民之上的名
[00:01:22.000 --> 00:01:26.400]  叫一切在天上的、地上的和地底下的
[00:01:26.400 --> 00:01:27.900]  因耶穌的名
[00:01:27.900 --> 00:01:29.700]  無不屈實
[00:01:29.700 --> 00:01:33.200]  無不口稱耶穌基督為主
[00:01:33.200 --> 00:01:36.900]  使榮耀歸於父神
[00:01:36.900 --> 00:01:38.400]  一段很寶貴
[00:01:38.400 --> 00:01:41.600]  亦頂姐妹很熟悉的經文
[00:01:41.600 --> 00:01:44.000]  在上文保羅講到
[00:01:44.000 --> 00:01:49.300]  他為教會的和諧合一來禱告
[00:01:49.300 --> 00:01:51.500]  教會要同心合意
[00:01:51.500 --> 00:01:52.700]  興旺福音
[00:01:52.700 --> 00:01:55.200]  有力地將福音傳出去
[00:01:55.200 --> 00:01:59.400]  我們必須有一個和諧合一的教會
