
[00:00:00.000 --> 00:00:02.120]  各位弟兄姊妹平安好
[00:00:02.120 --> 00:00:03.420]  感謝神的恩典
[00:00:03.420 --> 00:00:08.080]  又可以陪大家一齊來讀聖經了
[00:00:08.080 --> 00:00:11.340]  如果你收到一份禮物
[00:00:11.340 --> 00:00:14.980]  而當你一拆開那個禮物紙
[00:00:14.980 --> 00:00:19.320]  你發覺原來那份禮物是很貴重的
[00:00:19.320 --> 00:00:21.400]  很名貴的
[00:00:21.400 --> 00:00:26.480]  我想你心裏面一定非常之感激
[00:00:26.480 --> 00:00:30.620]  哎呀!對方真是好有心啊!好有心啊!
[00:00:30.620 --> 00:00:33.800]  為什麼這麼客氣啊?為什麼這麼隆重啊?
[00:00:33.800 --> 00:00:37.420]  送一份厚禮給你
[00:00:37.420 --> 00:00:41.440]  你心裏面會好感動啊
[00:00:41.440 --> 00:00:44.280]  原來祂好重視我
[00:00:44.280 --> 00:00:50.280]  所以祂將一份很重要的禮物交到你的手上
[00:00:50.280 --> 00:00:58.900]  如果我告訴你 神將一個很偉大的英雄送給你
[00:00:58.900 --> 00:01:01.100]  你會怎樣呢?
[00:01:01.100 --> 00:01:03.940]  我聽過一位牧師講道
[00:01:03.940 --> 00:01:06.460]  他說在全本聖經裏面
[00:01:06.460 --> 00:01:15.880]  有一章聖經是全本聖經裏面最重要的一個章節
[00:01:15.880 --> 00:01:19.300]  我作為一個牧師當然是好有興趣
[00:01:19.300 --> 00:01:23.720]  到底哪一卷書、哪一章聖經這麼厲害
[00:01:23.720 --> 00:01:28.860]  是全本聖經裏面最重要的一章
[00:01:28.860 --> 00:01:30.980]  接著這個牧師就講了
[00:01:30.980 --> 00:01:33.080]  就是《羅馬書》
[00:01:33.080 --> 00:01:37.000]  就是《羅馬書》的第八章
[00:01:37.000 --> 00:01:44.740]  於是我馬上回家打開《羅馬書》第八章來看
[00:01:44.740 --> 00:01:51.300]  真的發覺這章聖經充滿很寶貴的教導
[00:01:51.300 --> 00:01:54.280]  有一次我跟我太太聊天
[00:01:54.280 --> 00:01:57.640]  我還說你最喜歡哪一章聖經
