
[00:00:00.000 --> 00:00:02.300]  教會的講道系列的
[00:00:02.300 --> 00:00:05.620]  繼續看到第四章 那麼今天我們來看
[00:00:05.620 --> 00:00:06.900]  我們的Live Church
[00:00:06.900 --> 00:00:11.000]  今天講到的是 我們怎麼樣去建立一間能夠靠主
[00:00:11.000 --> 00:00:11.780]  能夠
[00:00:11.780 --> 00:00:13.820]  團結合作的教會
[00:00:13.820 --> 00:00:15.620]  那麼在
[00:00:15.620 --> 00:00:19.700]  我們今天看的經文會在以弗所述的第四章 那麼其實
[00:00:19.700 --> 00:00:20.480]  保羅
[00:00:20.480 --> 00:00:24.320]  一開始寫以弗所述 其實有個很特別的目的是因為
[00:00:24.320 --> 00:00:29.940]  他是建立以弗所教會的人 可是他自己被坐到監獄裡面去了
[00:00:30.460 --> 00:00:33.800]  所以以弗所的教會那時候可能面臨很多的難處
[00:00:33.800 --> 00:00:36.860]  無論是羅馬帝國的壓迫
[00:00:36.860 --> 00:00:37.900]  還是他們
[00:00:37.900 --> 00:00:41.980]  那些外邦的那些人看不起他們啊
[00:00:41.980 --> 00:00:44.800]  還是無論是那些異邦
[00:00:44.800 --> 00:00:46.840]  那些的異教的衝擊
[00:00:46.840 --> 00:00:50.180]  還有他們可能主類弟兄姊妹也有些不和
[00:00:50.180 --> 00:00:54.780]  加上那個創立教會的人現在又被抓到監獄裡面去了
[00:00:54.780 --> 00:00:57.100]  所以他們心情很不好 很沮喪說
[00:00:57.100 --> 00:00:59.400]  神當初建立教會為什麼
[00:00:59.900 --> 00:01:03.220]  是不是有一個計畫 可是今天沒有看到那個計畫在實行
[00:01:03.220 --> 00:01:07.320]  所以保羅特別在監獄寫這封信給他們 是重新提醒他們
[00:01:07.320 --> 00:01:09.120]  所以他從第一章就
[00:01:09.120 --> 00:01:11.940]  開宗明義的告訴他們說
[00:01:11.940 --> 00:01:12.960]  解釋說
[00:01:12.960 --> 00:01:17.820]  在基督裡得救的奧秘在哪裡 他說那個奧秘其實就是原來
[00:01:17.820 --> 00:01:21.660]  當你還沒有存在的時候 當教會還沒有存在的時候
[00:01:21.660 --> 00:01:23.700]  神在創世以先
[00:01:23.700 --> 00:01:26.020]  就已經設立好這個計畫
[00:01:26.020 --> 00:01:27.040]  就是在末後
[00:01:27.040 --> 00:01:29.860]  會藉著主耶穌基督的叮噬
[00:01:30.360 --> 00:01:31.640]  使我們可以得救
[00:01:31.640 --> 00:01:35.480]  所以他給我們第一個好消息就是原來我們今天在這裡
[00:01:35.480 --> 00:01:39.060]  是很早以前神就預定好的
[00:01:39.060 --> 00:01:40.600]  說你跟我是神
[00:01:40.600 --> 00:01:42.400]  預定檢選的
[00:01:42.400 --> 00:01:46.240]  不是因為我們的行為 不是因為我們表現得很好
[00:01:46.240 --> 00:01:48.040]  我們道德很高尚
[00:01:48.040 --> 00:01:51.360]  完全是因為神的計畫 說他想愛我們
[00:01:51.360 --> 00:01:53.920]  他去預定了一個方法 說末後
[00:01:53.920 --> 00:01:56.480]  我要藉著主耶穌基督在實價上使
[00:01:57.240 --> 00:02:00.060]  恩典白白領導所有的罪人
[00:02:00.060 --> 00:02:03.380]  凡是那些願意接受他的就得救
[00:02:03.380 --> 00:02:08.760]  所以他說原來教會每一個得救的聚在一起的人 就像我們當中
[00:02:08.760 --> 00:02:12.080]  每一個都是神預先就檢選好的
[00:02:12.080 --> 00:02:14.900]  創世以先 就還沒有這個地球 還沒有
[00:02:14.900 --> 00:02:18.240]  宇宙萬物以先 神已經檢選了我們
[00:02:18.240 --> 00:02:19.000]  預定了
[00:02:19.000 --> 00:02:20.280]  所以it's a good news
[00:02:20.280 --> 00:02:22.840]  他們就不會覺得害怕 原來
[00:02:22.840 --> 00:02:26.940]  神的計畫這麼amazing 預先就有了這個計畫 絕對不會fail
[00:02:27.440 --> 00:02:31.020]  所以這是第一個保羅給他們的一個鼓勵說不要怕
[00:02:31.020 --> 00:02:36.920]  這個計畫不會說突然間fail這個計畫 不會失敗的 因為神老早
[00:02:36.920 --> 00:02:38.460]  就預定是這樣子
[00:02:38.460 --> 00:02:43.320]  那麼得救是因著恩 因為恩典的緣故 也因著信
[00:02:43.320 --> 00:02:46.380]  那麼他繼續解釋下去呢 到了第三章
[00:02:46.380 --> 00:02:49.460]  他特別解釋一件事情 為什麼他要坐監 因為
