
[00:00:00.000 --> 00:00:02.000]  為我們社命的主
[00:00:02.000 --> 00:00:04.000]  我們今天就是去到
[00:00:04.000 --> 00:00:06.000]  看《馬可福音》第十五章
[00:00:06.000 --> 00:00:08.000]  首先我恭祝大家
[00:00:08.000 --> 00:00:10.000]  神的主恩是滿滿的
[00:00:10.000 --> 00:00:12.000]  在你們的生命當中
[00:00:12.000 --> 00:00:14.000]  今天是大年初二
[00:00:14.000 --> 00:00:16.000]  大家都看到很多香港的朋友親友
[00:00:16.000 --> 00:00:18.000]  都可以有些短訊各方面
[00:00:18.000 --> 00:00:20.000]  如果大家留意新聞
[00:00:20.000 --> 00:00:22.000]  都是每年的初一
[00:00:22.000 --> 00:00:24.000]  或者開頭那幾天
[00:00:24.000 --> 00:00:26.000]  都會有很多人去
[00:00:26.000 --> 00:00:28.000]  香港有很多習俗
[00:00:28.000 --> 00:00:30.000]  大家知道
[00:00:30.000 --> 00:00:32.000]  去黃大仙牌頭炷香
[00:00:32.000 --> 00:00:34.000]  都上了新聞
[00:00:34.000 --> 00:00:36.000]  每年都是高幾位
[00:00:36.000 --> 00:00:38.000]  都有新聞看
[00:00:38.000 --> 00:00:40.000]  當中我們主內大仙姐妹
[00:00:40.000 --> 00:00:42.000]  以前在香港長大
[00:00:42.000 --> 00:00:44.000]  或者東南亞長大的時候
[00:00:44.000 --> 00:00:46.000]  都有這些民間信仰的習俗
[00:00:46.000 --> 00:00:48.000]  就算是
[00:00:48.000 --> 00:00:50.000]  你看新聞都有些攻略
[00:00:50.000 --> 00:00:52.000]  去哪裏
[00:00:52.000 --> 00:00:54.000]  初一就去那裏
[00:00:54.000 --> 00:00:56.000]  初二就去車公廟
[00:00:56.000 --> 00:00:58.000]  第三就去哪裏
[00:00:58.000 --> 00:01:00.000]  各方面的不同的民間信仰
[00:01:00.000 --> 00:01:02.000]  我以前住在沙田
[00:01:02.000 --> 00:01:06.000]  我去探望我奶奶和婆婆
[00:01:06.000 --> 00:01:08.000]  他們都是住觀塘
[00:01:08.000 --> 00:01:10.000]  我們一出獅山隧道
[00:01:10.000 --> 00:01:12.000]  又到農場
[00:01:12.000 --> 00:01:14.000]  又經過黃大仙
[00:01:14.000 --> 00:01:16.000]  回到沙田
[00:01:16.000 --> 00:01:18.000]  自己在沙田住
[00:01:18.000 --> 00:01:20.000]  在學校望對面就是車公廟
[00:01:20.000 --> 00:01:22.000]  所以見到各方面的人
[00:01:22.000 --> 00:01:24.000]  都為了自己的心態
[00:01:24.000 --> 00:01:26.000]  他們的需要
[00:01:26.000 --> 00:01:28.000]  祈求他們心目中
[00:01:28.000 --> 00:01:30.000]  他們的神
[00:01:30.000 --> 00:01:32.000]  我們在這個環境當中
[00:01:32.000 --> 00:01:34.000]  現在我們今天來到教會裏面
[00:01:34.000 --> 00:01:36.000]  其實每個禮拜
[00:01:36.000 --> 00:01:38.000]  我們都有人來敬拜讚美神
[00:01:38.000 --> 00:01:40.000]  我們每個禮拜
[00:01:40.000 --> 00:01:42.000]  有四五百人經過教會的門口
[00:01:42.000 --> 00:01:44.000]  走進來敬拜讚美我們的獨一真神
[00:01:44.000 --> 00:01:46.000]  究竟這個的真神
[00:01:46.000 --> 00:01:48.000]  和現在我們平時說
[00:01:48.000 --> 00:01:52.000]  新年拜那些民間信仰的神
[00:01:52.000 --> 00:01:54.000]  有什麼不同呢
[00:01:54.000 --> 00:01:56.000]  又或者
[00:01:56.000 --> 00:01:58.000]  我們當我們邀請這班朋友
[00:01:58.000 --> 00:02:00.000]  我們主內的弟兄姊妹來敬拜主的時候
[00:02:00.000 --> 00:02:02.000]  我們每個禮拜
[00:02:02.000 --> 00:02:04.000]  都是敬拜同一個的主耶穌基督
[00:02:04.000 --> 00:02:06.000]  我們三位一體的獨一真神的時候
[00:02:06.000 --> 00:02:08.000]  究竟
[00:02:08.000 --> 00:02:10.000]  我們是不是只要敬拜
