
[00:00:00.000 --> 00:00:04.500]  其實我們過去一直都是用「出埃及記」
[00:00:04.500 --> 00:00:09.500]  來跟大家有系統地去講解神的話語
[00:00:09.500 --> 00:00:12.000]  而今天去到第十八章
[00:00:12.000 --> 00:00:17.000]  為什麼我的題目是建立神喜悅的一個團隊
[00:00:17.000 --> 00:00:21.500]  因為其實在我自己讀大學二年班的時候
[00:00:21.500 --> 00:00:24.000]  我大學二年班當然是幾十年前了
[00:00:24.000 --> 00:00:25.500]  幾十年前二年班
[00:00:25.500 --> 00:00:28.500]  我是讀商科的 我是讀會計的
[00:00:28.500 --> 00:00:30.500]  在二年班那一年
[00:00:30.500 --> 00:00:34.000]  我就要收一個課程叫做「Marketing」
[00:00:34.000 --> 00:00:37.500]  即是一些市場學 因為是必修科的
[00:00:37.500 --> 00:00:41.500]  當時我剛剛上耶穌
[00:00:41.500 --> 00:00:44.000]  去到上第一堂的時候
[00:00:44.000 --> 00:00:46.000]  打開本 那個課本
[00:00:46.000 --> 00:00:47.500]  那一年就還有課本
[00:00:47.500 --> 00:00:49.000]  現在就不用課本了
[00:00:49.000 --> 00:00:51.500]  現在都是用這塊東西
[00:00:51.500 --> 00:00:53.500]  所有的書都在那裡
[00:00:53.500 --> 00:00:55.500]  我自己都覺得自己很威風
[00:00:55.500 --> 00:00:56.500]  要做一本這樣的東西
[00:00:56.500 --> 00:00:58.000]  其實我沒什麼書在那裡
[00:00:58.000 --> 00:01:00.500]  我仍然都喜歡翻讀一些書 知不知道
[00:01:00.500 --> 00:01:04.000]  但是那個課本 第一課
[00:01:04.000 --> 00:01:08.500]  居然第一課是出埃及記十八章
[00:01:08.500 --> 00:01:10.000]  我驚訝
[00:01:10.000 --> 00:01:14.000]  我說為什麼Marketing裡面
[00:01:14.000 --> 00:01:18.500]  會有出埃及記十八章
[00:01:18.500 --> 00:01:20.000]  當時我剛剛上耶穌
[00:01:20.000 --> 00:01:22.500]  我對聖經都不是很熟悉
[00:01:22.500 --> 00:01:24.500]  但是當我自己看回
[00:01:24.500 --> 00:01:29.000]  在那個年代 看回那個第一課的時候
[00:01:29.000 --> 00:01:32.500]  我發覺原來出埃及記十八章
[00:01:32.500 --> 00:01:35.000]  是一個架構
[00:01:35.000 --> 00:01:37.500]  用今天來說
[00:01:37.500 --> 00:01:42.500]  是一個organization structure
[00:01:42.500 --> 00:01:45.000]  而且你對我來說
[00:01:45.000 --> 00:01:49.500]  是塵壓式
[00:01:49.500 --> 00:01:51.500]  因為它有千呼掌
[00:01:51.500 --> 00:01:53.000]  八呼掌
[00:01:53.000 --> 00:01:54.000]  五十呼掌
[00:01:54.000 --> 00:01:55.500]  十呼掌
[00:01:55.500 --> 00:01:57.500]  其實跟我們教會很像 知不知道
[00:01:57.500 --> 00:01:59.500]  我們教會有主人牧師
[00:01:59.500 --> 00:02:02.500]  有驅牧
[00:02:02.500 --> 00:02:04.500]  有組長
[00:02:04.500 --> 00:02:06.500]  有副組長
[00:02:06.500 --> 00:02:08.500]  有助理組長
[00:02:08.500 --> 00:02:10.500]  有helper
[00:02:10.500 --> 00:02:12.500]  其實我們個個都有名字 知不知道
[00:02:12.500 --> 00:02:14.500]  光光家是組長
[00:02:14.500 --> 00:02:16.500]  不是小組 是做helper
[00:02:16.500 --> 00:02:18.500]  我們個個都有份
[00:02:18.500 --> 00:02:20.500]  其實這個觀念從何而來
[00:02:20.500 --> 00:02:24.500]  原來真是出埃及記十八章
