
[00:00:00.000 --> 00:00:03.800]  今日的講題叫做BB信徒簡介會
[00:00:03.800 --> 00:00:06.120]  BB信徒,為甚麼會這樣講,稍後會講多一點
[00:00:06.120 --> 00:00:09.840]  我有一個好朋友,認識了三十年
[00:00:09.840 --> 00:00:12.640]  當時讀大學的時候認識他的
[00:00:12.640 --> 00:00:17.000]  他講了當時有個經驗也挺好笑,在讀小學的時候
[00:00:17.000 --> 00:00:19.680]  他說他的班主任找了他兩次
[00:00:19.680 --> 00:00:22.480]  第一次就找了他媽媽兩次
[00:00:22.480 --> 00:00:24.200]  第一次打給他媽媽
[00:00:24.200 --> 00:00:29.000]  就說要見家長,我不知道在座中的父母
[00:00:29.000 --> 00:00:34.520]  即是老師打來見家長,你的心情應該也不會太開心
[00:00:34.520 --> 00:00:39.200]  除非見家長去拿獎,機會不是太大
[00:00:39.200 --> 00:00:41.760]  突然打給你,問有甚麼事
[00:00:41.760 --> 00:00:45.320]  跟他兒子見家長,見班主任
[00:00:45.320 --> 00:00:48.720]  班主任在他兒子面前問他媽媽
[00:00:48.720 --> 00:00:52.720]  我想問你一個問題,為甚麼你兒子由早到晚
[00:00:52.720 --> 00:00:55.720]  一個星期五天,已經幾個月了
[00:00:55.720 --> 00:00:59.520]  即是每天的樣子都是黑的
[00:00:59.520 --> 00:01:02.200]  很不喜歡我,很不喜歡上學
[00:01:02.200 --> 00:01:05.800]  每天都不開心,每天都罵我
[00:01:05.800 --> 00:01:09.800]  他媽媽聽完之後,靜一靜就跟他說
[00:01:09.800 --> 00:01:13.800]  老師其實你誤會了,他不是罵你
[00:01:13.800 --> 00:01:16.600]  他一出生的樣子就是這樣
[00:01:16.600 --> 00:01:19.120]  天生就是這樣
[00:01:19.120 --> 00:01:22.200]  我也是,看一看我的朋友
[00:01:22.200 --> 00:01:27.200]  沒多久,老師就打給他媽媽
[00:01:27.200 --> 00:01:30.600]  他說今天你兒子做了一件事
[00:01:30.600 --> 00:01:35.600]  在滑梯頂跳下來,斷了一隻腳
[00:01:35.600 --> 00:01:39.200]  他馬上趕去醫院,問有甚麼事
[00:01:39.200 --> 00:01:44.600]  原來他在滑梯上扮無面超人
[00:01:44.600 --> 00:01:46.400]  他覺得他真的是
[00:01:46.400 --> 00:01:49.200]  跳下去後才發現不是
[00:01:49.200 --> 00:01:53.200]  幾十年後,我發現他長大了
[00:01:53.200 --> 00:01:57.200]  他做爸爸了,樣子沒有再黑
[00:01:57.200 --> 00:02:00.800]  一個很基本的社交技巧,其實改得到
[00:02:00.800 --> 00:02:02.200]  沒理由一出生就是這樣
[00:02:02.200 --> 00:02:07.200]  你一出生可以笑,你可以改變
[00:02:07.200 --> 00:02:09.200]  又或者他發現他不是再超人
[00:02:09.200 --> 00:02:12.200]  因為我看不見他再跳下來
[00:02:12.200 --> 00:02:18.200]  很有趣的,因為我們會成長的
[00:02:18.200 --> 00:02:21.200]  我們接下來說的是哥倫多教會
[00:02:21.200 --> 00:02:25.200]  實在的信徒比較BB,很難
[00:02:25.200 --> 00:02:30.200]  前言是這樣,上星期求求執事說得很好
[00:02:30.200 --> 00:02:34.200]  我們在錯誤的反思中會學習
[00:02:34.200 --> 00:02:36.200]  這裡的確是
[00:02:36.200 --> 00:02:38.200]  一個人碰釘多了
[00:02:38.200 --> 00:02:42.200]  聖經常常用聰明人和愚蠢人比較
[00:02:42.200 --> 00:02:44.200]  聰明人、愚蠢人、聰明人是一樣的
[00:02:44.200 --> 00:02:46.200]  愚蠢人、聰明人的分別很多
[00:02:46.200 --> 00:02:50.200]  其中一個很重要我們學習到的人生智慧
[00:02:50.200 --> 00:02:52.200]  就是當一個人碰釘多了
[00:02:52.200 --> 00:02:55.200]  聰明人會反思為什麼碰釘
[00:02:55.200 --> 00:02:57.200]  他會改變的
[00:02:57.200 --> 00:02:59.200]  當他發現人們經常不喜歡他
[00:02:59.200 --> 00:03:03.200]  不和他一起,或者他做事都不在
[00:03:03.200 --> 00:03:06.200]  他繼續這樣,人們會繼續走
[00:03:06.200 --> 00:03:08.200]  換公司、換教會、換家
[00:03:08.200 --> 00:03:09.200]  家換不到,不好意思
[00:03:09.200 --> 00:03:11.200]  都會是這樣的
[00:03:11.200 --> 00:03:14.200]  但是更加聰明的人,他不用碰釘
[00:03:14.200 --> 00:03:18.200]  他見到人碰了釘,或者他看到書本
[00:03:18.200 --> 00:03:20.200]  為什麼讀書是重要的呢?
[00:03:20.200 --> 00:03:22.200]  因為我們走不完人生
[00:03:22.200 --> 00:03:24.200]  我們走不了這麼多千年
[00:03:24.200 --> 00:03:26.200]  很多人做了一件事,學了一件事
[00:03:26.200 --> 00:03:27.200]  你看完之後發現
[00:03:27.200 --> 00:03:29.200]  是的,你會反省
[00:03:29.200 --> 00:03:30.200]  更加聰明的人
[00:03:30.200 --> 00:03:32.200]  例如聖經,我們看了
[00:03:32.200 --> 00:03:35.200]  我們反思就不會做了
[00:03:35.200 --> 00:03:37.200]  愛因斯坦曾經說過
[00:03:37.200 --> 00:03:43.200]  只有愚蠢的人,瘋子才會期待重複做同樣的事情
[00:03:43.200 --> 00:03:45.200]  會出現不同的結果
[00:03:45.200 --> 00:03:47.200]  如果你已經碰釘了
[00:03:47.200 --> 00:03:49.200]  你不停地做同樣的事情
[00:03:49.200 --> 00:03:51.200]  你期待人們不會碰釘
[00:03:51.200 --> 00:03:53.200]  期待你自己會改變
[00:03:53.200 --> 00:03:54.200]  期待人們會喜歡你
[00:03:54.200 --> 00:03:55.200]  期待有不同的結果
[00:03:55.200 --> 00:03:57.200]  期待你不繼續讀書
[00:03:57.200 --> 00:04:00.200]  你繼續會合格,是不可能的
[00:04:00.200 --> 00:04:01.200]  是吧?不會的
[00:04:01.200 --> 00:04:03.200]  當然這句話
[00:04:03.200 --> 00:04:06.200]  它不是只有一些東西真的可以不停重複做
[00:04:06.200 --> 00:04:08.200]  例如你練習游泳
[00:04:08.200 --> 00:04:10.200]  你不停重複當然會快一點
[00:04:10.200 --> 00:04:12.200]  你國家隊是會的
[00:04:12.200 --> 00:04:13.200]  不過它不是說這件事
[00:04:13.200 --> 00:04:16.200]  當然它是在說很多的科學研究
[00:04:16.200 --> 00:04:17.200]  你知道不行了
[00:04:17.200 --> 00:04:19.200]  那條路你要轉向
[00:04:19.200 --> 00:04:21.200]  人生也是
[00:04:21.200 --> 00:04:23.200]  管理的方法
[00:04:23.200 --> 00:04:24.200]  科學的實驗
[00:04:24.200 --> 00:04:29.200]  亂來因此運用同團隊的暖籠
[00:04:29.200 --> 00:04:31.200]  繼續是這樣都會這樣
[00:04:31.200 --> 00:04:35.200]  哥林多這間教會正正面對很多這樣的處境
[00:04:35.200 --> 00:04:36.200]  很厲害的教會
[00:04:36.200 --> 00:04:38.200]  哥林多在哪裡呢?
[00:04:38.200 --> 00:04:39.200]  就是在希臘的南面
[00:04:39.200 --> 00:04:42.200]  愛琴海、德里亞海的中間
[00:04:42.200 --> 00:04:43.200]  是一個瓶頸位
[00:04:43.200 --> 00:04:46.200]  所以是一個非常重要的通過的地方
[00:04:46.200 --> 00:04:47.200]  一定會通過的
[00:04:47.200 --> 00:04:49.200]  商業很重要
[00:04:49.200 --> 00:04:51.200]  經濟很發達
