
[00:00:00.000 --> 00:00:02.240]  我們今天要講的經文是在啟示錄
[00:00:02.240 --> 00:00:03.760]  在啟示錄第二章
[00:00:03.760 --> 00:00:07.040]  主向約翰叫他寫信
[00:00:07.040 --> 00:00:08.080]  寫信給誰呢?
[00:00:08.080 --> 00:00:09.520]  寫信給以弗所教會
[00:00:09.520 --> 00:00:12.800]  其實七間教會有七封信
[00:00:12.800 --> 00:00:14.880]  第一封信是給以弗所教會的
[00:00:14.880 --> 00:00:20.240]  主吩咐約翰寫信給以弗所教會的使者
[00:00:20.240 --> 00:00:22.240]  就是給以弗所教會的眾人
[00:00:22.240 --> 00:00:24.080]  但不僅是以弗所教會
[00:00:24.080 --> 00:00:25.520]  因為後面第七節也提到
[00:00:25.520 --> 00:00:30.640]  聖靈向眾教會所說的話:凡有耳的道應當聽
[00:00:30.640 --> 00:00:35.440]  得聖的我必將神樂園中生命樹的果子賜給他人
[00:00:35.440 --> 00:00:37.360]  所以凡有耳的都應該聽
[00:00:37.360 --> 00:00:40.400]  所以除了要給以弗所教會
[00:00:40.400 --> 00:00:41.920]  當然是給他們聽
[00:00:41.920 --> 00:00:43.440]  但今天也給我們聽
[00:00:43.440 --> 00:00:44.880]  所有教會都應該去聽
[00:00:44.880 --> 00:00:48.000]  是以弗所教會所發生的事情
[00:00:48.000 --> 00:00:49.520]  神要向他們說話
[00:00:49.520 --> 00:00:51.760]  但同樣地對我們也有效
[00:00:51.760 --> 00:00:53.040]  我們一樣
[00:00:53.040 --> 00:00:54.560]  如果我們能夠得聖的話
[00:00:54.560 --> 00:00:57.680]  神也要將他的生命樹的果子賜給我們
[00:00:57.680 --> 00:00:58.480]  除此之外
[00:00:58.480 --> 00:00:59.840]  神要賜下冠冕
[00:00:59.840 --> 00:01:02.960]  上帝有祂自己的心意和計劃
[00:01:02.960 --> 00:01:04.320]  在末後的時候
[00:01:04.320 --> 00:01:06.240]  我們知道在天界裡面
[00:01:06.240 --> 00:01:10.800]  上帝將冠冕賜給凡愛無他顯然的人
[00:01:10.800 --> 00:01:15.040]  同樣地也應許要賜果子給那些得聖的弟兄姊妹
[00:01:15.040 --> 00:01:17.120]  你說果子是什麼果子呢?
[00:01:17.120 --> 00:01:17.920]  我又不知道
[00:01:17.920 --> 00:01:18.880]  蘋果還是橙啊?
[00:01:18.880 --> 00:01:19.680]  牧師啊?
[00:01:19.680 --> 00:01:21.040]  我真的無法告訴你
[00:01:21.040 --> 00:01:23.920]  但神要賜那個是生命樹的果子
[00:01:23.920 --> 00:01:25.120]  就像伊甸園裡面
[00:01:25.120 --> 00:01:27.680]  已經為我們創立
[00:01:27.680 --> 00:01:28.720]  為我們傳流
[00:01:28.720 --> 00:01:31.440]  神要獎賞得聖的弟兄姊妹
[00:01:31.440 --> 00:01:34.240]  所以這段經文給我們眾人一起聽
[00:01:34.240 --> 00:01:35.120]  一起學習
[00:01:35.120 --> 00:01:37.600]  在第一節
[00:01:37.600 --> 00:01:39.360]  那右手拿著七星
[00:01:39.360 --> 00:01:42.640]  在七個金燈台中行走的說
[00:01:42.640 --> 00:01:45.120]  主耶穌就是講話的人
[00:01:45.120 --> 00:01:47.360]  祂是右手拿著七星
[00:01:47.360 --> 00:01:49.520]  代表掌管教會
[00:01:49.520 --> 00:01:51.280]  七星代表七教會
[00:01:51.280 --> 00:01:54.080]  七個金燈台也代表七個教會
[00:01:54.080 --> 00:01:57.360]  主掌管教會是教會的主
[00:01:57.360 --> 00:02:00.000]  今天的主人並不是牧師
[00:02:00.000 --> 00:02:01.200]  不是執事主席
[00:02:01.200 --> 00:02:02.720]  也不是我們任何一個人
[00:02:02.720 --> 00:02:04.640]  教會的元首是誰?
[00:02:04.640 --> 00:02:05.440]  是主
[00:02:05.440 --> 00:02:06.480]  是主基督
[00:02:06.480 --> 00:02:09.760]  所以祂是右手拿著七星
[00:02:09.760 --> 00:02:11.520]  而且祂知道我們
[00:02:11.520 --> 00:02:13.760]  因為祂常常在教會
[00:02:13.760 --> 00:02:16.000]  在金燈台中間行走
[00:02:16.000 --> 00:02:18.160]  明白我們所發生的事情
[00:02:18.160 --> 00:02:20.080]  不要想著主不知道
[00:02:20.080 --> 00:02:21.360]  靜悄悄地做
[00:02:21.360 --> 00:02:22.720]  其實主是知道
[00:02:22.720 --> 00:02:24.240]  常常在我們當中
[00:02:24.240 --> 00:02:26.400]  主明白我們的心思意念
[00:02:26.400 --> 00:02:28.640]  我們只是看到人的行為表面
[00:02:28.640 --> 00:02:31.280]  但主常在教會行走
[00:02:31.280 --> 00:02:33.440]  否察我們眾人的內心
[00:02:33.440 --> 00:02:35.040]  而且祂跟我們說
[00:02:35.040 --> 00:02:38.400]  祂說我知道你們的行為
[00:02:38.400 --> 00:02:40.080]  勞碌和忍耐
[00:02:40.080 --> 00:02:42.000]  上帝了解
[00:02:42.000 --> 00:02:44.480]  主耶穌也了解我們的行為
[00:02:44.480 --> 00:02:46.000]  勞碌、忍耐
[00:02:46.000 --> 00:02:49.120]  全部這些都記在主的心中
[00:02:49.120 --> 00:02:50.960]  主是明白、清楚知道
[00:02:50.960 --> 00:02:52.560]  這也好像香港教會一樣
[00:02:52.560 --> 00:02:54.880]  香港教會一樣勞碌、忍耐
[00:02:54.880 --> 00:02:56.880]  上上有希望、盼望
[00:02:56.880 --> 00:02:58.400]  著著有美好的見證
[00:02:58.400 --> 00:02:59.760]  有美好的行為
[00:02:59.760 --> 00:03:01.520]  也知道祂還有多一件事
[00:03:01.520 --> 00:03:03.280]  不能容忍惡人
[00:03:03.280 --> 00:03:06.720]  這裡提到神的心意是不容忍惡人
[00:03:06.720 --> 00:03:07.600]  而那間教會
[00:03:07.600 --> 00:03:10.880]  二分所教會也同樣地不能容忍惡人
[00:03:10.880 --> 00:03:13.040]  這裡我想跟你分享一件事
[00:03:13.040 --> 00:03:14.880]  上帝的屬性是什麼?
[00:03:14.880 --> 00:03:17.600]  上帝的屬性是公義和慈愛
[00:03:17.600 --> 00:03:19.440]  所以上帝既是愛世人
[00:03:19.440 --> 00:03:21.200]  但是同一時間上帝也是公義的主
[00:03:21.200 --> 00:03:22.720]  當有惡人出現的時候
[00:03:22.720 --> 00:03:25.440]  上帝是不能容忍惡人
[00:03:25.440 --> 00:03:26.640]  會審判
[00:03:26.640 --> 00:03:27.760]  但是同一時間
[00:03:27.760 --> 00:03:31.440]  教會在地上代表教會發出聲音
[00:03:31.440 --> 00:03:34.160]  縱然有時候這些聲音不太合聽
[00:03:34.160 --> 00:03:35.440]  最近在台灣
[00:03:35.440 --> 00:03:36.240]  你也知道
[00:03:36.240 --> 00:03:37.440]  有些公投
[00:03:37.440 --> 00:03:41.120]  提到同性戀組織家庭的事情
[00:03:41.120 --> 00:03:43.120]  全世界其實沒有人反對
[00:03:43.120 --> 00:03:46.000]  只有教會反對
[00:03:46.000 --> 00:03:48.400]  公投的結果很特別
[00:03:48.400 --> 00:03:50.560]  出乎了那些人的意料
[00:03:50.560 --> 00:03:52.960]  以為每個人都要支持
[00:03:52.960 --> 00:03:54.480]  但是公投的結果是
[00:03:54.480 --> 00:03:58.400]  他們認為婚姻應該好像按照聖經所說
[00:03:58.400 --> 00:03:59.840]  當然他們未必明白聖經
[00:03:59.840 --> 00:04:00.640]  但是按照聖經所說
[00:04:00.640 --> 00:04:02.720]  應該是一男一女才算婚姻
[00:04:02.720 --> 00:04:03.440]  明白嗎?
[00:04:03.440 --> 00:04:05.040]  我們作為教會
[00:04:05.040 --> 00:04:06.320]  在這個世代裡面
[00:04:06.320 --> 00:04:08.720]  可能世人也不再說這些事情的時候
[00:04:08.720 --> 00:04:11.600]  我們仍然要代表教會發出聲音
[00:04:11.600 --> 00:04:14.400]  這裡還提到對那些惡人
[00:04:14.400 --> 00:04:16.960]  對社會不公義的事情
[00:04:16.960 --> 00:04:18.880]  我們今天袋土事項也有提到
[00:04:18.880 --> 00:04:23.040]  其實有些露宿者在天橋底
[00:04:23.040 --> 00:04:27.200]  但是政府其實最近做了很多措施
[00:04:27.200 --> 00:04:29.200]  就是使得天橋底睡不著人
[00:04:29.200 --> 00:04:29.760]  你知道嗎?
[00:04:29.760 --> 00:04:32.880]  就是天橋底也弄了一些石頭
[00:04:32.880 --> 00:04:33.760]  拱起來
[00:04:33.760 --> 00:04:35.440]  那些長椅子也睡不著人
[00:04:35.440 --> 00:04:37.440]  現在公園的長椅子
[00:04:37.440 --> 00:04:39.200]  全部都有一格一格弄出來
[00:04:39.200 --> 00:04:41.760]  是趕絕一些要睡公園的人
[00:04:41.760 --> 00:04:43.040]  讓他們睡不著
[00:04:43.040 --> 00:04:44.640]  我想說回來
[00:04:44.640 --> 00:04:46.400]  誰會發聲呢?
[00:04:46.400 --> 00:04:49.040]  按照天父的心意
[00:04:49.040 --> 00:04:51.760]  我們在地上作為他的代表
[00:04:51.760 --> 00:04:52.960]  去發出聲音
[00:04:52.960 --> 00:04:55.920]  很多不同的教會去表達
[00:04:55.920 --> 00:04:57.280]  在社會裡面的不公義
