
[00:00:00.000 --> 00:00:02.800]  在智利教會系列的第一講裏
[00:00:02.800 --> 00:00:05.920]  我提到甚麼是教會
[00:00:05.920 --> 00:00:07.360]  當時我指出了
[00:00:07.360 --> 00:00:11.920]  教會是由一群信徒所組成的屬靈群體
[00:00:11.920 --> 00:00:14.880]  但教會同時活在這個世界上
[00:00:14.880 --> 00:00:17.840]  所以教會同時亦是一個在社會上
[00:00:17.840 --> 00:00:20.800]  有結構的社會組織
[00:00:20.800 --> 00:00:22.960]  當時在結論裏我指出了
[00:00:22.960 --> 00:00:25.120]  教會既是一個組織
[00:00:25.120 --> 00:00:28.280]  但同時亦是一個屬靈的群體
[00:00:28.280 --> 00:00:31.000]  我們必須平衡地去看這兩方面
[00:00:31.000 --> 00:00:34.360]  不能單單強調教會是屬靈群體
[00:00:34.360 --> 00:00:38.680]  亦不能單單強調教會只是一個社會組織
[00:00:38.680 --> 00:00:40.440]  我們需要平衡地去看
[00:00:40.440 --> 00:00:44.280]  否則我們就會很容易出現問題
[00:00:44.280 --> 00:00:47.720]  在第二講裏我提到教會裏面的領袖
[00:00:47.720 --> 00:00:50.360]  當時我指出了教會裏面的領袖
[00:00:50.360 --> 00:00:52.360]  既包括了傳道人
[00:00:52.360 --> 00:00:55.360]  同時亦包括了執事、堂、委、門
[00:00:55.360 --> 00:00:57.800]  並且傳道人和執事、堂、委、門
[00:00:57.800 --> 00:01:00.600]  應該是同心組成一個團隊
[00:01:00.600 --> 00:01:02.080]  一起去服侍神
[00:01:02.080 --> 00:01:04.560]  好讓神的教會、神的兒女
[00:01:04.560 --> 00:01:06.960]  就是耶穌基督用補血所買回來
[00:01:06.960 --> 00:01:09.600]  耶穌基督所最愛的神的兒女
[00:01:09.600 --> 00:01:11.680]  祂能夠得著建立
[00:01:11.680 --> 00:01:13.960]  教會裏面的牧者和領袖
[00:01:13.960 --> 00:01:16.800]  如果不能夠彼此之間同心
[00:01:16.800 --> 00:01:18.440]  互相攻擊的話
[00:01:18.440 --> 00:01:20.920]  很容易受害的是教會
[00:01:20.920 --> 00:01:22.920]  所以牧者和領袖應該明白
[00:01:22.920 --> 00:01:24.960]  神才是教會的主
[00:01:24.960 --> 00:01:27.920]  大家只是教會裏面的管家
[00:01:27.920 --> 00:01:31.480]  是神將整個教會托付給我們來治理
[00:01:31.480 --> 00:01:34.040]  當牧者和教會的領袖彼此攻擊
[00:01:34.040 --> 00:01:35.520]  互相指責
[00:01:35.520 --> 00:01:37.880]  最終受害的是教會
[00:01:37.880 --> 00:01:39.680]  我們可以贏了真論
[00:01:39.680 --> 00:01:41.160]  輸了神的家
[00:01:41.160 --> 00:01:43.360]  傷了神的心
[00:01:43.360 --> 00:01:46.600]  今天我提到的題目是第三講
[00:01:46.600 --> 00:01:48.920]  就是傳道者的反思
[00:01:48.920 --> 00:01:50.800]  我想和大家一起去思想
[00:01:50.800 --> 00:01:52.400]  作為一個傳道人
[00:01:52.400 --> 00:01:56.120]  很多時候常常我們見到傳道人的一些問題
[00:01:56.120 --> 00:01:57.240]  而這些問題
[00:01:57.240 --> 00:01:59.480]  有時令我們感到有點可惜
[00:01:59.480 --> 00:02:03.680]  但究竟聖經是怎樣去看一個真正的侍奉神的人呢?
[00:02:03.680 --> 00:02:06.760]  一個真正的傳道人是應該怎樣呢?
[00:02:06.760 --> 00:02:08.440]  讓我們在神面前來禱告吧
[00:02:08.440 --> 00:02:12.960]  我們將整個崇拜交代在神的手裏
[00:02:12.960 --> 00:02:15.840]  上主我們求祢在我們當中
[00:02:15.840 --> 00:02:19.240]  祢將你們的聖靈在我們心靈當中教導我們
[00:02:19.240 --> 00:02:20.680]  又提醒我們
[00:02:20.680 --> 00:02:22.400]  讓我們明白真理
[00:02:22.400 --> 00:02:24.560]  並且按照真理來遵行
[00:02:24.560 --> 00:02:26.760]  讓我們生命能夠榮耀祢
[00:02:26.760 --> 00:02:28.440]  流露祢的榮美
[00:02:28.440 --> 00:02:30.160]  奉耶穌基督命求
[00:02:30.160 --> 00:02:33.760]  我曾經遇過一些傳道人
[00:02:33.760 --> 00:02:38.520]  當我們一起和傳道人的分組小組裏面分享的時候
[00:02:38.520 --> 00:02:40.880]  我聽到他們彼此的分享
[00:02:40.880 --> 00:02:42.600]  有些傳道人就很強調
[00:02:42.600 --> 00:02:44.360]  傳道人的一個身份
[00:02:44.360 --> 00:02:47.400]  就是很強調傳道人是神的僕人
[00:02:47.400 --> 00:02:48.720]  常常都聽到他們說
[00:02:48.720 --> 00:02:50.880]  傳道人是神的僕人
[00:02:50.880 --> 00:02:53.000]  當然從聖經裏面
[00:02:53.000 --> 00:02:56.320]  史奴保羅在書信裏面怎樣稱呼自己
[00:02:56.320 --> 00:02:58.280]  他說他是被神所召
[00:02:58.280 --> 00:02:59.560]  神的僕人
[00:02:59.560 --> 00:03:01.840]  從這些真理我們可以確信
[00:03:01.840 --> 00:03:03.560]  傳道人是神的僕人
