
[00:00:00.000 --> 00:00:04.000]  今天我們會繼續創世紀的講道系列
[00:00:04.000 --> 00:00:06.760]  今天我們會進入第二個系列
[00:00:06.760 --> 00:00:08.560]  就是聖本善
[00:00:08.560 --> 00:00:09.920]  今天是第一講
[00:00:09.920 --> 00:00:13.080]  所以我們會先從創世紀的一段聖經
[00:00:13.080 --> 00:00:20.600]  來看看當初創造婚姻背後的一些特別的意義
[00:00:20.600 --> 00:00:23.440]  它有什麼特別的奧秘在裡面
[00:00:23.440 --> 00:00:24.920]  想我們知道呢
[00:00:24.920 --> 00:00:30.040]  今天我特別想講一下神設立婚姻的意義
[00:00:30.040 --> 00:00:33.800]  第一個意義就是
[00:00:33.800 --> 00:00:37.600]  神是想透過婚姻裡面的磨合
[00:00:37.600 --> 00:00:40.640]  讓我們開始成長
[00:00:40.640 --> 00:00:44.760]  開始變得越來越成熟
[00:00:44.760 --> 00:00:47.760]  這就是第一個婚姻的意義
[00:00:47.760 --> 00:00:54.000]  在創世紀的二章十八節到二十節是這麼說的
[00:00:54.000 --> 00:00:57.000]  後來主上帝說
[00:00:57.000 --> 00:01:00.000]  人單獨生活不好
[00:01:00.000 --> 00:01:01.520]  神創造所謂的好的
[00:01:01.520 --> 00:01:03.120]  這是第一次說不好
[00:01:03.120 --> 00:01:07.840]  神做人不是想我們單獨的生活
[00:01:07.840 --> 00:01:09.080]  我們是一個群體
[00:01:09.080 --> 00:01:12.040]  群體的生活是需要有關係
[00:01:12.040 --> 00:01:18.200]  我要為他做一個合適的伴侶來幫助他
[00:01:18.200 --> 00:01:21.560]  於是上帝用地上的塵土
[00:01:21.560 --> 00:01:25.760]  造了各種的動物和各類的飛鳥
[00:01:25.760 --> 00:01:28.200]  把他們帶到那人面前
[00:01:28.200 --> 00:01:30.200]  讓他命名
[00:01:30.200 --> 00:01:35.240]  然後他就給所有的動物取名
[00:01:35.240 --> 00:01:40.280]  他給牲畜、飛鳥和野獸取了名
[00:01:40.280 --> 00:01:46.000]  但是他們當中沒有一個適合做他的伴侶
[00:01:46.000 --> 00:01:47.800]  來幫助他
[00:01:47.800 --> 00:01:50.800]  和動物起名我相信都需要很多時間
[00:01:50.800 --> 00:01:53.800]  很長的時間 因為不是亂起的
[00:01:53.800 --> 00:01:57.800]  你要和動物相處 觀察牠的特徵 看牠的性格
[00:01:57.800 --> 00:02:00.800]  然後最後決定牠的名字
[00:02:00.800 --> 00:02:03.800]  看你胖胖的 胖胖的
[00:02:03.800 --> 00:02:06.800]  頸很長 長頸鹿
[00:02:06.800 --> 00:02:10.800]  相處一段時間後 發現沒有一個適合做牠的伴侶
[00:02:10.800 --> 00:02:13.800]  所以就沒辦法 到了21節
[00:02:13.800 --> 00:02:17.800]  於是主上帝使乃人沉睡
[00:02:17.800 --> 00:02:20.800]  然後做了一個手術
[00:02:20.800 --> 00:02:25.800]  他睡著的時候 主上帝拿下他的一根肋骨
[00:02:25.800 --> 00:02:29.800]  然後再把肉合起來
[00:02:29.800 --> 00:02:33.800]  主上帝用那根肋骨做了一個女人
[00:02:33.800 --> 00:02:36.800]  把她帶到乃人面前
[00:02:36.800 --> 00:02:40.800]  當看到的時候 乃人說
[00:02:40.800 --> 00:02:45.800]  這終於是我的骨中的骨 肉中的肉
[00:02:45.800 --> 00:02:48.800]  是一個感嘆詞
[00:02:48.800 --> 00:02:51.800]  終於 我已經渴望了很久的東西
[00:02:51.800 --> 00:02:54.800]  終於得到了 就是你了
[00:02:54.800 --> 00:02:57.800]  非常興奮
[00:02:57.800 --> 00:03:00.800]  主上帝原本把她放在伊甸園
[00:03:00.800 --> 00:03:02.800]  明明是一個花園主人
[00:03:02.800 --> 00:03:04.800]  突然變成了詩人
[00:03:04.800 --> 00:03:07.800]  寫了人類歷史上第一首情詩
[00:03:07.800 --> 00:03:09.800]  你就是我骨中的骨 肉中的肉
[00:03:09.800 --> 00:03:11.800]  我要叫她為女人
