
[00:00:00.000 --> 00:00:06.000]  今天我要來分享就是在人生的尺度讓我們該如何選擇
[00:00:06.000 --> 00:00:10.000]  其實神是應許我們讓我們有豐盛的生命
[00:00:10.000 --> 00:00:12.000]  這是更好的
[00:00:12.000 --> 00:00:13.000]  但是在這個過程當中
[00:00:13.000 --> 00:00:16.000]  從我們開始要進到豐盛生命過程當中
[00:00:16.000 --> 00:00:17.000]  應許好的
[00:00:17.000 --> 00:00:21.000]  但是我們中間仍然有許過要選擇的部分
[00:00:21.000 --> 00:00:23.000]  所以你看見以色列人出埃及是一樣的
[00:00:23.000 --> 00:00:25.000]  他們進到迦蘭地應許地
[00:00:25.000 --> 00:00:26.000]  這是命定的
[00:00:26.000 --> 00:00:27.000]  但是在過程當中
[00:00:27.000 --> 00:00:30.000]  跟他們要做一些選擇
[00:00:30.000 --> 00:00:31.000]  所以當他們選擇錯的時候
[00:00:31.000 --> 00:00:33.000]  他們就跨年四十年
[00:00:33.000 --> 00:00:34.000]  當他們選擇錯誤的時候
[00:00:34.000 --> 00:00:35.000]  抱怨的時候
[00:00:35.000 --> 00:00:37.000]  他們生命當中就開始
[00:00:37.000 --> 00:00:40.000]  就是有一些更過的事情要去面對
[00:00:40.000 --> 00:00:42.000]  所以同樣的我們生命當中
[00:00:42.000 --> 00:00:43.000]  有很多需要選擇的
[00:00:43.000 --> 00:00:46.000]  我們每天早上就可以選擇
[00:00:46.000 --> 00:00:48.000]  起床你選擇什麼
[00:00:48.000 --> 00:00:50.000]  主啊我要感謝讚美你
[00:00:50.000 --> 00:00:53.000]  還是像北京議員說順您早安
[00:00:53.000 --> 00:00:55.000]  還是你在每天生活當中
[00:00:55.000 --> 00:00:57.000]  你早上起床你想的是什麼
[00:00:57.000 --> 00:00:59.000]  想說今天又有什麼事情要做
[00:00:59.000 --> 00:01:00.000]  好累喔
[00:01:00.000 --> 00:01:03.000]  還是你起床的時候就覺得說
[00:01:03.000 --> 00:01:05.000]  最好再躺下去好了
[00:01:05.000 --> 00:01:06.000]  再晚一點再起床
[00:01:06.000 --> 00:01:08.000]  我不知道我們做怎麼樣的決定
[00:01:08.000 --> 00:01:09.000]  或是你喝一口水
[00:01:09.000 --> 00:01:11.000]  或是你吃什麼樣的飲食
[00:01:11.000 --> 00:01:12.000]  它都有影響
[00:01:12.000 --> 00:01:13.000]  有的影響很大
[00:01:13.000 --> 00:01:14.000]  有的影響要累積
[00:01:14.000 --> 00:01:17.000]  有的做錯了
[00:01:17.000 --> 00:01:20.000]  它影響性就很尖銳
[00:01:20.000 --> 00:01:22.000]  所以我想我們就在這過程當中
[00:01:22.000 --> 00:01:25.000]  我們需要來做一些處理
[00:01:25.000 --> 00:01:26.000]  做一些思考
[00:01:26.000 --> 00:01:28.000]  所以我想我們先來看
[00:01:28.000 --> 00:01:53.000]  《獵王記》上第三章第四節到第十五節
[00:01:59.000 --> 00:02:03.000]  就約聖經四百二十頁我們一起來讀
[00:02:03.000 --> 00:02:04.000]  第四節
[00:02:04.000 --> 00:02:07.000]  索羅門王上雞片去獻祭
[00:02:07.000 --> 00:02:10.000]  因為在那裡有極大的秋壇
[00:02:10.000 --> 00:02:14.000]  他在那壇上獻一身犧牲做番祭
[00:02:14.000 --> 00:02:16.000]  在雞片夜間夢中
[00:02:16.000 --> 00:02:18.000]  耶華向索門顯現
[00:02:18.000 --> 00:02:21.000]  對他說你願我是你什麼
[00:02:21.000 --> 00:02:22.000]  你可以求
[00:02:22.000 --> 00:02:25.000]  索門說你僕人我父親大衛
[00:02:25.000 --> 00:02:28.000]  用誠實公義正直的心行在你面前
[00:02:28.000 --> 00:02:30.000]  你就向他大師恩典
[00:02:30.000 --> 00:02:32.000]  又為他存留大恩
[00:02:32.000 --> 00:02:35.000]  是他一個兒子坐在他的位上
[00:02:35.000 --> 00:02:37.000]  正如今日一樣
[00:02:37.000 --> 00:02:38.000]  耶華我的神啊
[00:02:38.000 --> 00:02:42.000]  如今你使僕人皆須我父親大衛作王
[00:02:42.000 --> 00:02:43.000]  但我是幼童
[00:02:43.000 --> 00:02:46.000]  不知應當怎樣出路
[00:02:46.000 --> 00:02:48.000]  僕人住在你所揀選的民中
[00:02:48.000 --> 00:02:50.000]  這民多格不可生屬
[00:02:50.000 --> 00:02:52.000]  所以求你是我智慧
[00:02:52.000 --> 00:02:54.000]  可以判斷你的民
[00:02:54.000 --> 00:02:56.000]  能辨別是非
[00:02:56.000 --> 00:02:59.000]  不然誰能判斷這眾多的民呢
[00:02:59.000 --> 00:03:02.000]  索門因為求這事就蒙主喜悅
[00:03:02.000 --> 00:03:03.000]  神對他說
[00:03:03.000 --> 00:03:07.000]  你既然求這事不為自己求壽求富
[00:03:07.000 --> 00:03:10.000]  也不求滅絕你自己的性命
[00:03:10.000 --> 00:03:12.000]  單求有智慧可以輕鬆
[00:03:12.000 --> 00:03:13.000]  我就運營你
[00:03:13.000 --> 00:03:16.000]  你所求的是你聰明智慧
[00:03:16.000 --> 00:03:18.000]  甚至在你以前沒有像你的
[00:03:18.000 --> 00:03:21.000]  在你以後也沒有像你的
[00:03:21.000 --> 00:03:22.000]  你所沒有求的
[00:03:22.000 --> 00:03:24.000]  我也賜給你
[00:03:24.000 --> 00:03:25.000]  就是富足尊榮
[00:03:25.000 --> 00:03:27.000]  使你再世的日子
[00:03:27.000 --> 00:03:29.000]  願望中沒有一個能比你的
[00:03:29.000 --> 00:03:31.000]  你若效仿你父親大衛
[00:03:31.000 --> 00:03:33.000]  遵行我的道
[00:03:33.000 --> 00:03:34.000]  謹守我的律例
[00:03:34.000 --> 00:03:36.000]  誡命我必使你長壽
[00:03:36.000 --> 00:03:37.000]  索羅門醒了
[00:03:37.000 --> 00:03:39.000]  不要是個夢
[00:03:39.000 --> 00:03:41.000]  他就回到耶路撒冷
[00:03:41.000 --> 00:03:43.000]  站在耶華的約會前
[00:03:43.000 --> 00:03:45.000]  獻番祭和平安祭
[00:03:45.000 --> 00:03:51.000]  又為他眾臣蒲設擺宴席
[00:03:51.000 --> 00:03:52.000]  這是一段經文
[00:03:52.000 --> 00:03:56.000]  是索羅門剛剛要接續大衛坐王的時候
[00:03:56.000 --> 00:03:58.000]  他跟神的一些對話
[00:03:58.000 --> 00:04:00.000]  那這一段經文裡面你會看見
[00:04:00.000 --> 00:04:02.000]  我讀第二章最後一節
[00:04:02.000 --> 00:04:05.000]  他說這樣便堅定了索羅門的國位
[00:04:05.000 --> 00:04:07.000]  所以其實對索羅門王而言
[00:04:07.000 --> 00:04:10.000]  他已經坐在這個位置上
[00:04:10.000 --> 00:04:13.000]  而且是環境都預備好了
[00:04:13.000 --> 00:04:17.000]  他裡面的一些內憂都已經處理好了
[00:04:17.000 --> 00:04:20.000]  那外患其實大衛王已經處理完了
[00:04:20.000 --> 00:04:22.000]  所以基本上他坐這個國位
[00:04:22.000 --> 00:04:23.000]  就接續他的國王
[00:04:23.000 --> 00:04:25.000]  就接續大衛王他的父親
[00:04:25.000 --> 00:04:26.000]  坐那個位置就好了
[00:04:26.000 --> 00:04:32.000]  可是裡頭我們就看見索羅門王有一個恐懼
[00:04:32.000 --> 00:04:37.000]  他說他不知道怎麼樣治理這個百姓
[00:04:37.000 --> 00:04:41.000]  所以索羅門王就來到上帝面前獻祭的時候
[00:04:41.000 --> 00:04:43.000]  上帝就回應他
[00:04:43.000 --> 00:04:46.000]  上帝就在夢中就向他顯現
[00:04:46.000 --> 00:04:51.000]  說你願意我賜給你什麼你都可以求
[00:04:51.000 --> 00:04:53.000]  索羅門做了一個決定
[00:04:53.000 --> 00:04:56.000]  他跟神求說主我想求一件事
[00:04:56.000 --> 00:05:01.000]  就是我要得到一個治理這一些國民的智慧
[00:05:01.000 --> 00:05:03.000]  他就求了這個智慧
[00:05:03.000 --> 00:05:05.000]  所以上帝就喜悅他
