
[00:00:00.000 --> 00:00:03.000]  向上帝獻上重贊的詩歌
[00:00:03.000 --> 00:00:05.000]  在歌詞裡面提醒了我們
[00:00:05.000 --> 00:00:09.000]  其實是上帝對我們有一份很深的恩典和厚愛
[00:00:09.000 --> 00:00:11.000]  讓我們深深記住
[00:00:11.000 --> 00:00:13.000]  也讓我們無論所做的每一件事
[00:00:13.000 --> 00:00:15.000]  都是回應上帝給我們的愛
[00:00:15.000 --> 00:00:18.000]  要請大家齊低頭祈禱
[00:00:18.000 --> 00:00:22.000]  親自感謝祢
[00:00:22.000 --> 00:00:24.000]  在聖誕節的節日裡
[00:00:24.000 --> 00:00:26.000]  祢不斷祈禱給我們
[00:00:26.000 --> 00:00:28.000]  祢不斷祈禱給我們
[00:00:28.000 --> 00:00:30.000]  在聖誕節的節日裡
[00:00:30.000 --> 00:00:32.000]  去提醒我們
[00:00:32.000 --> 00:00:34.000]  祢對我們那份厚愛
[00:00:34.000 --> 00:00:36.000]  天份求祢幫助我們
[00:00:36.000 --> 00:00:38.000]  對祢有更深的渴慕和信靠
[00:00:38.000 --> 00:00:42.000]  以致我們能夠對聖靈開放
[00:00:42.000 --> 00:00:44.000]  祢會帶領我們
[00:00:44.000 --> 00:00:46.000]  幫助我們更加能夠明白
[00:00:46.000 --> 00:00:49.000]  祢的聖言裡面的意涵
[00:00:49.000 --> 00:00:53.000]  也求祢讓我們向聖靈開放
[00:00:53.000 --> 00:00:57.000]  以致我們能夠領受祢給我們的訊息
[00:00:57.000 --> 00:00:59.000]  和指引
[00:00:59.000 --> 00:01:01.000]  有願講的和聽的
[00:01:01.000 --> 00:01:03.000]  都同文易閱
[00:01:03.000 --> 00:01:04.000]  我們這樣的祈禱
[00:01:04.000 --> 00:01:06.000]  是奉主耶穌基督的名而求
[00:01:06.000 --> 00:01:08.000]  阿門
[00:01:08.000 --> 00:01:10.000]  各位聽眾
[00:01:10.000 --> 00:01:13.000]  如果我說MIRROR的成員
[00:01:13.000 --> 00:01:16.000]  是現在在香港滿有魅力的人
[00:01:16.000 --> 00:01:21.000]  我相信大家都不會有太大的反對
[00:01:21.000 --> 00:01:24.000]  我其實不是MIRROR的粉絲
[00:01:24.000 --> 00:01:26.000]  不過很有興趣了解
[00:01:26.000 --> 00:01:31.000]  為什麼全城都會為MIRROR來個哄動
[00:01:31.000 --> 00:01:36.000]  MIRROR的魅力在於它的吸金力很強
[00:01:36.000 --> 00:01:38.000]  去到哪裡
[00:01:38.000 --> 00:01:40.000]  就算只是想
[00:01:40.000 --> 00:01:41.000]  都大受歡迎
[00:01:41.000 --> 00:01:44.000]  很多人都會去打卡、集郵
[00:01:44.000 --> 00:01:48.000]  聽說MIRROR成員所代言的產品
[00:01:48.000 --> 00:01:51.000]  銷量會急升
[00:01:51.000 --> 00:01:52.000]  例如早前麥當勞
[00:01:52.000 --> 00:01:58.000]  我知道我有朋友連吃了五天的麥當勞套餐
[00:01:58.000 --> 00:02:02.000]  都是為了拿MIRROR的相片卡
[00:02:02.000 --> 00:02:06.000]  相信那幾天麥當勞一定大排長龍
[00:02:06.000 --> 00:02:09.000]  買出的套餐一定比平時多很多倍
[00:02:09.000 --> 00:02:11.000]  這個是愛子女圓明的父母
[00:02:11.000 --> 00:02:13.000]  為讓他們的孩子高興
[00:02:13.000 --> 00:02:18.000]  所做一些無傷大雅的小小犧牲
[00:02:18.000 --> 00:02:20.000]  當我看ViuTV的節目
[00:02:20.000 --> 00:02:23.000]  其實我想知道為什麼MIRROR這麼紅
[00:02:23.000 --> 00:02:27.000]  我看到粉絲見到自己喜歡的MIRROR成員時
[00:02:27.000 --> 00:02:29.000]  會大呼狂叫
[00:02:29.000 --> 00:02:31.000]  失控興奮
[00:02:31.000 --> 00:02:35.000]  不相信自己竟然可以面對面見到自己喜歡的偶像
[00:02:35.000 --> 00:02:37.000]  還叫朋友打開我的臉
[00:02:37.000 --> 00:02:40.000]  看看我是否真實見到我喜歡的那個
[00:02:40.000 --> 00:02:44.000]  究竟MIRROR他們的魅力在哪裡呢
[00:02:44.000 --> 00:02:46.000]  他們英俊?
[00:02:46.000 --> 00:02:48.000]  他們有才華?
[00:02:48.000 --> 00:02:51.000]  他們敢做其他人不敢做的事?
[00:02:51.000 --> 00:02:54.000]  不過我相信英俊和才華
[00:02:54.000 --> 00:02:56.000]  應該不是最重要的因素
[00:02:56.000 --> 00:03:00.000]  我看到最近有一位在中港台
[00:03:00.000 --> 00:03:02.000]  原本很受歡迎的男星
[00:03:02.000 --> 00:03:05.000]  雖然被公認很帥
[00:03:05.000 --> 00:03:06.000]  也很有才華
[00:03:06.000 --> 00:03:09.000]  他被粉絲撇棄
[00:03:09.000 --> 00:03:11.000]  我在問
[00:03:11.000 --> 00:03:12.000]  作為基督徒
[00:03:12.000 --> 00:03:16.000]  我們會認為什麼是沒有魅力的生命呢
[00:03:16.000 --> 00:03:21.000]  你又被耶穌哪些魅力
[00:03:21.000 --> 00:03:23.000]  內在質素的吸引
[00:03:23.000 --> 00:03:28.000]  以致你願意去相信和跟從祂呢
[00:03:28.000 --> 00:03:31.000]  今天的經文比較哲學
[00:03:31.000 --> 00:03:33.000]  比較形而上
[00:03:33.000 --> 00:03:35.000]  每個字我們都懂得讀
[00:03:35.000 --> 00:03:37.000]  不過有些難明
[00:03:37.000 --> 00:03:39.000]  我們給自己一點耐性
[00:03:39.000 --> 00:03:42.000]  我們慢慢一齊去了解
[00:03:42.000 --> 00:03:44.000]  第一節至第三節說
[00:03:44.000 --> 00:03:50.000]  萬物在被創造以前就有了道
[00:03:50.000 --> 00:03:51.000]  從整本聖經去理解
[00:03:51.000 --> 00:03:55.000]  我們知道道就是指聖子耶穌基督
[00:03:55.000 --> 00:03:58.000]  祂從創世以前就已經存在
[00:03:58.000 --> 00:04:00.000]  而且萬事萬物都是靠著祂
[00:04:00.000 --> 00:04:03.000]  才可以得以承認
[00:04:03.000 --> 00:04:05.000]  得以被創造
[00:04:05.000 --> 00:04:07.000]  道就是上帝
[00:04:07.000 --> 00:04:10.000]  聖子和聖父本是同等
