
[00:00:00.000 --> 00:00:03.000]  多謝各位聖徒,我們先一同祈禱
[00:00:03.000 --> 00:00:05.000]  多謝各位,感謝您的恩典
[00:00:05.000 --> 00:00:09.000]  讓我們能夠來到這個聚集一同見拜祢
[00:00:09.000 --> 00:00:12.000]  求祢幫助我們全心全意跟隨祢
[00:00:12.000 --> 00:00:14.000]  全心全意聽祢的話語
[00:00:14.000 --> 00:00:16.000]  認識我主耶穌基督
[00:00:16.000 --> 00:00:18.000]  和祂一切的榮耀
[00:00:18.000 --> 00:00:20.000]  跟耶穌基督一同祈禱
[00:00:20.000 --> 00:00:26.000]  我們這幾個禮拜都是全心全意系列
[00:00:26.000 --> 00:00:34.000]  我們講道主要的經文是基於二弗所說一章三至十四節
[00:00:34.000 --> 00:00:40.000]  那裡特別提到信了主耶穌之後的多重恩典
[00:00:40.000 --> 00:00:43.000]  甚至信主之前都是有恩典的
[00:00:43.000 --> 00:00:49.000]  我們希望是深入思想上帝給我們這些恩典之後
[00:00:49.000 --> 00:00:56.000]  也都會激勵我們對上帝是有全心全意的回應
[00:00:56.000 --> 00:00:59.000]  我們能夠認識主耶穌
[00:00:59.000 --> 00:01:02.000]  首先是由於上帝揀選
[00:01:02.000 --> 00:01:05.000]  未信主之前上帝已經揀選了
[00:01:05.000 --> 00:01:07.000]  我們每一個人都是這樣的
[00:01:07.000 --> 00:01:09.000]  在創世之前
[00:01:09.000 --> 00:01:12.000]  就是在耶穌基督揀選了我們
[00:01:12.000 --> 00:01:15.000]  使我們在祂面前成為聖傑
[00:01:15.000 --> 00:01:17.000]  沒有瑕疵
[00:01:17.000 --> 00:01:20.000]  不是真的使我們變成了沒有瑕疵
[00:01:20.000 --> 00:01:26.000]  只是上帝通過耶穌來看我們
[00:01:26.000 --> 00:01:29.000]  耶穌是真的沒有瑕疵的
[00:01:29.000 --> 00:01:31.000]  但是我們跟在耶穌後面
[00:01:31.000 --> 00:01:33.000]  上帝先看到耶穌
[00:01:33.000 --> 00:01:36.000]  以致上帝看不到我們的瑕疵
[00:01:36.000 --> 00:01:40.000]  然後在二弗所說一章五節提到
[00:01:40.000 --> 00:01:46.000]  預定我們藉著耶穌基督是得兒子的名分
[00:01:46.000 --> 00:01:48.000]  我們已經說過
[00:01:48.000 --> 00:01:50.000]  做上帝的後子
[00:01:50.000 --> 00:01:55.000]  要承受的是永恆的福氣
[00:01:55.000 --> 00:01:59.000]  信耶穌的人當然不止有永恆的福氣
[00:01:59.000 --> 00:02:01.000]  還有今生的福氣
[00:02:01.000 --> 00:02:06.000]  我們的福氣是由今生一直直到永恆
[00:02:06.000 --> 00:02:09.000]  所以當我們有機會跟別人分享福音
[00:02:09.000 --> 00:02:12.000]  就不要只說信耶穌是得兒子的名分
[00:02:12.000 --> 00:02:15.000]  我們一定要說清楚
[00:02:15.000 --> 00:02:17.000]  如果你不說清楚今生有福氣
[00:02:17.000 --> 00:02:19.000]  別人就會告訴我們
[00:02:19.000 --> 00:02:21.000]  但我退休才相信
[00:02:21.000 --> 00:02:23.000]  臨死前才相信
[00:02:23.000 --> 00:02:25.000]  反正你也是信耶穌想得永生
[00:02:25.000 --> 00:02:26.000]  不是的
[00:02:26.000 --> 00:02:28.000]  所以我們要說清楚
[00:02:28.000 --> 00:02:31.000]  我們信耶穌是真的會得永生
[00:02:31.000 --> 00:02:33.000]  但永生是由今世開始的
[00:02:33.000 --> 00:02:35.000]  由現在開始的
[00:02:35.000 --> 00:02:39.000]  我們活在世上就已經有福氣了
[00:02:39.000 --> 00:02:41.000]  一直到永生
[00:02:41.000 --> 00:02:46.000]  上星期因為突然有病進了醫院
[00:02:46.000 --> 00:02:50.000]  所以請了主任牧師來港讀
