
[00:00:00.000 --> 00:00:03.440]  在1895年有一位英國醫生
[00:00:03.440 --> 00:00:06.000]  藍大衛和他的太太
[00:00:06.000 --> 00:00:08.800]  去到臺灣的中部
[00:00:08.800 --> 00:00:11.040]  在那時候的臺灣
[00:00:11.040 --> 00:00:13.920]  各種條件都非常落後
[00:00:13.920 --> 00:00:16.720]  尤其是衛生環境就更加差了
[00:00:16.720 --> 00:00:19.240]  而大衛作爲一個醫生
[00:00:19.240 --> 00:00:22.280]  他也患上了弱疾
[00:00:22.280 --> 00:00:24.960]  但是藍大衛並沒有放棄
[00:00:24.960 --> 00:00:27.320]  仍然繼續堅持他的工作
[00:00:27.320 --> 00:00:30.880]  並且成立一間叫彰化醫館
[00:00:30.880 --> 00:00:34.560]  一面行醫一面傳福音
[00:00:34.560 --> 00:00:36.640]  在1928年
[00:00:36.640 --> 00:00:40.480]  一位來自貧困家庭的小朋友
[00:00:40.480 --> 00:00:41.880]  周金耀
[00:00:41.880 --> 00:00:44.680]  因爲跌倒磨損皮膚
[00:00:44.680 --> 00:00:46.960]  並沒有好好地去打理
[00:00:46.960 --> 00:00:49.160]  於是受細菌感染
[00:00:49.160 --> 00:00:50.640]  傷口惡化
[00:00:50.640 --> 00:00:52.760]  皮膚壞死
[00:00:52.760 --> 00:00:55.040]  分分鐘引起併發症
[00:00:55.040 --> 00:00:57.040]  引致生命危險
[00:00:57.040 --> 00:01:01.280]  藍大衛一直看他醫療時
[00:01:01.280 --> 00:01:05.480]  他覺得應該用植皮去醫治
[00:01:05.480 --> 00:01:08.760]  但是這植皮的皮膚是從哪裏來的呢?
[00:01:08.760 --> 00:01:11.800]  藍大衛太太主動提出
[00:01:11.800 --> 00:01:14.600]  不如你切掉我的皮膚
[00:01:14.600 --> 00:01:16.800]  敷在他身上
[00:01:16.800 --> 00:01:19.800]  將我的皮膚移植在他身上
[00:01:19.800 --> 00:01:24.520]  這就是很著名的切膚之外
[00:01:24.520 --> 00:01:29.680]  雖然這個手術因爲病人的排斥沒有成功
[00:01:29.680 --> 00:01:34.320]  但後來藍大衛用周金耀的皮膚
[00:01:34.320 --> 00:01:36.920]  用他的自身移植
[00:01:36.920 --> 00:01:40.680]  成功救回周金耀
[00:01:40.680 --> 00:01:43.800]  周金耀出院之後
[00:01:43.800 --> 00:01:46.920]  藍大衛夫婦繼續鼓勵他
[00:01:46.920 --> 00:01:48.120]  繼續讀書
[00:01:48.120 --> 00:01:50.720]  並且出錢資助他
[00:01:50.720 --> 00:01:52.240]  繼續升學
[00:01:52.240 --> 00:01:54.120]  周金耀長大成人
[00:01:54.120 --> 00:01:55.960]  不僅學有所成
[00:01:55.960 --> 00:01:58.160]  並且成爲一位牧師
[00:01:58.160 --> 00:02:02.320]  有一次周金耀在他的教會講道的時候
[00:02:02.320 --> 00:02:03.920]  講得很激動
[00:02:03.920 --> 00:02:05.800]  講回這個故事出來
[00:02:05.800 --> 00:02:11.400]  他說雖然藍醫生媽媽的皮膚並沒有貼在我的身上
[00:02:11.400 --> 00:02:14.840]  但卻貼在我的心裏
[00:02:14.840 --> 00:02:18.400]  由英國夫照藍醫生夫婦
[00:02:18.400 --> 00:02:20.840]  遠道重洋來到臺灣
[00:02:20.840 --> 00:02:22.560]  他們有順服回應
[00:02:22.560 --> 00:02:24.720]  在臺灣服侍四十年
[00:02:24.720 --> 00:02:27.080]  甚至他們的兒子的下一代
[00:02:27.080 --> 00:02:29.880]  都繼續去服侍臺灣
[00:02:29.880 --> 00:02:31.960]  讓我們很清楚地看見
[00:02:31.960 --> 00:02:37.800]  什麼纔是真正的跟從耶穌
[00:02:37.800 --> 00:02:39.520]  什麼是夫照
[00:02:39.520 --> 00:02:41.480]  什麼是跟從呢
[00:02:41.480 --> 00:02:44.240]  或者我們先看一下夫照是什麼
[00:02:44.240 --> 00:02:46.400]  夫照的希伯來文
[00:02:46.400 --> 00:02:47.360]  Kahal
[00:02:47.360 --> 00:02:50.280]  和他的希臘文Kaleo
[00:02:50.280 --> 00:02:52.440]  其實都有相似的意思
[00:02:52.440 --> 00:02:55.640]  就是邀請呼喚
[00:02:55.640 --> 00:02:59.600]  其實在這裏我們教會的希臘文
[00:02:59.600 --> 00:03:01.400]  是什麼意思呢
[00:03:01.400 --> 00:03:04.080]  其實教會的希臘文
[00:03:04.080 --> 00:03:08.400]  是講一羣被夫照而出來的人
[00:03:08.400 --> 00:03:11.880]  所以今天我們在教會里每一份紙
[00:03:11.880 --> 00:03:14.880]  都是被神夫照出來的
[00:03:14.880 --> 00:03:15.880]  誰夫照我們呢
[00:03:15.880 --> 00:03:17.840]  就是耶穌基督
[00:03:17.840 --> 00:03:23.040]  在馬達福音裏面都有提到有關的夫照
[00:03:23.040 --> 00:03:25.320]  讓我們一起看兩段聖經
[00:03:25.320 --> 00:03:29.360]  馬達福音四章十八至十九節
[00:03:29.360 --> 00:03:31.480]  等一會兒我們可以一起讀
[00:03:31.480 --> 00:03:33.320]  一二三
[00:03:33.320 --> 00:03:36.880]  耶穌在加利利海邊行走
[00:03:36.880 --> 00:03:39.040]  看見弟兄二人
[00:03:39.040 --> 00:03:42.400]  就是那稱呼彼得的西門
[00:03:42.400 --> 00:03:45.160]  和他兄弟安德烈
[00:03:45.160 --> 00:03:47.240]  在海里撒網
[00:03:47.240 --> 00:03:49.640]  他們本是打魚的
[00:03:49.640 --> 00:03:51.480]  耶穌對他們說
[00:03:51.480 --> 00:03:53.360]  來跟從我
[00:03:53.360 --> 00:03:58.160]  我要叫你們得人如得魚一樣
[00:03:58.160 --> 00:04:02.040]  第二段是馬達福音四章二十一節
[00:04:02.040 --> 00:04:02.840]  讓我們一起讀
[00:04:02.840 --> 00:04:04.040]  一二三
[00:04:04.040 --> 00:04:06.320]  從那裏往前走
[00:04:06.320 --> 00:04:08.840]  又看見弟兄二人
[00:04:08.840 --> 00:04:12.160]  就是西比太的兒子雅各
[00:04:12.160 --> 00:04:14.360]  和他兄弟約翰
[00:04:14.360 --> 00:04:19.800]  和他們的父親西比太在船上保網
[00:04:19.800 --> 00:04:23.560]  耶穌就招呼他們
[00:04:23.560 --> 00:04:25.400]  這兩段聖經其實是
[00:04:25.400 --> 00:04:28.240]  耶穌呼召他十二門徒的其中四位
[00:04:28.240 --> 00:04:30.160]  可能大家讀的名字都變了
[00:04:30.160 --> 00:04:34.920]  就是彼得、安德烈、雅各、約翰
[00:04:34.920 --> 00:04:37.320]  四章十八至十九節
[00:04:37.320 --> 00:04:40.880]  耶穌對彼得和安德烈說
[00:04:40.880 --> 00:04:41.680]  跟他們說
[00:04:41.680 --> 00:04:43.320]  你們來跟從我
[00:04:43.320 --> 00:04:46.240]  其實這個就是實際上的呼召
[00:04:46.240 --> 00:04:47.840]  四章二十一節
[00:04:47.840 --> 00:04:49.960]  還說得更加清楚
[00:04:49.960 --> 00:04:51.240]  這個招呼
[00:04:51.240 --> 00:04:52.920]  聖經裏面的招呼
[00:04:52.920 --> 00:04:55.160]  其實希臘原文就是呼召
[00:04:55.160 --> 00:04:56.600]  是同一個詞
[00:04:56.600 --> 00:04:58.960]  所以呼召有兩種意思
[00:04:58.960 --> 00:05:00.800]  我們現在理解的呼召
[00:05:00.800 --> 00:05:02.920]  第一種呼召就是呼召一些人
[00:05:02.920 --> 00:05:04.360]  放下自己的工作
[00:05:04.360 --> 00:05:05.920]  全時間侍奉
[00:05:05.920 --> 00:05:07.520]  成爲傳道人
[00:05:07.520 --> 00:05:09.880]  第二種就是呼召一些人
[00:05:09.880 --> 00:05:11.760]  你留在自己的工作崗位
[00:05:11.760 --> 00:05:13.080]  繼續做見證
[00:05:13.080 --> 00:05:15.480]  傳福音、見證耶穌
[00:05:15.480 --> 00:05:18.080]  但是無論是第一種或者第二種也好
[00:05:18.080 --> 00:05:20.240]  他們都有一個共通點
