
[00:00:00.000 --> 00:00:02.000]  各位導演姊妹,早安!
[00:00:02.000 --> 00:00:07.000]  可以很開心地跟大家一起去分享上帝的說話
[00:00:07.000 --> 00:00:08.700]  是一件很興奮的事
[00:00:08.700 --> 00:00:12.600]  願意我們再一次地去禱告,準備我們的心
[00:00:12.600 --> 00:00:20.000]  親愛的救主,我們再一次地去定精在你裡面
[00:00:20.000 --> 00:00:24.000]  因為你是用寵家買熟我們
[00:00:24.000 --> 00:00:28.000]  你是那個我們佩德稱頌那位的上主
[00:00:28.500 --> 00:00:31.500]  神啊,我求你今天來到我們當中
[00:00:31.500 --> 00:00:36.000]  在我們敬拜,在我們禱告
[00:00:36.000 --> 00:00:40.000]  在我們堅心地去追求你的過程當中
[00:00:40.000 --> 00:00:42.500]  能夠與主相遇
[00:00:42.500 --> 00:00:45.500]  你親自地向我們說話
[00:00:45.500 --> 00:00:48.500]  無論講的,聽的
[00:00:48.500 --> 00:00:51.000]  我們都是蒙聖靈你自己的眷遊
[00:00:51.000 --> 00:00:53.000]  祈禱奉耶穌基督的聖名
[00:00:53.000 --> 00:00:54.500]  阿們
[00:00:54.500 --> 00:00:56.500]  在今年年初開始
[00:00:56.500 --> 00:01:00.500]  敘利亞的內戰得到稍微的紓緩
[00:01:00.500 --> 00:01:05.000]  但是自從在2011年爆發內戰至今
[00:01:05.000 --> 00:01:11.000]  已經有25萬位敘利亞的市民身亡
[00:01:11.000 --> 00:01:16.000]  累計總數有450萬位的難民
[00:01:16.000 --> 00:01:18.500]  逃離了敘利亞的國境
[00:01:18.500 --> 00:01:21.000]  漂流到不同的國家
[00:01:21.000 --> 00:01:23.500]  在戰事發生的時候
[00:01:23.500 --> 00:01:28.500]  敘利亞全國的人口約有2300萬人
[00:01:28.500 --> 00:01:33.000]  成為了全球最大的人道災難
[00:01:33.000 --> 00:01:38.000]  因為天災、戰爭、迫害
[00:01:38.000 --> 00:01:41.000]  人與人之間那種醜陋
[00:01:41.000 --> 00:01:44.000]  那種緊張的關係表露無遺
[00:01:44.000 --> 00:01:46.500]  同時又讓我們看到
[00:01:46.500 --> 00:01:48.500]  人與人之間那種光輝
[00:01:48.500 --> 00:01:52.500]  互相相愛彼此輔助的美麗
[00:01:52.500 --> 00:01:56.500]  又呈現在各位的面前
[00:01:56.500 --> 00:02:01.000]  當我們讀到今天市道行傳的經文的時候
[00:02:01.000 --> 00:02:05.500]  其實我們要涵蓋的篇章是比較多的
[00:02:05.500 --> 00:02:11.000]  所以方才宋敏傳道主席幫我們看市道行傳第13章的時候
[00:02:11.000 --> 00:02:13.500]  我也希望你繼續打開聖經
[00:02:13.500 --> 00:02:19.500]  讓我們可以一起很快的去看完整段
[00:02:19.500 --> 00:02:24.500]  由第12章25節到第13章完結為止
[00:02:24.500 --> 00:02:28.000]  當我們看到第12章25節的時候
[00:02:28.000 --> 00:02:32.000]  我們就看到巴拿巴和蘇羅
[00:02:32.000 --> 00:02:36.500]  一起從耶路撒冷回來安提阿這個地方
[00:02:36.500 --> 00:02:39.500]  它的背景其實就是告訴我們
[00:02:39.500 --> 00:02:42.500]  在第11章27到30節的時候
[00:02:42.500 --> 00:02:45.500]  安提阿的眾弟兄姊妹
[00:02:45.500 --> 00:02:49.500]  體會到原來在耶路撒冷那裡有災荒的發生
[00:02:49.500 --> 00:02:55.500]  所以他們就憑著愛心的籌募一些的獻金和一些的物資
[00:02:55.500 --> 00:03:01.500]  讓保羅和巴拿巴可以帶著這些的獻金這些的物資
[00:03:01.500 --> 00:03:06.500]  回到耶路撒冷那裡去幫補他們的弟兄姊妹的需要
[00:03:06.500 --> 00:03:10.500]  你看見這個年輕的教會是多麼的有活力的
[00:03:10.500 --> 00:03:14.500]  是多麼的願意與人去分享
[00:03:14.500 --> 00:03:17.500]  不知道今天弟兄姊妹
[00:03:17.500 --> 00:03:21.500]  你會用一個什麼形容詞去描述
[00:03:21.500 --> 00:03:24.500]  現在我們的香港浸信教會呢?
[00:03:24.500 --> 00:03:27.500]  你會怎樣形容我們這一間教會呢?
[00:03:27.500 --> 00:03:32.500]  當時敘利亞當時安提阿的教會
[00:03:32.500 --> 00:03:36.500]  充滿著那種的活力充滿著那種的愛心
[00:03:36.500 --> 00:03:38.500]  當我們再讀下去的時候
[00:03:38.500 --> 00:03:41.500]  我們看見第13章一開始的時候
[00:03:41.500 --> 00:03:44.500]  出現一個很美麗的圖畫
[00:03:44.500 --> 00:03:50.500]  更加告訴我們這一間教會活力的泉源究竟是怎樣得來的
[00:03:50.500 --> 00:03:54.500]  聖經裡面描述安提阿這一間教會裡面
[00:03:54.500 --> 00:03:57.500]  有一群的善智有一群的教師
[00:03:57.500 --> 00:04:03.500]  他們圍聚在一起去敬拜去侍奉主
[00:04:03.500 --> 00:04:06.500]  當我們去剖析這段經文的時候
[00:04:06.500 --> 00:04:13.500]  我們試一下再一次投入一下安提阿這個大的世界的環境裡面
[00:04:13.500 --> 00:04:16.500]  在第一世紀羅馬帝國的時候
[00:04:16.500 --> 00:04:20.500]  當然以首都羅馬為馬首是瞻
[00:04:20.500 --> 00:04:23.500]  是全國最重要的都市
[00:04:23.500 --> 00:04:26.500]  其次就是在北非的亞歷山大
[00:04:26.500 --> 00:04:31.500]  而第三大重要的城市就是門徒身處的地方
[00:04:31.500 --> 00:04:34.500]  安提阿這個地方
[00:04:34.500 --> 00:04:42.500]  也同時是巴勒斯坦地以外最多猶太人聚居的地方
[00:04:42.500 --> 00:04:47.500]  在一個這麼大的城市這麼大的都會當中
[00:04:47.500 --> 00:04:51.500]  你看見這個門徒的組合
[00:04:51.500 --> 00:04:55.500]  這間教會的領袖的組合是怎樣的呢?
[00:04:55.500 --> 00:04:57.500]  聖經是這樣描述的
[00:04:57.500 --> 00:05:05.500]  就有巴拿巴幾位先知和教師當中就有巴拿巴
[00:05:05.500 --> 00:05:09.500]  聖經沒有再詳細描述究竟誰是巴拿巴
[00:05:09.500 --> 00:05:11.500]  可能在路加的心目之中
[00:05:11.500 --> 00:05:13.500]  在作者的心目之中
[00:05:13.500 --> 00:05:16.500]  你沒理由巴拿巴你都不認識
[00:05:16.500 --> 00:05:18.500]  所以都不需要多加介紹
[00:05:18.500 --> 00:05:22.500]  第二位就是離結的西面
[00:05:22.500 --> 00:05:26.500]  離結的西面這個名字是從兩部分組成的
[00:05:26.500 --> 00:05:28.500]  很有趣的
[00:05:28.500 --> 00:05:31.500]  離結是拉丁文來的
[00:05:31.500 --> 00:05:33.500]  意思就是黑的意思
[00:05:33.500 --> 00:05:36.500]  可能是他的皮膚有點黑
[00:05:36.500 --> 00:05:40.500]  所以他的外號反映著他是黑的
[00:05:40.500 --> 00:05:44.500]  西面就是一個傳統希伯來人的名字
[00:05:44.500 --> 00:05:47.500]  所以我們有理由相信
[00:05:47.500 --> 00:05:49.500]  這一位的離結
[00:05:49.500 --> 00:05:54.500]  其實他是在一個希臘化的都市當中
[00:05:54.500 --> 00:05:57.500]  他有一個希臘文的名稱
[00:05:57.500 --> 00:06:00.500]  但同時他其實是一個猶太人
[00:06:00.500 --> 00:06:04.500]  因為他擁有一個傳統的希伯來人的名稱
[00:06:04.500 --> 00:06:06.500]  聖經學者就有一個臆測
[00:06:06.500 --> 00:06:08.500]  可能覺得他的外號
[00:06:08.500 --> 00:06:10.500]  他的名稱就叫做黑黑
[00:06:10.500 --> 00:06:14.500]  所以估計他可能來自非洲也說不定
[00:06:14.500 --> 00:06:16.500]  不過這是一個臆測
[00:06:16.500 --> 00:06:18.500]  第三位聖經就形容他
[00:06:18.500 --> 00:06:21.500]  他是古利來人路求
[00:06:21.500 --> 00:06:27.500]  路求這個名字又是一個很普通的拉丁文的名字
[00:06:27.500 --> 00:06:31.500]  而古利來是來自非洲的一個地方
[00:06:31.500 --> 00:06:33.500]  所以這一位的朋友
[00:06:33.500 --> 00:06:38.500]  應該就是一個不是猶太人的背景
[00:06:38.500 --> 00:06:39.500]  他不是一個猶太人
[00:06:39.500 --> 00:06:42.500]  不過他就信了主
[00:06:42.500 --> 00:06:44.500]  跟從了福音
[00:06:44.500 --> 00:06:47.500]  接著到第四位就是馬念
[00:06:47.500 --> 00:06:49.500]  聖經就多一些形容他
[00:06:49.500 --> 00:06:53.500]  形容他是分封王希律
[00:06:53.500 --> 00:06:55.500]  他的名字叫做安提柏
[00:06:55.500 --> 00:06:57.500]  那位希律就叫做希律安提柏
[00:06:57.500 --> 00:06:59.500]  一起被養大的
[00:06:59.500 --> 00:07:06.500]  我們看見福音已經延伸到貴族的階層當中
[00:07:06.500 --> 00:07:09.500]  可能因為這一位馬念
[00:07:09.500 --> 00:07:10.500]  他信了主之後
[00:07:10.500 --> 00:07:14.500]  就跟門徒一起來到安提柏這個地方
[00:07:14.500 --> 00:07:15.500]  到第五位
[00:07:15.500 --> 00:07:18.500]  聖經又是很簡單地描述
[00:07:18.500 --> 00:07:20.500]  就是說丙素羅
[00:07:20.500 --> 00:07:23.500]  素羅就是聖經裏面一個很出名的人物
[00:07:23.500 --> 00:07:26.500]  即是後來我們會稱呼他為保羅的那位
[00:07:26.500 --> 00:07:28.500]  是羅馬的公民
[00:07:28.500 --> 00:07:31.500]  他是加瑪列門下的學生
[00:07:31.500 --> 00:07:32.500]  我們可以看到
[00:07:32.500 --> 00:07:35.500]  這個組合的背景
[00:07:35.500 --> 00:07:37.500]  成長的文化是幾個不同
[00:07:37.500 --> 00:07:39.500]  但是聖經裏面又描述
[00:07:39.500 --> 00:07:42.500]  這五個教會的領袖
[00:07:42.500 --> 00:07:43.500]  教師和先知
[00:07:43.500 --> 00:07:45.500]  他們在做些什麼呢
[00:07:45.500 --> 00:07:50.500]  第二節就形容他們在侍奉主
[00:07:50.500 --> 00:07:55.500]  如果我們用一個更加直率的表達的話
[00:07:55.500 --> 00:07:56.500]  侍奉主的意思
[00:07:56.500 --> 00:08:00.500]  他們就在敬拜禱告當中
[00:08:00.500 --> 00:08:03.500]  或者我們看看希伯來書十章十一節
[00:08:03.500 --> 00:08:04.500]  他是怎麼說的
[00:08:04.500 --> 00:08:07.500]  他說猶太的祭司天天站著
[00:08:07.500 --> 00:08:09.500]  侍奉上帝
[00:08:09.500 --> 00:08:12.500]  多次獻上同樣的祭物
[00:08:12.500 --> 00:08:16.500]  可是這些祭物永遠不能替人除罪
[00:08:16.500 --> 00:08:20.500]  在這裏當中侍奉這個字眼的原文
[00:08:20.500 --> 00:08:22.500]  就跟史徒行傳第十三章
[00:08:22.500 --> 00:08:25.500]  這裏所說的侍奉是同一個字
[00:08:25.500 --> 00:08:27.500]  但是你看到
[00:08:27.500 --> 00:08:30.500]  希伯來書這裏是描述一個舊約的處境
[00:08:30.500 --> 00:08:35.500]  只有利未人才可以公職成為祭司
[00:08:35.500 --> 00:08:41.500]  站在這個敬拜帶領以色列百姓的那個角色
[00:08:41.500 --> 00:08:43.500]  那個位份當中
[00:08:43.500 --> 00:08:46.500]  但是你今天看到在安提柯裏面
[00:08:46.500 --> 00:08:49.500]  這班不同身份和不同文化背景
[00:08:49.500 --> 00:08:52.500]  來自不同族裔的朋友
[00:08:52.500 --> 00:08:57.500]  他們今天同樣的在上主面前那裏去侍奉
[00:08:57.500 --> 00:09:00.500]  他們去敬拜去禱告
[00:09:00.500 --> 00:09:06.500]  這是一個超越了種族和社會階層的祭司的團隊
[00:09:06.500 --> 00:09:10.500]  他們一同的去敬拜親近主
[00:09:10.500 --> 00:09:16.500]  聖經不單止描述這個團隊在敬拜在禱告
[00:09:16.500 --> 00:09:19.500]  更加形容他們在禁食
[00:09:19.500 --> 00:09:25.500]  這裏是史徒行傳第一次出現禁食這個字眼
[00:09:25.500 --> 00:09:29.500]  更加形容這班門徒在禁食
[00:09:29.500 --> 00:09:33.500]  反映這個團隊不單止在敬拜
[00:09:33.500 --> 00:09:38.500]  他們還在熱烈的尋求上主的心意
[00:09:38.500 --> 00:09:44.500]  聖靈就在這個期間加入向他們啟示
[00:09:44.500 --> 00:09:47.500]  今天我們社會的文化
[00:09:47.500 --> 00:09:49.500]  很講求要彼此溝通
[00:09:49.500 --> 00:09:52.500]  要高透明度
[00:09:52.500 --> 00:09:58.500]  但是當我們發覺我們越發倡議高透明度和溝通
[00:09:58.500 --> 00:10:01.500]  其實就反映我們的社會是怎樣呢
