
[00:00:00.000 --> 00:00:01.760]  我哋祈禱
[00:00:01.760 --> 00:00:04.080]  差主懇求祢的靈與我們同在
[00:00:04.080 --> 00:00:05.520]  感謝祢恩待我們
[00:00:05.520 --> 00:00:08.800]  叫我們在生命裏面能夠經歷祢
[00:00:08.800 --> 00:00:11.320]  藉著我們向祢的禱告祈求
[00:00:11.320 --> 00:00:15.680]  因為我們深知祢必馳如理常與我們同在
[00:00:15.680 --> 00:00:17.520]  感謝祢聽我們祈禱
[00:00:17.520 --> 00:00:18.960]  奉耶穌名求
[00:00:18.960 --> 00:00:20.960]  阿們
[00:00:20.960 --> 00:00:29.680]  我不知道大家有沒有聽過一個有關天堂的故事
[00:00:29.680 --> 00:00:30.760]  有關天堂的故事
[00:00:30.760 --> 00:00:33.520]  話說有兩個人
[00:00:33.520 --> 00:00:35.680]  一個叫阿黃
[00:00:35.680 --> 00:00:37.200]  是小巴司機
[00:00:37.200 --> 00:00:40.400]  他開的那條線是由西環去到觀塘
[00:00:40.400 --> 00:00:41.920]  即是說
[00:00:41.920 --> 00:00:45.840]  港島西至到九龍東
[00:00:45.840 --> 00:00:47.880]  有一個叫聖仔
[00:00:47.880 --> 00:00:49.800]  他是做牧師的
[00:00:49.800 --> 00:00:54.920]  他在西區做牧羊的工作
[00:00:54.920 --> 00:00:59.320]  兩個人離開世界見天父的面
[00:00:59.320 --> 00:01:01.840]  見天父的面的時候
[00:01:01.840 --> 00:01:07.200]  神就跟那個做司機的說
[00:01:07.200 --> 00:01:10.000]  你看看這個阿黃
[00:01:10.000 --> 00:01:11.640]  他開車
[00:01:11.640 --> 00:01:14.040]  連命都不想要
[00:01:14.040 --> 00:01:15.920]  他開得很快很快
[00:01:15.920 --> 00:01:22.680]  然後就是八十、九十、一百都不停地去
[00:01:22.680 --> 00:01:25.560]  小巴裏面十六個乘客坐在那裏
[00:01:25.560 --> 00:01:28.320]  不住地祈禱
[00:01:28.320 --> 00:01:29.400]  你看看你
[00:01:29.400 --> 00:01:31.040]  聖仔
[00:01:31.040 --> 00:01:32.240]  你做牧師
[00:01:32.240 --> 00:01:37.200]  港島每個都在那裏打瞌睡
[00:01:37.200 --> 00:01:38.240]  在那裏打瞌睡
[00:01:38.240 --> 00:01:41.360]  你想一下
[00:01:41.360 --> 00:01:44.000]  原來做小巴司機的
[00:01:44.000 --> 00:01:46.920]  叫人更加直著禱告靠近神
[00:01:46.920 --> 00:01:51.960]  你說他是不是那個獎賞要大一點呢?
[00:01:51.960 --> 00:01:54.120]  當然這是一個爛笑話
[00:01:54.120 --> 00:01:57.000]  但是我想告訴大家
[00:01:57.000 --> 00:01:58.640]  寫這個基督基人
[00:01:58.640 --> 00:02:00.160]  想告訴他們
[00:02:00.160 --> 00:02:02.320]  在他們的生活裏面做一個基督徒
[00:02:02.320 --> 00:02:05.200]  祈禱是多麼重要
